"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
3637,"Accounting","Auditing","50hrs 8min","12th","English/Hindi","Module 1: Introduction to Auditing","1. Auditing Subject - Introduction Class","https://www.youtube.com/watch?v=6noTz7sA9xk"
3638,"Accounting","Auditing","","12th","English/Hindi","Module 1: Introduction to Auditing","2. ""Objects Of An Audit"" from Auditing Subject - Important Topic","https://www.youtube.com/watch?v=iIlbFAdbwOI"
3639,"Accounting","Auditing","","12th","English/Hindi","Module 1: Introduction to Auditing","3. ""Auditor is a Watch Dog - But not Blood Hound"" Explain? Important Concept From Auditing Subject","https://www.youtube.com/watch?v=p7m9h5JnoTc"
3640,"Accounting","Auditing","","12th","English/Hindi","Module 1: Introduction to Auditing","4. Qualities Of An Auditor from Auditing Subject","https://www.youtube.com/watch?v=3fki55k3Hms"
3641,"Accounting","Auditing","","12th","English/Hindi","Module 2: Objectives and Principles of Auditing","5. ""Basic Principles Governing An Audit"" from Auditing Subject","https://www.youtube.com/watch?v=JGjc-zUS5XM"
3642,"Accounting","Auditing","","12th","English/Hindi","Module 2: Objectives and Principles of Auditing","6. Advantages of an Audit from Auditing Subject","https://www.youtube.com/watch?v=-IV28nF3hzw"
3643,"Accounting","Auditing","","12th","English/Hindi","Module 2: Objectives and Principles of Auditing","7. "" Limitations Of An Audit"" from Auditing Subject","https://www.youtube.com/watch?v=PaL4D61SJs0"
3644,"Accounting","Auditing","","12th","English/Hindi","Module 3: Auditor's Role and Responsibilities","8. ""Types Of Audit - 100% Expected Question"" from Auditing Subject","https://www.youtube.com/watch?v=lidCD2nWcTM"
3645,"Accounting","Auditing","","12th","English/Hindi","Module 3: Auditor's Role and Responsibilities","9. ""Appointment Of An Auditor"" - Most Expected Question from Auditing Subject","https://www.youtube.com/watch?v=K7NPq8erz1g"
3646,"Accounting","Auditing","","12th","English/Hindi","Module 3: Auditor's Role and Responsibilities","10. ""Removal & Resignation Of an Auditor"" - Most Expected Question from Auditing","https://www.youtube.com/watch?v=1saVkZIaGio"
3647,"Accounting","Auditing","","12th","English/Hindi","Module 4: Types and Appointment of Auditors","11. "" Rights  Of The Company Auditor"" - Most Expected Question from Auditing Subject","https://www.youtube.com/watch?v=o-NMiSdEzwY"
3648,"Accounting","Auditing","","12th","English/Hindi","Module 4: Types and Appointment of Auditors","12. ""Duties Of The Company Auditor"" - Most Expected Question From Auditing Subject","https://www.youtube.com/watch?v=odHySxKDPrU"
3649,"Accounting","Auditing","","12th","English/Hindi","Module 4: Types and Appointment of Auditors","13. ""Civil & Criminal Liabilities Of An  Auditor"" - Most Important Question from Auditing Subject","https://www.youtube.com/watch?v=1BXy2nGsHqM"
3650,"Accounting","Auditing","","12th","English/Hindi","Module 5: Rights, Duties, and Liabilities of Auditors","14. Qualification, Disqualification & Remuneration Of An Auditor from Auditing Subject","https://www.youtube.com/watch?v=bl9TCdmKxfU"
3651,"Accounting","Auditing","","12th","English/Hindi","Module 5: Rights, Duties, and Liabilities of Auditors","15. ""Preparation Before The Commencement Of An Audit"" from Auditing Subject","https://www.youtube.com/watch?v=-1iWaPW9hmY"
3652,"Accounting","Auditing","","12th","English/Hindi","Module 5: Rights, Duties, and Liabilities of Auditors","16. ""Audit Programme, Features, Advantages &Disadvantages"" from Auditing Subject","https://www.youtube.com/watch?v=4rPDxxNll4w"
