Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
4272,Accounting,CA Inter Advanced Accounting (New Course),190hrs 0min,12th,English/Hindi,Module 1: Introduction to AS & Framework for Preparation,Introduction to AS (with ENGLISH SUBTITLES) | Ch - 1 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=wZNnoj9zRMo
4273,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 2: Applicability of Accounting Standards,Framework for Preparation & Presentation of Financial Statements Ch 2 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=-QAvhxun9Yw
4274,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 3: AS - 17 Segment Reporting (Part 1 & 2),Applicability of Accounting Standards | Ch - 3 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=7WjsMLEhBVg
4275,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,"Module 4: AS - 1, 18 & 20",AS - 17 | Segment Reporting Part 1 | Ch - 4 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=BDL5Yccl1XU
4276,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 5: Discontinuing Operations & Interim Financial Reporting,AS - 1 | Disclosure of Accounting Policies | Ch - 4 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=ygNBmS-Jb0o
4277,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 6: Valuation of Inventory,AS - 17 | Segment Reporting Part 2 | Ch - 4 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=jslqApNtBxQ
4278,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,"Module 7: Property, Plant & Equipment (AS - 10)",AS - 18 | Related Party Disclosure | Ch - 4 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=W_fC7KIwHF4
4279,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 8: Accounting for Investments (AS - 13),AS - 20 | Earnings Per Share (EPS) | Ch - 4 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=b167qr-FfRQ
4280,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 9: Borrowing Cost (AS - 16),Discontinuing Operations | AS - 24 | Ch - 4 Unit 6 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=atXeGJ_Vvh0
4281,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 10: Accounting for Leases (AS - 19),Interim Financial Reporting | AS - 25 | Ch - 4 Unit 7 | CA INTER Advanced Accounting CA Parag Gupta,https://www.youtube.com/watch?v=M2_hjYQqqs8
4282,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 11: Intangible Assets & Impairment of Assets,Valuation of Inventory : AS - 2 | Ch - 5 Unit 1 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=lImDtilosZw
4283,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 12: Employee Benefits (AS - 15),"Property, Plant & Equipment : AS - 10 (Part 1) | Ch - 5 Unit 2 | CA INTER Advanced Accounting",https://www.youtube.com/watch?v=6IWEImNq4X0
4284,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 13: Provisions & Contingent Liabilities (AS - 29),"Property, Plant & Equipment : AS - 10 (Part 2) | Ch - 5 Unit 2 | CA INTER Advanced Accounting",https://www.youtube.com/watch?v=AKdGvrBw3vA
4285,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,"Module 14: Contingencies, Net Profit & Prior Period Items",Accounting for Investments - Part 1 | AS - 13 | Ch - 5 Unit 3 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=Hl4sYNmsnMg
4286,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 15: Effects of Changes in Forex & Accounting for Taxes,Accounting for Investments - Part 2 | AS - 13 | Ch - 5 Unit 3 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=iTmEHwPeIx4
4287,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 16: Construction Contracts & Revenue Recognition,Borrowing Cost | AS - 16 | Ch - 5 Unit 4 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=D7YJMFC7I6o
4288,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 17: Government Grants (AS - 12),Accounting for Leases | AS - 19 | Ch - 5 Unit 5 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=gQgkeCSPqBA
4289,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,"Module 18: Consolidated Financial Statements (Part 1, 2 & 3)",Intangible Assets | AS - 26 | Ch - 5 Unit 6 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=gmSwqkVUzec
4290,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 19: Investment in Associate & Interest in Joint Venture,Impairment of Assets | AS - 28 | Ch - 5 Unit 7 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=HG--uwIbXrg
4291,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,"Module 20: Balance Sheet, P&L A/c & ICAI Practice Questions",Employee Benefits | AS - 15 | Ch - 6 Unit 1 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=k37TEC4Y2Yg
4292,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 21: Financial Statements & Introduction to Cash Flow,Provisions & Contingent Liabilities | AS - 29 | Ch - 6 Unit 2 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=5xJBRlMKk2w
4293,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 22: Cash Flow Statements & Imp. Study Material Questions,Contingencies & Events after B/S date | AS - 4 | Ch - 7 Unit 1 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=izKqBJftWqM
4294,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 23: Buy Back of Securities,Net Profit or Loss & Prior Period Items | AS - 5 | Ch - 7 Unit 2 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=ajasdGinc1E
4295,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 24: Amalgamation of Companies (Part 1 & 2),Effects of Changes in Foreign Exchange Rate | AS - 11 | Ch - 7 Unit 3 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=vnVM9WGZD2E
4296,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,"Module 25: Amalgamation of Companies (Part 3, 4 & 5)",Accounting for Taxes on Income | AS - 22 | Ch - 7 Unit 4 | CA INTER Advanced Accounting,https://www.youtube.com/watch?v=s4z4kwoSc2A
4297,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 26: Amalgamation of Companies (Part 6 & 7),Construction Contracts | AS - 7 | Ch - 8 Unit 1 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=r1s-LjpnO-I
4298,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 27: Internal Reconstruction,Revenue Recognition | AS - 9 | Ch - 8 Unit 2 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=X3iLQeyTw7c
4299,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,"Module 28: Accounting for Branches (Part 1, 2 & 3)",Government Grants | AS - 12 | Ch - 9 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=szDfAw_r2KA
4300,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 29: Foreign & Dependent Branches,Consolidated Financial Statements - 1 | Ch 10 Unit 1 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=Bxufw0xyeVA
4301,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 30: Stock & Debtors Method & ICAI Practice Questions,Consolidated Financial Statements - 2 | Ch 10 Unit 1 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=E2x-mDWjj0E
4302,Accounting,CA Inter Advanced Accounting (New Course),,12th,English/Hindi,Module 31: Topper's Interview & 100 Days Planner,Consolidated Financial Statements - 3 | Ch 10 Unit 1 | CA INTER Advanced Accounting | CA Parag Gupta,https://www.youtube.com/watch?v=K1FOU1nQ3GA
