Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
3597,Accounting,Cost Accounting For Beginners,42hrs 19min,12th,English/Hindi,Module 1: Introduction to Cost Accounting,1.  Cost Introduction - Introduction Class,https://www.youtube.com/watch?v=ESqO8sFgQa0
3598,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 1: Introduction to Cost Accounting,"2. Cost Accounting - Cost – Analysis, Concepts & Classifications",https://www.youtube.com/watch?v=H8uPssjep-4
3599,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 2: Cost Analysis and Sheet Preparation,3. Cost Accounting - Proforma Of Cost Sheet,https://www.youtube.com/watch?v=RZSilfxk3fA
3600,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 2: Cost Analysis and Sheet Preparation,4. Cost Accounting - Cost Sheet Preparation - Problem No : 1,https://www.youtube.com/watch?v=apRWwI24xuA
3601,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 2: Cost Analysis and Sheet Preparation,5. Cost Accounting - Cost Sheet Preparation - Problem No : 2,https://www.youtube.com/watch?v=FfcxNJQEBpc
3602,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 2: Cost Analysis and Sheet Preparation,6. Cost Accounting - Cost Sheet Preparation - Problem No : 3,https://www.youtube.com/watch?v=O9XqFn4u_eg
3603,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 3: Material Cost and Inventory Control,7. Cost Accounting - MaterialCost - Introduction,https://www.youtube.com/watch?v=97ZsQysv7ps
3604,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 3: Material Cost and Inventory Control,8. Cost Accounting - Techniques of Material Control - Stock Level Settings,https://www.youtube.com/watch?v=MrUfKxvVCi4
3605,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 3: Material Cost and Inventory Control,9. Cost Accounting -  Economic Order Quantity (EOQ)Complete Concept,https://www.youtube.com/watch?v=zcnljbDkaZ8
3606,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 3: Material Cost and Inventory Control,10. Cost Accounting - Economic Order Quantity - Problems & Solutions.,https://www.youtube.com/watch?v=OPhKpHvXh9A
3607,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 4: Inventory Control Methods and Valuation,Recommended Standard Text Books For Cost Accounting,https://www.youtube.com/watch?v=kK2gCZiKXA0
3608,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 4: Inventory Control Methods and Valuation,"12. Inventory Control Methods -  ""VED, Perpetual Inventory System & Double Bin System""",https://www.youtube.com/watch?v=scNtCCFwDpw
3609,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 4: Inventory Control Methods and Valuation,"13. Inventory Control Methods ""Input-Output Ratio, Stock Turnover Ratio & FNSD Analysis""",https://www.youtube.com/watch?v=81LEGhDpHI8
3610,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 4: Inventory Control Methods and Valuation,"14. Methods of  Valuing Material Issues - ""FIFO Method(First In First Out)""",https://www.youtube.com/watch?v=4fd4XPCYzMk
3611,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 5: Valuing Material Issues,"15. Methods of  Valuing Material Issues - ""LIFO Method(Last In First Out)""",https://www.youtube.com/watch?v=IYHfRE5Cgx0
3612,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 5: Valuing Material Issues,"16. ""Simple Average Method"" - Methods of  Valuing Material Issues  from Cost Accounting",https://www.youtube.com/watch?v=s0rsLfBOxlw
3613,Accounting,Cost Accounting For Beginners,,12th,English/Hindi,Module 5: Valuing Material Issues,17. Weighted Average Method - Methods of  Valuing Material Issues From Cost Accounting,https://www.youtube.com/watch?v=URg-wyK1440
