Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11408,Adult Education,Classroom Activities for Adult ESL Learners,14hrs 3min,12th,English/Hindi,Module 1: Icebreakers,Adult ESL Activities: Concentration (short version),https://www.youtube.com/watch?v=BZ0HSsPGikw
11409,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 1: Icebreakers,Adult ESL Activities: Walking Dictation (full version),https://www.youtube.com/watch?v=Bu1LSIv60wM
11410,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 1: Icebreakers,"Adult ESL Activities: Walk, Talk, Trade (short version)",https://www.youtube.com/watch?v=U3wVnw2xZNc
11411,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 1: Icebreakers,"Adult ESL Activities: Walk, Talk, Trade (full version)",https://www.youtube.com/watch?v=wc6nCyBrRjU
11412,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 2: Active Listening & Speaking,Adult ESL Activities Total Physical Response (TPR) (short version),https://www.youtube.com/watch?v=Tzx7T2WFvKs
11413,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 2: Active Listening & Speaking,Adult ESL Activities: Total Physical Response (TPR) (full version),https://www.youtube.com/watch?v=3LdIYEIRuoc
11414,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 2: Active Listening & Speaking,Adult ESL Activities: Post-It Chart (full version),https://www.youtube.com/watch?v=XGfeM2gPBeQ
11415,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 2: Active Listening & Speaking,Adult ESL Activities: Jigsaw Reading (full version),https://www.youtube.com/watch?v=b_NI4GlOi_k
11416,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 3: Vocabulary Building,Adult ESL Activities: Exit Ticket (full version),https://www.youtube.com/watch?v=AI5JCcJVJZs
11417,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 3: Vocabulary Building,Adult ESL Activities: Concentric Circles (full version),https://www.youtube.com/watch?v=HrRpm9qacBg
11418,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 3: Vocabulary Building,Adult ESL Activities: Conversation Queue (full version),https://www.youtube.com/watch?v=qXeXYVGS6sE
11419,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 4: Reading and Comprehension,Adult ESL Activities: Ball Toss (full version),https://www.youtube.com/watch?v=rlViTMRLNMA
11420,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 4: Reading and Comprehension,Adult ESL Activities: Substitution Drill (full version),https://www.youtube.com/watch?v=iu4EsXz0oZw
11421,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 4: Reading and Comprehension,Adult ESL Activities: Mingle Grid (full version),https://www.youtube.com/watch?v=7uMkjyuI2Ok
11422,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 4: Reading and Comprehension,Adult ESL Activities: Number of the Day (full version),https://www.youtube.com/watch?v=tD19_K9yZKc
11423,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 5: Writing Skills,Adult ESL Activities: Concentration (full version),https://www.youtube.com/watch?v=pHkoZG4jwug
11424,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 5: Writing Skills,Adult ESL Activities: Dialogue (full version),https://www.youtube.com/watch?v=MX72zvmGcPs
11425,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 5: Writing Skills,Adult ESL Activities: Letter Sound Drill (full version),https://www.youtube.com/watch?v=g9CrX2Wo9d0
11426,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 6: Grammar Fun,Adult ESL Activities: Walking Dictation (short version),https://www.youtube.com/watch?v=w6vgN2okfvY
11427,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 6: Grammar Fun,Adult ESL Activities: Exit Ticket (short version),https://www.youtube.com/watch?v=ofHYL8m8oDA
11428,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 6: Grammar Fun,Adult ESL Activities: Ball Toss (short version),https://www.youtube.com/watch?v=ytr0cs89fpA
11429,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 6: Grammar Fun,Adult ESL Activities: Jigsaw Reading (short version),https://www.youtube.com/watch?v=tWFvZUWHoJ4
11430,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 7: Review and Assessment,Adult ESL Activities: Picture Stories (full version),https://www.youtube.com/watch?v=v3RwBrFZqYs
11431,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 7: Review and Assessment,Adult ESL Activities: Post-It Chart (short version),https://www.youtube.com/watch?v=s8VJNuW2JE8
11432,Adult Education,Classroom Activities for Adult ESL Learners,,12th,English/Hindi,Module 7: Review and Assessment,Adult ESL Activities: Concentric Circles (short version),https://www.youtube.com/watch?v=URsh8S_8rsc
