Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11508,Adult Education,English Course - Beginner 1,2hrs 12min,12th,English/Hindi,Module 1: Welcome to English!,Beginner English Introduction,https://www.youtube.com/watch?v=CbPy_CjJR90
11509,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 1: Sounds of English,English Consonants + Vowels,https://www.youtube.com/watch?v=exIcb2_PTVM
11510,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 1: A is for Apple,English Grammar: a / an + Noun,https://www.youtube.com/watch?v=sX7eLnvedMo
11511,Adult Education,English Course - Beginner 1,,12th,English/Hindi,"Module 1: One Book, Two Books",English Grammar: Singular + Plural Nouns,https://www.youtube.com/watch?v=Db4AC9iaj4c
11512,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 2: I and You,English Grammar: Subjective Pronouns,https://www.youtube.com/watch?v=Q_7Uow5vXZM
11513,Adult Education,English Course - Beginner 1,,12th,English/Hindi,"Module 2: He is Happy, She is Sad",English Grammar Subjective Pronouns + 'Be' Verb,https://www.youtube.com/watch?v=TOixidGqEeY
11514,Adult Education,English Course - Beginner 1,,12th,English/Hindi,"Module 2: Is it a Cat? No, it isn't.",English Grammar: Subjective Pronouns + Be + Not,https://www.youtube.com/watch?v=4SoEvIbzwh0
11515,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 2: Are You Ready?,English Grammar: Be Verb Pronoun Questions,https://www.youtube.com/watch?v=HZ0CBUsI93E
11516,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 3: Pronoun Review,English Grammar: Review #1 - Subjective Pronouns,https://www.youtube.com/watch?v=gA7vk0GVOHc
11517,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 3: Grammar Check - Round 1,Grammar Check Up #1,https://www.youtube.com/watch?v=tj6fCMTUbKM
11518,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 4: What is That?,English Grammar: What + Be Verb Questions,https://www.youtube.com/watch?v=F1P4bBy00vg
11519,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 4: This or That?,English Grammar: This / That,https://www.youtube.com/watch?v=rWmd39oMZws
11520,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 4: These and Those,English Grammar: These / Those,https://www.youtube.com/watch?v=IfsMvzf5yHA
11521,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 4: Practice Time!,English Grammar: This / That / These / Those Practice,https://www.youtube.com/watch?v=eByGdzdn_rw
11522,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 5: My and Your,English Grammar: Possessive Adjectives,https://www.youtube.com/watch?v=oBYfoG5wBP8
11523,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 5: Mine and Yours,English Grammar: Possessive Pronouns,https://www.youtube.com/watch?v=YzInQMQ7hWE
11524,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 5: Grammar Check - Round 2,English Grammar: Grammar Check Up #2,https://www.youtube.com/watch?v=F5WDeNw9_Ek
11525,Adult Education,English Course - Beginner 1,,12th,English/Hindi,"Module 6: A Cat, An Apple",English Grammar: Articles + Noun,https://www.youtube.com/watch?v=vNTiUh72lFo
11526,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 6: Where is it?,English Grammar: Prepositions in / on / under,https://www.youtube.com/watch?v=3Lj0_D1FZ3g
11527,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 6: Big and Small,English Grammar: Beginner Adjectives,https://www.youtube.com/watch?v=BLJ9pFRy-No
11528,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 6: Grammar Check - Round 3,English Grammar: Grammar Check Up #3,https://www.youtube.com/watch?v=HuNnWNu7gw0
11529,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 7: I Have a Dream,English Grammar: Have / Has,https://www.youtube.com/watch?v=wuBE2I6Dn-Y
11530,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 7: I Don't Have Any,English Grammar: Don't / Doesn't Have Questions,https://www.youtube.com/watch?v=1CAKkdFeOK4
11531,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 7: Do You Have it?,English Grammar:  Do / Does Have Questions,https://www.youtube.com/watch?v=-Qb99jxYPxg
11532,Adult Education,English Course - Beginner 1,,12th,English/Hindi,Module 7: Grammar Check - Round 4,Grammar Check Up #4,https://www.youtube.com/watch?v=agMpwm7VnvM
