"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
1032,"Aerospace Engineering","Aerospace Engineering Basic Course","215hrs 6min","12th","English/Hindi","Module 1: Introduction & Ballooning","Introduction , Ballooning (1/18) - Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=lQqssaUouAA"
1033,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 1: Introduction & Ballooning","Structural Concepts - (5/18) Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=UblZj3dq1Ng"
1034,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 1: Structural Concepts","Cockpits & Systems - (6/18) Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=BeB6ytw24gQ"
1035,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 1: Structural Concepts","Supersonic & High Speed Environment - (7/18) Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=uMxglaU0JIk"
1036,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 2: Cockpits & Systems","Helicopters & Other Vehicles  -  (8/18)  -  Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=oXoixlld4qM"
1037,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 2: Cockpits & Systems","Sustainability  -  (9/18)  -  Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=t4afp_iJLOw"
1038,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 2: Supersonic & High Speed Environment","Aerodynamics lecture 1 Fundamentals  -  (10/18)  -  Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=IBj-5rfG13k"
1039,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 2: Supersonic & High Speed Environment","Aerodynamics lecture 2 Compressiblility  -  (11/18)  -  Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=kQC8VIivZSY"
1040,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 3: Helicopters & Other Vehicles","Aerodynamics lecture 3 Compressible flow  -  (12/18)  -  Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=2jyAUEmLZmU"
1041,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 3: Helicopters & Other Vehicles","Aerodynamics lecture 4 Laminar  turbulent flow I  -  (13/18) -  Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=TjDS2i7_pUE"
1042,"Aerospace Engineering","Aerospace Engineering Basic Course","","12th","English/Hindi","Module 3: Sustainability","Aerodynamics lecture 5 Laminar and turbulent flow I -  (14/18) -  Aerospace Engineering Basic Course","https://www.youtube.com/watch?v=ohG1YRr_o9g"
