S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Anthropology,Anthropological Linguistics,43hrs 40min,12th,English/Hindi,Module 1: Introduction to Linguistic Anthropology,"In Class at IUP: ""Dude"" through the lens of Linguistic Anthropology",https://www.youtube.com/watch?v=8wHp43Nt1hE
2,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 1: Introduction to Linguistic Anthropology,Why The &@$# Do We Swear?,https://www.youtube.com/watch?v=7M2N4wY9pDg
3,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 1: Introduction to Linguistic Anthropology,Linguistic Anthropology,https://www.youtube.com/watch?v=6HL5H2VLd_c
4,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 1: Introduction to Linguistic Anthropology,Linguistic Anthropology,https://www.youtube.com/watch?v=FSDh4oFlX08
5,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 2: Language and Power,"Linguistics in a Colonial World: A Story of Language, Meaning, and Power",https://www.youtube.com/watch?v=xwsj9AZnaaE
6,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 2: Language and Power,"2015 Journal of Linguistic Anthropology Forum on the ""Language Gap""",https://www.youtube.com/watch?v=vj3c1WXZ9fI
7,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 2: Language and Power,Dreaming in Different Tongues: Languages and the Way We Think,https://www.youtube.com/watch?v=I8uUjtiaXqE
8,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 3: Language and Thought,Deborah Tannen: Gender-specific language rituals,https://www.youtube.com/watch?v=tUxnBZxsfoU
9,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 3: Language and Thought,"Austronesian Expansion: Social, Linguistic, Genetic Networks",https://www.youtube.com/watch?v=f7MgiNAbWg4
10,Anthropology,Anthropological Linguistics,,12th,English/Hindi,Module 3: Language and Thought,Fundamentals In Linguistic Anthropology : Phonetics And Phonemics,https://www.youtube.com/watch?v=IfSVWSMldsE
