S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Anthropology,Applied anthropology,2hrs 32min,12th,English/Hindi,Module 1: Introduction to Applied Anthropology,William Foote Whyte. From Applied anthropology to Organizational Behaviour,https://www.youtube.com/watch?v=-5GF09wJ8PA
2,Anthropology,Applied anthropology,,12th,English/Hindi,Module 1: Introduction to Applied Anthropology,On the Future of Anthropology in Schools of Education -- Where we are: Struggles and challenges,https://www.youtube.com/watch?v=45fFS_IZ0qs
3,Anthropology,Applied anthropology,,12th,English/Hindi,Module 1: Introduction to Applied Anthropology,Doing Anthropology,https://www.youtube.com/watch?v=BhCruPBvSjQ
4,Anthropology,Applied anthropology,,12th,English/Hindi,Module 1: Introduction to Applied Anthropology,Lauriston Sharp interview,https://www.youtube.com/watch?v=yXGNLha9zRc
5,Anthropology,Applied anthropology,,12th,English/Hindi,Module 2: Anthropology in Organizational Settings,Jan Chipchase: Design anthropology,https://www.youtube.com/watch?v=ZGnCOKPlikg
6,Anthropology,Applied anthropology,,12th,English/Hindi,Module 2: Anthropology in Organizational Settings,I'm Busy--and It's Not Just about Time: Chuck Darrah at TEDxConstitutionDrive 2013,https://www.youtube.com/watch?v=27aAkCzvk0Q
7,Anthropology,Applied anthropology,,12th,English/Hindi,Module 2: Anthropology in Organizational Settings,Professor Rod Rhodes - Political Anthropology and Public Policy,https://www.youtube.com/watch?v=SWfo_i_Yp88
8,Anthropology,Applied anthropology,,12th,English/Hindi,Module 3: Applied Anthropology in Action,Anthropologist Dennis Rodgers on the Politics of Urban Development,https://www.youtube.com/watch?v=i0Hufa3E3co
9,Anthropology,Applied anthropology,,12th,English/Hindi,Module 3: Applied Anthropology in Action,Doug Hume   Anthropology,https://www.youtube.com/watch?v=wBtTRRuqxFk
10,Anthropology,Applied anthropology,,12th,English/Hindi,Module 3: Applied Anthropology in Action,The Corporate Anthropologist. TEDx Auckland,https://www.youtube.com/watch?v=fgtrnBdqmQI
11,Anthropology,Applied anthropology,,12th,English/Hindi,Module 3: Applied Anthropology in Action,"""Movement for Social Change in Cuba"" Gayle McGarrity, PhD",https://www.youtube.com/watch?v=_xNo2yMstsc
12,Anthropology,Applied anthropology,,12th,English/Hindi,Module 4: Contemporary Issues in Applied Anthropology,Introducing our YouTube Ethnography Project,https://www.youtube.com/watch?v=tYcS_VpoWJk
