S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Anthropology,Urban Anthropology,6hrs 43min,12th,English/Hindi,Module 1: The Cost of Cars,The high cost of free parking,https://www.youtube.com/watch?v=Akm7ik-H_7U
2,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 1: The Cost of Cars,Superblocks: How Barcelona is taking city streets back from cars,https://www.youtube.com/watch?v=ZORzsubQA_M
3,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 1: The Cost of Cars,How highways wrecked American cities,https://www.youtube.com/watch?v=odF4GSX1y3c
4,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 2: Urban Design and Its Discontents,It's not you. Bad doors are everywhere.,https://www.youtube.com/watch?v=yY96hTb8WgI
5,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 2: Urban Design and Its Discontents,Why cities are full of uncomfortable benches,https://www.youtube.com/watch?v=WeyLEe1T0yo
6,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 2: Urban Design and Its Discontents,Vintage Style in Winter! || 5 Tips on Keeping Warm,https://www.youtube.com/watch?v=Dy_9dI2PHWY
7,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 3: Transportation and Urban Life,Vintage Style in Winter! || 5 Tips on Keeping Warm,https://www.youtube.com/watch?v=Dy_9dI2PHWY
8,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 3: Transportation and Urban Life,Vintage Style in Winter! || 5 Tips on Keeping Warm,https://www.youtube.com/watch?v=Dy_9dI2PHWY
9,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 3: Transportation and Urban Life,How Did New York's Trains Get so Bad? | NYT,https://www.youtube.com/watch?v=COLMODzYX7U
10,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 4: Case Studies in Urbanism,How The Car Industry Stole Our Streets,https://www.youtube.com/watch?v=lrfsTNNCbP0
11,Anthropology,Urban Anthropology,,12th,English/Hindi,Module 4: Case Studies in Urbanism,Chinese Takeout Lo Mein Secrets Revealed,https://www.youtube.com/watch?v=iRxDpjNDt3A
