Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7679,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,106hrs 15min,12th,English/Hindi,Module 1: Module 01 - Lecture 01,Module 01 - Lecture 01,https://www.youtube.com/watch?v=_k3yR0JqcTQ
7680,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 1: Module 01 - Lecture 02,Module 01 - Lecture 02,https://www.youtube.com/watch?v=n2TA1zANbTA
7681,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 1: Module 01 - Lecture 03,Module 01 - Lecture 03,https://www.youtube.com/watch?v=m1m5XKq7wNs
7682,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 1: Module 01 - Lecture 04,Module 01 - Lecture 04,https://www.youtube.com/watch?v=R0JR3yEe2jU
7683,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 2: Module 02 - Lecture 01 Building internal electrical distribution system,Module 02 - Lecture 01 Building internal electrical distribution system,https://www.youtube.com/watch?v=1hXv_Cjp1sY
7684,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,"Module 2: Module 2 - Lecture 02 UPS, Server Power requirements, Wiring Systems","Module 2 - Lecture 02 UPS, Server Power requirements, Wiring Systems",https://www.youtube.com/watch?v=gwwzAjswjxo
7685,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 2: Module 02 - Lecture 03,Module 02 - Lecture 03,https://www.youtube.com/watch?v=SdP4SicIo80
7686,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 2: Module 02 - Lecture 04,Module 02 - Lecture 04,https://www.youtube.com/watch?v=3JyGFNn0QUk
7687,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 3: Module 03 Session 01 Electrical Services & Illumination,Module 03 Session 01 Electrical Services & Illumination,https://www.youtube.com/watch?v=hfQoBpQdQ1o
7688,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 3: Module 03 Session 02 Electrical services & Illumination,Module 03 Session 02 Electrical services & Illumination,https://www.youtube.com/watch?v=EVhKzyNRY_g
7689,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 4: Module 04 - Session 01 - Illumination Fundamentals 1,Module 04 - Session 01 - Illumination Fundamentals 1,https://www.youtube.com/watch?v=paR22gUSZbg
7690,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 4: Module 04 Session 02 -  Illumination Fundamentals  2,Module 04 Session 02 -  Illumination Fundamentals  2,https://www.youtube.com/watch?v=TP9YUvdLzZA
7691,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 4: Module 4 Session 03 Illumination lighting methods  1,Module 4 Session 03 Illumination lighting methods  1,https://www.youtube.com/watch?v=ymQD3xjHupc
7692,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 4: Module 04 Session 04 Preparation of lighting layout,Module 04 Session 04 Preparation of lighting layout,https://www.youtube.com/watch?v=KBCnIPvnd3o
7693,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 5: Module 05 - Lecture 01 Extra Low Voltage Systems  1,Module 05 - Lecture 01 Extra Low Voltage Systems  1,https://www.youtube.com/watch?v=LoAPwu6CLCs
7694,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 5: Module 05 Lecture 02 Extra Low Voltage Systems 2 Illumination,Module 05 Lecture 02 Extra Low Voltage Systems 2 Illumination,https://www.youtube.com/watch?v=GLCn6zbbLxI
7695,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 5: Module 05 Lecture 03  Electrical Layout Design,Module 05 Lecture 03  Electrical Layout Design,https://www.youtube.com/watch?v=NqRslys7__k
7696,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,12th,English/Hindi,Module 5: Module 05 Lecture 04 Load estimation,Module 05 Lecture 04 Load estimation,https://www.youtube.com/watch?v=Gvxc9Dp8sEc
