Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7968,Architecture,Beginner Architecture Lessons,19hrs 2min,12th,English/Hindi,Module 1: Introduction to Architecture,5 Things Under $20 Every ARCHITECT Needs,https://www.youtube.com/watch?v=t3oXU3VSZLg
7969,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 1: Essential Tools and Resources,How to Write Like An Architect (+ Worksheet),https://www.youtube.com/watch?v=eGUDQ1F5tco
7970,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 1: Learning to See,Architecture Short Course: How to Develop a Design Concept,https://www.youtube.com/watch?v=k4dVgbuxBAw
7971,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 1: Sketching Fundamentals,Architecture Books | My Library of Essentials,https://www.youtube.com/watch?v=B-_QtKl5IkU
7972,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 2: Design Concepts and Ideas,Inside My Sketchbook + An Architect's Sketching Tools,https://www.youtube.com/watch?v=p8LBr6cZPuY
7973,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 2: Architectural Writing,Learning to See Like an Architect,https://www.youtube.com/watch?v=QQvHQK6swzg
7974,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 2: Amateur Architecture,Architecture Photography Tips,https://www.youtube.com/watch?v=OtZAku_co3w
7975,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 3: Architectural Photography,Be an Amateur (Architect),https://www.youtube.com/watch?v=0AJE4_Xo4ng
7976,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 3: Book Recommendations,Must Have Books For Architecture Students,https://www.youtube.com/watch?v=6_YNSVO6cUA
7977,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 4: Career Exploration,How to Find Architectural Ideas,https://www.youtube.com/watch?v=CqQumzZVa1U
7978,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 4:  Sketching Practice,Could you be an architect?  Part 1,https://www.youtube.com/watch?v=2Hw12xW5ZZ8
7979,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 4: Developing Your Style,How to write like an architect,https://www.youtube.com/watch?v=Ky5p-L_m6BQ
7980,Architecture,Beginner Architecture Lessons,,12th,English/Hindi,Module 4: Portfolio Building,Rapid sketching - Architecture Daily Sketches,https://www.youtube.com/watch?v=5LbUwkk93QI
