Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7560,Architecture,Urban Design Tutorials,16hrs 0min,12th,English/Hindi,Module 1: Site Analysis Fundamentals,A Complete Beginner's Guide to Architecture Site Analysis Urbanism,https://www.youtube.com/watch?v=Lgp7EtSSugM
7561,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 1: Site Analysis Fundamentals,Architectural design Site Analysis | Adobe Photoshop,https://www.youtube.com/watch?v=Kwa8dLOQgwE
7562,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 1: Site Analysis Fundamentals,Urban Site Analysis Tutorial,https://www.youtube.com/watch?v=BqcnB9XkCxA
7563,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 1: Site Analysis Fundamentals,How to Generate Contour Map with Sketchup,https://www.youtube.com/watch?v=cwfb7Vfygjc
7564,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 2: Digital Site Analysis Tools,Creating Terrain in SketchUp from Contours with Toposhaper - SketchUp Extension of the Week #45,https://www.youtube.com/watch?v=-Jd-wiznAbo
7565,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 2: Digital Site Analysis Tools,5 Programs Architects MUST Learn,https://www.youtube.com/watch?v=huIaQnE0omw
7566,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 2: Digital Site Analysis Tools,Complete Beginner's Guide to Architecture Site Analysis Using Alcohol Makers,https://www.youtube.com/watch?v=r2DituCuBgE
7567,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 3:  Urban Design Communication,7 Best Sites to Help us be Better Architects (topography and line drawings),https://www.youtube.com/watch?v=xE0dKG2aMws
7568,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 3:  Urban Design Communication,How to create a Figure Ground Drawing,https://www.youtube.com/watch?v=Ug4lHA3UB6g
7569,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 3:  Urban Design Communication,Section Rendering In Photoshop - Easy Architectural Section Rendering,https://www.youtube.com/watch?v=dpoegiy8FZA
7570,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 4: Graphic Design for Urbanists,How to : Very Fast Urban Diagram in Sketchup and Photoshop,https://www.youtube.com/watch?v=dSa8BWKAW54
7571,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 4: Graphic Design for Urbanists,Layered Axonometric Map in Photoshop,https://www.youtube.com/watch?v=gkTe_7q880s
7572,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 4: Graphic Design for Urbanists,A Complete Guide to using InDesign for your Architecture Presentation Boards,https://www.youtube.com/watch?v=GIpJ9Fr-uvo
7573,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 5: Portfolio and Presentation Skills,Drawing Perspective Vector Art in Adobe illustrator,https://www.youtube.com/watch?v=niKUMz0wpUQ
7574,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 5: Portfolio and Presentation Skills,Site Plan Tutorial in Photoshop (Architectural Competition 2of5),https://www.youtube.com/watch?v=dWlPMT6IXD0
7575,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 5: Portfolio and Presentation Skills,"Portfolio Tips - Architecture, Design & Planning",https://www.youtube.com/watch?v=o8EgQbuLfjw
7576,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 6: Advanced Photoshop Techniques,Secret Photoshop Hacks Everyone Must know 0.1,https://www.youtube.com/watch?v=r6ism1JjX3M
7577,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 6: Advanced Photoshop Techniques,Landscape Perspective Section Tutorial,https://www.youtube.com/watch?v=k2-ANwnNl8Y
7578,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 6: Advanced Photoshop Techniques,Using InDesign to set up a Report Layout,https://www.youtube.com/watch?v=BmkXoMS96Iw
7579,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 7: InDesign for Urban Design,InDesign for Planners - Introduction,https://www.youtube.com/watch?v=ZN5pHHDL5h4
7580,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 7: InDesign for Urban Design,Architecture Site Analysis Presentation Guide | Photoshop Tutorial,https://www.youtube.com/watch?v=epdyq2khPEQ
7581,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 7: InDesign for Urban Design,9 Illustrator Tips every Architect must know!,https://www.youtube.com/watch?v=2XVwpZBauDA
7582,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 8: Urban Design Principles,7 principles for building better cities | Peter Calthorpe | TED,https://www.youtube.com/watch?v=IFjD3NMv6Kw
7583,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 8: Urban Design Principles,How To Create Parallax Effect PowerPoint  🔥 Step by Step 🔥,https://www.youtube.com/watch?v=zDIGQ58DaLU
7584,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 8: Urban Design Principles,"7 (more) Best Sites to Help us be Better Architects (Site map, Vector human figures, Norman foster)",https://www.youtube.com/watch?v=oSqPxvVfwhM
7585,Architecture,Urban Design Tutorials,,12th,English/Hindi,Module 8: Urban Design Principles,How to Create Design Systems in InDesign Tutorial,https://www.youtube.com/watch?v=gYpPh1jTjmk
