S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Artificial Intelligence (Complete Playlist),28hrs 14min,12th,English/Hindi,Module 1: Introduction to Artificial Intelligence,Artificial Intelligence Syllabus Discussion and Analysis  for NTA UGC NET,https://www.youtube.com/watch?v=uB3i-qV6VdM
2,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Artificial Intelligence,What is Artificial Intelligence | Learn AI with Real Life Examples | Can Machine Think??,https://www.youtube.com/watch?v=s-s9ilkMVj8
3,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Artificial Intelligence,What is State Space Search | Introduction to Problem Solving in Artificial Intelligence,https://www.youtube.com/watch?v=E5jVBqe59EE
4,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Artificial Intelligence,Uninformed Vs Informed Search in Artificial Intelligence with Example,https://www.youtube.com/watch?v=gZpUcsB9TFc
5,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 2: Search Techniques in Artificial Intelligence,Breadth First Search with example | Uninformed Search | Artificial Intelligence,https://www.youtube.com/watch?v=qul0f79gxGs
6,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 2: Search Techniques in Artificial Intelligence,Depth First Search (DFS) with example | Uninformed Search | Artificial Intelligence,https://www.youtube.com/watch?v=f8luGFRtshY
7,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 2: Search Techniques in Artificial Intelligence,Bidirectional Search Algorithm in Artificial Intelligence in Hindi with Real Life Examples,https://www.youtube.com/watch?v=rEema9uQ02c
8,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 2: Search Techniques in Artificial Intelligence,8-Puzzle Problem in Artificial Intelligence without Heuristic | All Imp Points | Must Watch,https://www.youtube.com/watch?v=_CrEYrcImv0
9,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 3: Uninformed Search Techniques,What is Heuristic in AI | Why we use Heuristic | How to Calculate Heuristic | Must Watch,https://www.youtube.com/watch?v=5F9YzkpnaRw
10,Artificial Intelligence,Artificial Intelligence (Complete Playlist),,12th,English/Hindi,Module 3: Uninformed Search Techniques,How to Solve 8-Puzzle Problem with Heuristic(Informed Search) in Artificial Intelligence,https://www.youtube.com/watch?v=nmWGhb9E4es
