Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11480,Artificial Intelligence,Machine Learning,21hrs 0min,12th,English/Hindi,Module 1: Introduction to Data Science & ML,Lec-1: Introduction to Data Science & ML | Roadmap to Learn Data Science & ML,https://www.youtube.com/watch?v=kz184QIO4ZQ
11481,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 1: Supervised Learning Algorithms,Lec-2: Supervised Learning Algorithms | Machine Learning,https://www.youtube.com/watch?v=LKlOH8OLLcw
11482,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 1: Introduction to Regression,Lec-3: Introduction to Regression with Real Life Examples,https://www.youtube.com/watch?v=cHT-qLnRm0E
11483,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 1: Linear Regression,Lec-4: Linear Regression📈 with Real life examples & Calculations | Easiest Explanation,https://www.youtube.com/watch?v=zUQr6HAAKp4
11484,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 2: Logistic Regression,Lec-5: Logistic Regression with Simplest & Easiest Example | Machine Learning,https://www.youtube.com/watch?v=r8OjlgWpAI0
11485,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 2: Linear Regression Vs. Logistic Regression,Lec-6: Linear Regression Vs. Logistic Regression | Supervised Learning | Machine Learning,https://www.youtube.com/watch?v=BVP1EDKb6_g
11486,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 2: kNN Classification,Lec-7: kNN Classification with Real Life Example | Movie Imdb Example | Supervised Learning,https://www.youtube.com/watch?v=O1nWXTXcCwI
11487,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 2: Naive Bayes Classification,Lec-8: Naive Bayes Classification Full Explanation with examples | Supervised Learning,https://www.youtube.com/watch?v=GBMMtXRiQX0
11488,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 3: Introduction to Decision Tree,Lec-9: Introduction to Decision Tree 🌲 with Real life examples,https://www.youtube.com/watch?v=mvveVcbHynE
11489,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 3: Decision Tree ID3 Algorithm,Lec-10: Decision Tree 🌲 ID3 Algorithm with Example & Calculations 🧮,https://www.youtube.com/watch?v=CWzpomtLqqs
11490,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 3: Conditional Probability,Conditional Probability with Easiest Explanation & Example,https://www.youtube.com/watch?v=dQ6RL8qe320
11491,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 3: Introduction to Ensemble Learning,Introduction to Ensemble Learning with Real Life Examples | Machine⚙️ Learning,https://www.youtube.com/watch?v=qQjOWmf8I_I
11492,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 4: K-mean Clustering,K-mean Clustering with Numerical Example | Unsupervised Learning | Machine🖥️ Learning 🙇‍♂️🙇,https://www.youtube.com/watch?v=5FpsGnkbEpM
11493,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 4: Hierarchical Clustering,Hierarchical Clustering | Agglomerative vs Divisive with examples,https://www.youtube.com/watch?v=zxQF8Rmpk1M
11494,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 4: Single Linkage Clustering,Single Linkage Clustering | Agglomerative Clustering | Hierarchical Clustering,https://www.youtube.com/watch?v=pbTQQCA9Xs0
11495,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 4: Complete Linkage Clustering,Complete Linkage⛓️ Clustering with Example | Clustering in Unsupervised Learning | ML,https://www.youtube.com/watch?v=Ufzq9oLhzX0
11496,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 5: K-medoids Clustering,K-medoids Clustering with Numerical Example | Machine Learning,https://www.youtube.com/watch?v=FosEwkYIGmU
11497,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 5: Random Forest in Machine Learning,Random Forest 🌳 in Machine Learning 🧑‍💻👩‍💻,https://www.youtube.com/watch?v=DXqxXe3rep0
11498,Artificial Intelligence,Machine Learning,,12th,English/Hindi,Module 5: kNN for Classified & Regression,kNN for Classified & Regression with Easiest Explanation | Machine Learning 🤖🙇,https://www.youtube.com/watch?v=zqQ_pi6j2jE
