Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1555,Automotive Engineering,Automobile Engineering Video Lectures,6hrs 4min,12th,English/Hindi,Module 1: Introduction to Automobiles,Basic Structure of an Automobile | Automobile Engineering,https://www.youtube.com/watch?v=c3CalfdYZYw
1556,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 1: Introduction to Automobiles,Chassis Frame Construction | Automobile Engineering,https://www.youtube.com/watch?v=qfkTVYJIx8Q
1557,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 1: Introduction to Automobiles,Automobile Chassis and Suspension | Automobile Engineering,https://www.youtube.com/watch?v=PYje-4D76kc
1558,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 1: Introduction to Automobiles,Automobile Chassis and Suspension | Automobile Engineering,https://www.youtube.com/watch?v=FpycxewStsE
1559,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 2: Chassis and Suspension,Automobile Controls | Automobile Engineering,https://www.youtube.com/watch?v=S_B6Twq1FOE
1560,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 2: Chassis and Suspension,Introduction of Steering System | Automobile Engineering,https://www.youtube.com/watch?v=KrwrNbnJZQ8
1561,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 2: Chassis and Suspension,How Clutch Works in Automobile? | Automobile Engineering,https://www.youtube.com/watch?v=SuHMSDsVM5k
1562,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 2: Chassis and Suspension,Types of Friction Clutches | Automobile Engineering,https://www.youtube.com/watch?v=8Jr44ybyS7U
1563,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 3: Automobile Controls,Basics of an Automobile | Automobile Engineering,https://www.youtube.com/watch?v=RpL8m0jTSjE
1564,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 3: Automobile Controls,General Layout of Automobile | Automobile Engineering,https://www.youtube.com/watch?v=ChsK7sXMsZk
1565,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 3: Automobile Controls,Explain Engine Firing Order | Automobile Engineering,https://www.youtube.com/watch?v=ss0GMKBYCks
1566,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 4: Clutch Systems,How Battery Ignition System Works | Automobile Engineering,https://www.youtube.com/watch?v=OMLSNwQiiKg
1567,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 4: Clutch Systems,Working of a Spark Plug | Automobile Engineering,https://www.youtube.com/watch?v=dea07uYGkps
1568,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 4: Clutch Systems,How to Calculate Stoichiometric Air Fuel Ratio? | Automobile Engineering,https://www.youtube.com/watch?v=S4Rm3FD6WBo
1569,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 5: Engine Fundamentals,Air Fuel Mixture Requirement in SI Engines | Automobile Engineering,https://www.youtube.com/watch?v=ngXfCeGeeBg
1570,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 5: Engine Fundamentals,Principles of Lubrication | Automobile Engineering,https://www.youtube.com/watch?v=MGbbSxZTdCQ
1571,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 5: Engine Fundamentals,Basics of Lubrication | Automobile Engineering,https://www.youtube.com/watch?v=oYqB7Dhj4jA
1572,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 5: Engine Fundamentals,How Brake Works? | Automobile Engineering,https://www.youtube.com/watch?v=CoCmQnQOZ0k
1573,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 6: Ignition and Fuel Systems,Introduction of Wheels and Tyres | Automobile Engineering,https://www.youtube.com/watch?v=I08QRQYr-k8
1574,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 6: Ignition and Fuel Systems,What is Transmission System ? | Automobile Engineering,https://www.youtube.com/watch?v=hiRdAnixrKE
1575,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 6: Ignition and Fuel Systems,Types of Carburetors | Automobile Engineering,https://www.youtube.com/watch?v=VsXvN4u6C60
1576,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 6: Ignition and Fuel Systems,Best Online Video-Tutorials are Available for Automobile Engineering on Magic Marks!,https://www.youtube.com/watch?v=-5I_uof4UQw
1577,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 7: Lubrication and Brakes,Automobile Engineering Video-Tutorial is available on Magic Marks!,https://www.youtube.com/watch?v=_tKJeR6VFws
1578,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 7: Lubrication and Brakes,Video-Tutorial and Assessment for Automobile Engineering is available on Magic Marks!,https://www.youtube.com/watch?v=ZKR0yt7o2Gg
1579,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 7: Lubrication and Brakes,Automobile Engineering | Tutorials And Assesment | Magic Marks,https://www.youtube.com/watch?v=D-BBjFtItEE
1659,Automotive Engineering,Automobile Engineering Video Lectures,6hrs 4min,12th,English/Hindi,Module 7: Lubrication and Brakes,Basic Structure of an Automobile | Automobile Engineering,https://www.youtube.com/watch?v=c3CalfdYZYw
1660,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,"Module 8: Wheels, Tyres, and Transmission",Chassis Frame Construction | Automobile Engineering,https://www.youtube.com/watch?v=qfkTVYJIx8Q
1661,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,"Module 8: Wheels, Tyres, and Transmission",Automobile Chassis and Suspension | Automobile Engineering,https://www.youtube.com/watch?v=PYje-4D76kc
1662,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,"Module 8: Wheels, Tyres, and Transmission",Automobile Chassis and Suspension | Automobile Engineering,https://www.youtube.com/watch?v=FpycxewStsE
1663,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 9: Carburetor Types,Automobile Controls | Automobile Engineering,https://www.youtube.com/watch?v=S_B6Twq1FOE
1664,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 9: Carburetor Types,Introduction of Steering System | Automobile Engineering,https://www.youtube.com/watch?v=KrwrNbnJZQ8
1665,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 10: Online Resources - Magic Marks,How Clutch Works in Automobile? | Automobile Engineering,https://www.youtube.com/watch?v=SuHMSDsVM5k
1666,Automotive Engineering,Automobile Engineering Video Lectures,,12th,English/Hindi,Module 10: Online Resources - Magic Marks,Types of Friction Clutches | Automobile Engineering,https://www.youtube.com/watch?v=8Jr44ybyS7U
