Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
6370,Biotechnology,Animal Biotechnology,75hrs 18min,12th,English/Hindi,Module 1: Introduction to Animal Cell Culture,"How to develop a cell line? | Properties of finite, continuous and transformed cell lines",https://www.youtube.com/watch?v=JyiZeLbkHL0
6371,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 1: How to Develop a Cell Line & Properties of Cell Lines,What is primary animal cell culture technique used for culturing of animal cells?,https://www.youtube.com/watch?v=YmAowsN2R2o
6372,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 1: Primary Animal Cell Culture Techniques,Basic design of animal cell culture laboratory | Media and instruments used for animal cell culture,https://www.youtube.com/watch?v=o0hHD2yjjNI
6373,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 1: Designing an Animal Cell Culture Laboratory,"Organ Culture - its Applications, Advantages and Disadvantages",https://www.youtube.com/watch?v=kXslx34uv1c
6374,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 2: Advanced Cell Culture Techniques,What is subculture or passaging of animal cells | Growth curve of animal cells,https://www.youtube.com/watch?v=NU9YYlEh_8w
6375,Biotechnology,Animal Biotechnology,,12th,English/Hindi,"Module 2: Organ Culture: Applications, Advantages & Disadvantages",Substrates used for animal cell culturing and their pretreatment,https://www.youtube.com/watch?v=MvyQYHjw5pQ
6376,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 2: Subculture and Passaging of Animal Cells,"Artificial skin - it's development, advantages, disadvantages and future prospective",https://www.youtube.com/watch?v=vCi7wv9MV2g
6377,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 2: Growth Curve of Animal Cells,Transfection methods for animal cells,https://www.youtube.com/watch?v=vKEixrIat-Y
6378,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 3: Substrates for Animal Cell Culturing,Cloning and expression of foreign genes in animal cells | Over production of proteins,https://www.youtube.com/watch?v=BsoWY65Wen8
6379,Biotechnology,Animal Biotechnology,,12th,English/Hindi,"Module 3: Artificial Skin: Development, Advantages & Future",Production of vaccine in animal cells,https://www.youtube.com/watch?v=52c3XZzxua0
6380,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 3: Transfection Methods for Animal Cells,Production of therapeutic product by genetic engineering,https://www.youtube.com/watch?v=I6Ub6cOKhtw
6381,Biotechnology,Animal Biotechnology,,12th,English/Hindi,Module 3: Cloning and Expression of Foreign Genes in Animal Cells,Production and applications of monoclonal antibodies,https://www.youtube.com/watch?v=cM8XNTE9Kpc
