Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
6134,Biotechnology,Cell Biology,118hrs 4min,12th,English/Hindi,Module 1: Introduction to Cell Biology,Cell Biology | Cell Cycle: Interphase & Mitosis,https://www.youtube.com/watch?v=LUDws4JrIiI
6135,Biotechnology,Cell Biology,,12th,English/Hindi,Module 1: Cell Structure & Function,Cell Biology | Cell Cycle Regulation,https://www.youtube.com/watch?v=9ZoZx2FK9DE
6136,Biotechnology,Cell Biology,,12th,English/Hindi,Module 1: Cell Membrane Structure & Function,Cell Biology | Cell Structure & Function,https://www.youtube.com/watch?v=t5DvF5OVr1Y
6137,Biotechnology,Cell Biology,,12th,English/Hindi,Module 1: Cell Junctions,"Cell Biology | Zellweger Syndrome, Refsum's Disease, Adrenoleukodystrophy",https://www.youtube.com/watch?v=sQDrhn_I1-8
6138,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Organelles,"Cell Biology | Tay-Sachs, Fabry, Gaucher, Niemann-Pick Disease",https://www.youtube.com/watch?v=yXLBuy38jQM
6139,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Endoplasmic Reticulum Structure & Function,Cell Biology | Passive & Active Transport | Endocytosis & Exocytosis,https://www.youtube.com/watch?v=xHIzfkbj82U
6140,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Golgi Apparatus Structure & Function,Cell Biology | DNA Structure & Organization 🧬,https://www.youtube.com/watch?v=S6LXyzZn5Ls
6141,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Mitochondria Structure & Function,Cell Biology | DNA Replication 🧬,https://www.youtube.com/watch?v=xvWdIi6_fGg
6142,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Lysosomes and Peroxisomes,Cell Biology | DNA Transcription 🧬,https://www.youtube.com/watch?v=ZrCx98CtJ_4
6143,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Lysosomes Structure & Function,Cell Biology | Translation: Protein Synthesis 🧬,https://www.youtube.com/watch?v=80kxa1zApUM
6144,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Peroxisomes Structure & Function,Cell Junctions,https://www.youtube.com/watch?v=gmlA8V2zMv4
6145,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Cell Nucleus Structure & Function,Cell Membrane Structure & Function,https://www.youtube.com/watch?v=iYG_GH1EdEc
6146,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: Cell Cycle and Genetic Information,Cell Nucleus Structure & Function,https://www.youtube.com/watch?v=u5MozvAH32c
6147,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: Cell Biology | Cell Cycle: Interphase & Mitosis,Endoplasmic Reticulum Structure & Function,https://www.youtube.com/watch?v=X1n2ggpzBbc
6148,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: Cell Biology | Cell Cycle Regulation,Golgi Apparatus Structure & Function,https://www.youtube.com/watch?v=TPgyv2411Xo
6149,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: DNA Structure & Organization 🧬,Mitochondria Structure & Function,https://www.youtube.com/watch?v=FXDkK-eZeuk
6150,Biotechnology,Cell Biology,,12th,English/Hindi,Module 5: DNA Replication & Protein Synthesis,Lysosomes Structure & Function,https://www.youtube.com/watch?v=QtGMAgxv72Y
6151,Biotechnology,Cell Biology,,12th,English/Hindi,Module 5: DNA Replication 🧬,Peroxisomes Structure & Function,https://www.youtube.com/watch?v=ntM9tyaZJsc
