Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
6062,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,209hrs 8min,12th,English/Hindi,Module 1: Introduction to DNA Replication,Molecular Biology | Features of DNA CSIR NET June 2024 | Emotion 3.0 | IFAS L-1,https://www.youtube.com/watch?v=hR9IpioKkGE
6063,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 1: Introduction to DNA Replication,Eukaryotic Replication | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS L-4,https://www.youtube.com/watch?v=DBgJJ1NOq1M
6064,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 1: Introduction to DNA Replication,DNA Replication In Prokaryotic | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-3,https://www.youtube.com/watch?v=HtfXIB2wZzQ
6065,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 1: Introduction to DNA Replication,Extra Chromosome | DNA Replication | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS L-5,https://www.youtube.com/watch?v=e_fYnoB3IAk
6066,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 2: DNA Replication in Prokaryotes,DNA Damage | DNA Mitochondrial Replication | Molecular Biology | CSIR NET June 2024 | IFAS | L-6,https://www.youtube.com/watch?v=g9AiNJ_CPPQ
6067,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 2: DNA Replication in Prokaryotes,DNA replication | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-2,https://www.youtube.com/watch?v=hMHO6A0fin8
6068,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 2: DNA Replication in Prokaryotes,Molecular Biology | Features of DNA CSIR NET June 2024 | Emotion 3.0 | IFAS L-1,https://www.youtube.com/watch?v=hR9IpioKkGE
6069,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 3: DNA Damage and Repair,Genetic Code | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS Lec 12,https://www.youtube.com/watch?v=0XFblahJWBk
6070,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 3: DNA Damage and Repair,Prokaryotic Transcription | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS Lec 9,https://www.youtube.com/watch?v=KJ7tYRAXLWU
6071,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 3: DNA Damage and Repair,DNA Repair Part-2 | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS Lec 8,https://www.youtube.com/watch?v=LtMTr73I5Yk
6072,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 4: Transcription in Prokaryotes,Transcription In Eukaryotes | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS Lec 10,https://www.youtube.com/watch?v=RZkLHIQLUa0
6073,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 4: Transcription in Prokaryotes,RNA Splicing | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS | Lec 11,https://www.youtube.com/watch?v=kBrkuwbmI3E
6074,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 4: Transcription in Prokaryotes,DNA Repair | DNA Damage In Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS | Lec 7,https://www.youtube.com/watch?v=lo6Ys7YZjX4
6075,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 5: Transcription in Eukaryotes,Translation In Prokaryotes | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS L-15,https://www.youtube.com/watch?v=Cquhtr2YsvM
6076,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 5: Transcription in Eukaryotes,Translation In Prokaryotes | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS L-14,https://www.youtube.com/watch?v=MNBHE4lsuIw
6077,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 5: Transcription in Eukaryotes,Prokaryotes | Lac Operon Gene Regulation | Molecular Biology | CSIR NET June 2024 | IFAS L-16,https://www.youtube.com/watch?v=YVgqZl1zKM8
6078,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 6: Translation in Prokaryotes,Eukaryotic Gene Regulation | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS L-18,https://www.youtube.com/watch?v=glKiLtOsowU
6079,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 6: Translation in Prokaryotes,TRP Operon | Arabi Nose Operon CSIR NET | Molecular Biology  CSIR NET June 2024 | IFAS L-17,https://www.youtube.com/watch?v=i4K-Ui_1KP8
6080,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 7: Gene Regulation in Prokaryotes,Genetic Codon | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS | Lec 13,https://www.youtube.com/watch?v=jdqqsRoVlRI
6081,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 7: Gene Regulation in Prokaryotes,Tryptophan Operon | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-21,https://www.youtube.com/watch?v=-DJKq3JuHuo
6082,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 7: Gene Regulation in Prokaryotes,LAC Operon Gene Regulation | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-19,https://www.youtube.com/watch?v=-c_BsWDpFIk
6083,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 8: Gene Regulation in Eukaryotes,Gene Regulation Lambda Phage | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-22,https://www.youtube.com/watch?v=8q5mf8mWRtY
6084,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 8: Gene Regulation in Eukaryotes,Eukaryotic Gene Regulation Part All | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 |  L-24,https://www.youtube.com/watch?v=ZkMidbpPQj4
6085,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 8: Gene Regulation in Eukaryotes,Eukaryotic Structure (Gene Regulation) Part 1 | Molecular Biology CSIR NET 2024 | Emotion 3.0 | L-23,https://www.youtube.com/watch?v=e3KCidqLrIw
6086,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 9: Genomic Imprinting and RNA Silencing,Arabinose Lac Operon | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-20,https://www.youtube.com/watch?v=haUEGTobWwY
6087,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 9: Genomic Imprinting and RNA Silencing,Genomic Imprinting | Molecular Biology | CSIR NET June 2024 | Emotion3.0 | IFAS | L5,https://www.youtube.com/watch?v=1doOBHhR70c
6088,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 10: Chromatin Modification,RNA Mediated Gene Silencing | Molecular Biology | CSIR NET June 2024 | Emotion3.0 | IFAS L6,https://www.youtube.com/watch?v=3D4gCXTwyXw
6089,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 10: Chromatin Modification,Eukaryotic Gene Regulation (Genomic Level) | Molecular Biology  CSIR NET 2024 | Emotion 3.0 | L2,https://www.youtube.com/watch?v=FL5FoZLZjbU
6090,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,12th,English/Hindi,Module 10: Chromatin Modification,Eukaryotes Factors & Regulatory Sequence | Molecular Biology | CSIR NET June 2024 | Emotion3.0 | L1,https://www.youtube.com/watch?v=SrWkX0nU0lI
