"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
6441,"Biotechnology","Introduction to Genomics - course","90hrs 8min","12th","English/Hindi","Module 1: Introduction to Genomics","DNA and genetic markers | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=rKQGkPszPgU"
6442,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 1: DNA and Genetic Markers","SNP chips | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=PeFOjLEJkrA"
6443,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 1: SNP Chips","Genomic maps and recombination | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=YngKajFCzMY"
6444,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 1: Genomic Maps and Recombination","Haplotypes and imputation | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=BlA8lXnnzAw"
6445,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 2: Haplotypes and Imputation","Linkage disequilibrium | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=IW2b_rXxq6M"
6446,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 2: Linkage Disequilibrium","Genome wide association studies | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=7iarFfxYxQc"
6447,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 2: Genome-Wide Association Studies","Genomic admixture | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=xptm1ik_FSo"
6448,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 3: Genomic Admixture","Selection signatures | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=A8NsAKunXrI"
6449,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 3: Selection Signatures","Genomic inbreeding | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=QUCtDwOwjMQ"
6450,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 3: Genomic Inbreeding","Genomic selection | Introduction to genomics theory | Genomics101 (beginner-friendly)","https://www.youtube.com/watch?v=oAoRcgffCjk"
6451,"Biotechnology","Introduction to Genomics - course","","12th","English/Hindi","Module 4: Genomic Selection and The Grand Summary","The Grand Summary | Introduction to genomics | Genomics 101","https://www.youtube.com/watch?v=TS7oHeS6wWg"
