Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
6263,Biotechnology,Microbial Biotechnology,76hrs 3min,12th,English/Hindi,Module 1: Introduction to Microbial Biotechnology,What is downstream processing used for the purification of fermentation product?,https://www.youtube.com/watch?v=n5usKgWZwbU
6264,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 1: Microbial Growth and Nutrition,What is sterilization and contamination | Physical and chemical methods of sterilization,https://www.youtube.com/watch?v=KqeOc7HQqFI
6265,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 1: Isolation and Screening of Industrial Microbes,"Isolation, Screening, and Strain improvement of industrial microbes",https://www.youtube.com/watch?v=QRItTCQVAb4
6266,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 1: Strain Improvement,Types of Fermentation and Fermenters,https://www.youtube.com/watch?v=MFQ6FjV4gCQ
6267,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 2: Fermentation Technology,What is microbial growth & nutrition | Microbial growth media & it's types | Microbial growth curve,https://www.youtube.com/watch?v=5JjCPTczKi4
6268,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 2: Types of Fermentation and Fermenters,Construction of Airlift fermenter or bioreactor,https://www.youtube.com/watch?v=YGR9FvSfIek
6269,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 2: Construction of Airlift Bioreactors,MCQs of Microbial Biotechnology - Part 1 | Microbiology quiz | MCQs of Microbiology,https://www.youtube.com/watch?v=KtKmGaXemU8
6270,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 2: Downstream Processing,Production of single cell proteins,https://www.youtube.com/watch?v=Z1EudFO3b6w
6271,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 3: Industrial Enzymes and their Production,How to produce amylase and protease enzymes using microorganisms,https://www.youtube.com/watch?v=l9nN-nPZ_RY
6272,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 3: Amylase and Protease Production,Beer production,https://www.youtube.com/watch?v=I_W_RZMHVng
6273,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 3: Applications of Microbial Enzymes,Biodegradation of xenobiotic compounds,https://www.youtube.com/watch?v=A_e7JB1pwkU
6274,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 3: Enzyme Engineering,Sewage waste water treatment technique | Activated sludge system | Trickling filter,https://www.youtube.com/watch?v=X63ExIPS6nI
6275,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 4: Microbial Production of Alcoholic Beverages,Production of ethanol or ethyl alcohol,https://www.youtube.com/watch?v=oPZqgIJKAcY
6276,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 4: Beer Production,Wine production process and recovery of wine,https://www.youtube.com/watch?v=-Ht4lpohaTw
6277,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 4: Wine Production Process and Recovery,Development of genetically engineered microbes,https://www.youtube.com/watch?v=_oo5PdAmA74
6278,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 4: Quality Control in Alcoholic Beverage Production,Applications of genetically engineered microbes in Medicine and Agriculture,https://www.youtube.com/watch?v=-y5hd454zEI
6279,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 5: Bioremediation and Wastewater Treatment,Citric acid production,https://www.youtube.com/watch?v=od4oeeUUfHw
6280,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 5: Biodegradation of Xenobiotic Compounds,Biogas production process | Microbes and substrates used in biogas production,https://www.youtube.com/watch?v=fyFywirDlBk
6281,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 5: Sewage Wastewater Treatment Techniques,Trickling filter used for sewage waste water treatment,https://www.youtube.com/watch?v=2YqDNxxBkQ8
6282,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 5: Activated Sludge and Trickling Filter Systems,Activated sludge system used in sewage waste water treatment,https://www.youtube.com/watch?v=T5C4rCtFk00
6283,Biotechnology,Microbial Biotechnology,,12th,English/Hindi,Module 6: Microbial Production of Primary Metabolites,Important abbreviations in microbiology,https://www.youtube.com/watch?v=YqAGBER65dw
