"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
1892,"Business Administration","Leadership and Team Effectiveness","7hrs 2min","12th","English/Hindi","Module 1: Introduction to Leadership and Team Management","Leadership and Team Effectiveness","https://www.youtube.com/watch?v=rnqq_14DF0I"
1893,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 1: Introduction to Leadership & Team Management","Lecture 01: Introduction to Leadership & Team Management","https://www.youtube.com/watch?v=Ihv0KFFSdCE"
1894,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 1: Leadership Myths & Facts-I","Lecture 02: Leadership Myths & Facts-I","https://www.youtube.com/watch?v=wfjbhtYJgMs"
1895,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 1: Leadership Myths & Facts-II","Lecture 03: Leadership Myths & Facts-II","https://www.youtube.com/watch?v=Qp3Vx-AmVTk"
1896,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 2: Frameworks for Analyzing Leadership","Lecture 04: Interactional Framework for Analyzing Leadership","https://www.youtube.com/watch?v=33P93jJuw0w"
1897,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 2: Interactional Framework for Analyzing Leadership","Lecture 05: Leadership Development: The First 90 Days as a Leader","https://www.youtube.com/watch?v=CfsF3GlqzCg"
1898,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 2:  Leadership Development: The First 90 Days as a Leader","Lecture 06: Leader Development: The Action-Observation-Reflection Model","https://www.youtube.com/watch?v=V9bsP1e4VD0"
1899,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 2: Leader Development: The Action-Observation-Reflection Model","Lecture 07: Leader–Member Exchange (LMX) Theory","https://www.youtube.com/watch?v=2qFNXgtpnkU"
1900,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 3: Leadership Theories","Lecture 08: Normative Decision Model","https://www.youtube.com/watch?v=jRtw8sOWCbM"
1901,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 3: Leader–Member Exchange (LMX) Theory","Lecture 09: Situational Leadership Model","https://www.youtube.com/watch?v=5yM2_jcSavs"
1902,"Business Administration","Leadership and Team Effectiveness","","12th","English/Hindi","Module 3: Normative Decision Model","Lecture 10: Contingency Model and Path-Goal Theory","https://www.youtube.com/watch?v=s127kK5_rjM"
