"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
2670,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","211hrs 15min","12th","English/Hindi","Module 1: Introduction to Environmental Engineering","6:00 PM - ENVIRONMENTAL ENGINEERING - Water Demand | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=wdaP9Gszo_c"
2671,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 1: Water Demand and Quality","9:00 AM - ENVIRONMENTAL ENGINEERING - POPULATION FORECASTING | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=ytgoVjtf_MM"
2672,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 1: Water Treatment","9:00 AM - ENVIRONMENTAL ENGINEERING - QUALITY OF WATER | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=EFJttyUCCVg"
2673,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 1: Water Distribution","6:00 PM - ENVIRONMENTAL ENGINEERING - QUALITY OF WATER | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=Lq9ahhzfa3Q"
2674,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 2: Introduction to Environmental Engineering 2","9:00 AM - ENVIRONMENTAL ENGINEERING - Treatment of Water | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=JboQ7MPi2tE"
2675,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 2: Design of Sewer Systems","9:00 AM - ENVIRONMENTAL ENGINEERING - Treatment of Water | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=w1rSDV0Czjw"
2676,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 2: Sewage Treatment","9:00 AM - ENVIRONMENTAL ENGINEERING - Treatment of Water | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=KT8fEbsApug"
2677,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 2: Disposal of Sewage Effluents","9:00 AM - ENVIRONMENTAL ENGINEERING - Water Distribution | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=yR0dKflHP08"
2678,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 3: Solid Waste Management","9:00 AM - ENVIRONMENTAL ENGINEERING 2 - Introduction | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=aqknqZMzWp4"
2679,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 3: Air Pollution","6:30 PM - ENVIRONMENTAL ENGINEERING 2 - Design of Sewer | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=JlwB8fdmwg8"
2680,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 4: Population Forecasting","9:00 AM - ENVIRONMENTAL ENGINEERING 2 - Design of Sewer | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=9_3fkOXTvd8"
2681,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 4: Quality of Water","6:15 PM - ENVIRONMENTAL ENGINEERING 2 - Sewage Treatment | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=HfnEwyOqlTQ"
2682,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 4: Treatment of Water","9:00 AM - ENVIRONMENTAL ENGINEERING 2 - Sewage Treatment | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=vJdu9uyJE8k"
2683,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 5: Design of Sewer","6:00 PM - ENVIRONMENTAL ENGG. 2 - DISPOSAL OF SEWAGE EFFLUENTS | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=CzZfDFh08tI"
2684,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 5: Sewage Treatment","9:00 AM - ENVIRONMENTAL ENGG. 2 - Solid Waste Management | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=CHfoR8q3cBo"
2685,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 6: Disposal of Sewage Effluents","9:00 AM - ENVIRONMENTAL ENGG. 2 - Air Pollution | Civil Engg. by Sandeep Jyani Sir","https://www.youtube.com/watch?v=P4NsZLNGJ7w"
2686,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 6: Quick Revision","Quick Revision | Environmental Engineering","https://www.youtube.com/watch?v=Nqs680IRfA0"
2687,"Chemical Engineering","Environmental Engineering By Sandeep Jyani","","12th","English/Hindi","Module 6: RRB JE Exam Pattern","RRB JE Exam Pattern, Syllabus, Selection Procedure I Railway JE I Onlne Course","https://www.youtube.com/watch?v=QEE_2yG0DlM"
