Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
2844,Chemical Engineering,Introduction to Materials Science and Engineering,31hrs 7min,12th,English/Hindi,Module 1: Introduction to Materials Science,1.1 Introduction,https://www.youtube.com/watch?v=KMcsjCXfLQw
2845,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Materials Science,1.2 Crystal geometry,https://www.youtube.com/watch?v=KilQCJNucUw
2846,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Materials Science,1.3 Unit cell,https://www.youtube.com/watch?v=ZmfxnA4H2MQ
2847,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Materials Science,1.4 Classification of latices,https://www.youtube.com/watch?v=J8Bo9BHxesE
2848,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,1.5 Gaps in Bravais lattices,https://www.youtube.com/watch?v=Qz8QbRUdO8s
2849,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,Symmetry I,https://www.youtube.com/watch?v=6w4jjiC_vTc
2850,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,Symmetry II,https://www.youtube.com/watch?v=46M4EBoZMvk
2851,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,Classification of lattices on the basis of symmetry,https://www.youtube.com/watch?v=n_5aAVB-xKA
2852,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Symmetry in Crystals,A symmetry based approach to Bravais lattices,https://www.youtube.com/watch?v=5_FmJgp6sMQ
2853,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Symmetry in Crystals,Miller Indices of Directions,https://www.youtube.com/watch?v=mc-VocwArHY
2854,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 4: Miller Indices and Crystallographic Directions,Miller Indices for Planes,https://www.youtube.com/watch?v=1vsNxkdlcXw
