Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
2466,Chemical Engineering,KETF10 Separation processes,8hrs 11min,12th,English/Hindi,Module 1: Introduction to Separation Processes,KETF10 Separation Processes in 5 minutes,https://www.youtube.com/watch?v=tw7XfNI77qs
2467,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 1: Introduction to Separation Processes,Introduction to KETF10 Separation Processes,https://www.youtube.com/watch?v=l28MuNCzowQ
2468,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 1: Introduction to Separation Processes,Separation 1: What processes do you know?,https://www.youtube.com/watch?v=eb-LGCQ1zjI
2469,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 1: Introduction to Separation Processes,Separation 2: Categorising sep methods,https://www.youtube.com/watch?v=cGjBWn40NfY
2470,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 2: Evaporation Fundamentals,Separation 3: Choosing method (and CT1),https://www.youtube.com/watch?v=9Fs4dsDQmu8
2471,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 2: Evaporation Fundamentals,Evaporation: Design principle,https://www.youtube.com/watch?v=WVV0ucfpwG4
2472,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 2: Evaporation Fundamentals,Evaporation: Heat transfer coefficient,https://www.youtube.com/watch?v=rsfQ9fCTYQY
2473,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 2: Evaporation Fundamentals,Evaporation: Drinking water from sea water,https://www.youtube.com/watch?v=3jCvflXx3aA
2474,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 2: Evaporation Fundamentals,Evaporation: Mass and energy balances,https://www.youtube.com/watch?v=7dcSoqoGiBY
2475,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 3: Evaporation Applications & Design,"Evaporation: Example single unit, no BPE (DRAFT video)",https://www.youtube.com/watch?v=VT1U091rPcE
2476,Chemical Engineering,KETF10 Separation processes,,12th,English/Hindi,Module 3: Evaporation Applications & Design,Evaporation: Improving steam economy (DRAFT video),https://www.youtube.com/watch?v=U7NC55AWRRA
