"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7049,"Chemistry","Analytical Chemistry","21hrs 8min","12th","English/Hindi","Module 1: Introduction to Analytical Chemistry","Prof  Debashis Ray","https://www.youtube.com/watch?v=YY5tpD3HNII"
7050,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 1: Introduction to Analytical Chemistry","Chemicals and Materials Analysis","https://www.youtube.com/watch?v=KHpRNb_38OM"
7051,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 1: Introduction to Analytical Chemistry","Methods","https://www.youtube.com/watch?v=qJ8cjdCCd_Q"
7052,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 1: Introduction to Analytical Chemistry","Methods (Contd.)","https://www.youtube.com/watch?v=wrnXdihS4K8"
7053,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 2: Basic Laboratory Techniques","Methods (Contd.)","https://www.youtube.com/watch?v=JJV0xFetJxg"
7054,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 2: Basic Laboratory Techniques","Lecture 5 : Methods (Contd.)","https://www.youtube.com/watch?v=gI8CA0gZpVg"
7055,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 2: Basic Laboratory Techniques","Role of Analytical Chemistry","https://www.youtube.com/watch?v=lB3Uni2gRkA"
7056,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 3: Chemical Equilibria","Techniques, Wet Ashing","https://www.youtube.com/watch?v=s-awPo81goM"
7057,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 3: Chemical Equilibria","Apparatus and Weighing","https://www.youtube.com/watch?v=qhb0aw56f7s"
7058,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 3: Chemical Equilibria","Filtration, Ignition","https://www.youtube.com/watch?v=WIsPpIyAmUU"
7059,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 3: Chemical Equilibria","Crucibles, Filter Papers and their Uses","https://www.youtube.com/watch?v=zu3NOa9Bv7Y"
7060,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 4: Chemical Equilibria (Contd.)","Chemical Equilibria","https://www.youtube.com/watch?v=T0RSE8LPYVo"
7061,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 4: Chemical Equilibria (Contd.)","Chemical Equilibria (Contd.)","https://www.youtube.com/watch?v=JG8i1WfjsVg"
7062,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 4: Chemical Equilibria (Contd.)","Chemical Equilibria (Contd.)","https://www.youtube.com/watch?v=wQJNrQU2240"
7063,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 4: Chemical Equilibria (Contd.)","Chemical Equilibria (Contd.)","https://www.youtube.com/watch?v=vqOSH2cJAdk"
7064,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 5: Spectrochemical Methods - I","Chemical Equilibria (Contd.)","https://www.youtube.com/watch?v=AihgKVjjTPc"
7065,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 5: Spectrochemical Methods - I","Spectrochemic Methods - I","https://www.youtube.com/watch?v=OrNSnphpuaU"
7066,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 5: Spectrochemical Methods - I","Spectrochemic Methods - I (Contd.)","https://www.youtube.com/watch?v=E2uT_9pNplw"
7067,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 5: Spectrochemical Methods - I","Spectrochemic Methods - I (Contd.)","https://www.youtube.com/watch?v=RTZf-siBgnU"
7068,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 6: Spectrochemical Methods - I (Contd.)","Lecture 19: Spectrochemic Methods - I (Contd.)","https://www.youtube.com/watch?v=9Z_3cUkLHMw"
7069,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 6: Spectrochemical Methods - I (Contd.)","Spectrochemic Methods - I (Contd.)","https://www.youtube.com/watch?v=_b9k4dCjNd8"
7070,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 6: Spectrochemical Methods - II","Spectrochemical Methods - I","https://www.youtube.com/watch?v=Br3HVv5Fwjk"
7071,"Chemistry","Analytical Chemistry","","12th","English/Hindi","Module 6: Spectrochemical Methods - II","Spectrochemical Methods - II (Contd.)","https://www.youtube.com/watch?v=_A1EzNd2TtQ"
