Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
5483,Civil Engineering,Project Planning & Control,63hrs 2min,12th,English/Hindi,Module 1: Introduction to Project Management,"What is Project Management, Is Project Management an Art / Science?",https://www.youtube.com/watch?v=W2EdffbwgcM
5484,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 2: Project Planning Fundamentals,"Objectives of a Project, Scientific Way of Managing of Objectives",https://www.youtube.com/watch?v=nsE9uCk1RpY
5485,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 3: Project Scheduling Techniques,"Course Scope & Plan, Questions and Discussions",https://www.youtube.com/watch?v=bai4Ll0VGAk
5486,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 4: Resource Management in Projects,Construction Industry and National Growth,https://www.youtube.com/watch?v=nndLyZrGfWc
5487,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 5: Project Monitoring and Control,"Project Stakeholders, Project Phases, Project Organization",https://www.youtube.com/watch?v=Hr-arfbX37w
5488,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 6: Project Uncertainty and Risk Management,Project Scheduling Levels & Scheduling Engineer Responsibilities,https://www.youtube.com/watch?v=TDlgdlX53MU
5489,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Time Management   Overview,https://www.youtube.com/watch?v=5MDr9iOMxcM
5490,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Basics of Work Breakdown Structure WBS,https://www.youtube.com/watch?v=CWgT38w7aSU
5491,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Tools for Time Management,https://www.youtube.com/watch?v=rhoPX7q2lP4
5492,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Gantt  Bar Chart   History, Representation, Progress Monitoring, Uses, Steps to draw",https://www.youtube.com/watch?v=Qh3bw86jJUQ
5493,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Develop a Bar Chart (Exercise),https://www.youtube.com/watch?v=pzVGxW-XLlI
5494,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Bar Charts for Resource Usage, Pros and Cons",https://www.youtube.com/watch?v=8Gb6_x0QuX8
5495,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Duration Estimation   Types, Inputs, Methods, Parametric Estimation",https://www.youtube.com/watch?v=yHz2-xEbvCY
5496,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Factors influencing Productivity, Example for Ideal Productivity, Factored Productive",https://www.youtube.com/watch?v=haUFk_bNsTo
5497,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Piling Activity Example, Applicability of different methods to Estimate Activity Duration",https://www.youtube.com/watch?v=Kqg363tbdgs
5498,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Summary of Key Topics, Types of Networks",https://www.youtube.com/watch?v=B_1CYOSDh_8
5499,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Networks   Introduction, Techniques",https://www.youtube.com/watch?v=s9XPSVj9KVM
5500,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Representing Results in a Bar Chart, AON Example",https://www.youtube.com/watch?v=EOzC2UnP7os
5501,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Introduction to Floats, Types of Floats and Example  1 Discussion",https://www.youtube.com/watch?v=XLWTPTpud1g
5502,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Example 4, Usage of Floats for Project Decisions",https://www.youtube.com/watch?v=r63YGghDfPA
5503,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Two Span Bridge Activity Identification and Duration Estimation (Cont ),https://www.youtube.com/watch?v=7KgC5iJrCko
5504,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Two Span Bridge Activity Identification and Duration Estimation,https://www.youtube.com/watch?v=ZkzjKaVo3Qk
5505,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Two Span Bridge Activity  Duration  Predecessors,https://www.youtube.com/watch?v=h1T4-SfI9Fc
5506,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Review Network Analysis Concepts, Apply Network Analysis to Two Span Bridge Cont ,",https://www.youtube.com/watch?v=ws6iJILcCFY
5507,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Two Span Bridge Network Analysis,https://www.youtube.com/watch?v=Q-we-7bgYgg
5508,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Two Span Bridge Resource Constraints in Network Logic,https://www.youtube.com/watch?v=E2NvkuWMX-0
5509,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Fast Tracking vs Crashing, Relationship between Activity Direct Cost & Activity Duration",https://www.youtube.com/watch?v=QX5zoZZK7vM
5510,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Time Cost trade off ABCD Example Project, Steps for Crashing",https://www.youtube.com/watch?v=K01PxmyC6Vo
5511,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,Time Cost trade off Class Exercise  2,https://www.youtube.com/watch?v=YU-sdxfOwr4
5512,Civil Engineering,Project Planning & Control,,12th,English/Hindi,Module 7: Advanced Topics and Industry Practices,"Time Cost trade off Problem 3, Tabulation Approach",https://www.youtube.com/watch?v=kouipb1-CyY
