Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1874,Communication,Communication Research Methods,136hrs 8min,12th,English/Hindi,Module 1: Introduction to Communication Research,Three Paradigms of Communication Research,https://www.youtube.com/watch?v=lTcEl1fO2zc
1875,Communication,Communication Research Methods,,12th,English/Hindi,Module 1: Research Ethics,Research Ethics Presentation,https://www.youtube.com/watch?v=8ZOzF8_tK6M
1876,Communication,Communication Research Methods,,12th,English/Hindi,Module 1: Research Questions and Data,Research Questions and Data,https://www.youtube.com/watch?v=__PoAUpjrlo
1877,Communication,Communication Research Methods,,12th,English/Hindi,Module 2: Descriptive Statistics and Surveys,Descriptive Statistics and Surveys,https://www.youtube.com/watch?v=RAbulDy_lIU
1878,Communication,Communication Research Methods,,12th,English/Hindi,Module 2: Correlation & Regression,Module 6 - Correlation & Regression,https://www.youtube.com/watch?v=1mWiIW7sDrc
1879,Communication,Communication Research Methods,,12th,English/Hindi,Module 3: Experiment Design,Module 7 - Experiment Design,https://www.youtube.com/watch?v=b1sPHyRraCo
1880,Communication,Communication Research Methods,,12th,English/Hindi,Module 3: Content Analysis,Comm Research Methods - Content Analysis,https://www.youtube.com/watch?v=UyD6-wg9600
1881,Communication,Communication Research Methods,,12th,English/Hindi,Module 4: Qualitative Research Methods,Intro to Qualitative Data Analysis,https://www.youtube.com/watch?v=CGNnTO8tDXY
1882,Communication,Communication Research Methods,,12th,English/Hindi,Module 4: Intro to Ethnography,Communication Resarch Methods - Intro to Ethnography,https://www.youtube.com/watch?v=NT-iEelzxKY
1883,Communication,Communication Research Methods,,12th,English/Hindi,Module 4: Discourse Analysis,Communication Research Methods - Discourse Analysis,https://www.youtube.com/watch?v=A5N07qm0sY8
