Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1884,Communication,Ethics,31hrs 6min,12th,English/Hindi,Module 1: Introduction to Ethics,Core Ethical Principles (Part 1),https://www.youtube.com/watch?v=7JkRncMz9xc
1885,Communication,Ethics,,12th,English/Hindi,Module 1: Core Ethical Principles (Part 1),Core Ethical Principles (Part 2),https://www.youtube.com/watch?v=-xVdLbD4NZY
1886,Communication,Ethics,,12th,English/Hindi,Module 1: Core Ethical Principles (Part 2),Capacity vs. Competency,https://www.youtube.com/watch?v=JBUIiuYQWzk
1887,Communication,Ethics,,12th,English/Hindi,Module 1: Capacity vs. Competency,Informed Consent,https://www.youtube.com/watch?v=RWL2enliFgY
1888,Communication,Ethics,,12th,English/Hindi,Module 2: Consent and the Law,EMTALA Laws,https://www.youtube.com/watch?v=ffzA73n-PCI
1889,Communication,Ethics,,12th,English/Hindi,Module 2: Informed Consent,Emancipated Minors,https://www.youtube.com/watch?v=V9MtIg72dv0
1890,Communication,Ethics,,12th,English/Hindi,Module 2: EMTALA Laws,Consent vs. Assent,https://www.youtube.com/watch?v=d5zIUCsO8EM
1891,Communication,Ethics,,12th,English/Hindi,Module 2: Emancipated Minors,"Next of Kin, Living Wills, & Power of Attorney",https://www.youtube.com/watch?v=jOOLMHGwCRg
1892,Communication,Ethics,,12th,English/Hindi,Module 3: Patient Autonomy and Decision-Making,Patient Centered Care & Breaking Bad News (SPIKES Model),https://www.youtube.com/watch?v=cg2v97-9z9s
1893,Communication,Ethics,,12th,English/Hindi,Module 3: Consent vs. Assent,"Confidentiality (HIPAA, Covered Entities, Therapeutic Privilege, & Expedited Partner Therapy)",https://www.youtube.com/watch?v=6AdrkyQ6jKU
1894,Communication,Ethics,,12th,English/Hindi,"Module 3: Next of Kin, Living Wills, & Power of Attorney","Insurance (Medicare, Medicaid, COBRA, CHIP, Payments, and Plans)",https://www.youtube.com/watch?v=t3gRoYNFY3s
1895,Communication,Ethics,,12th,English/Hindi,Module 3: Patient Centered Care & Breaking Bad News (SPIKES Model),Medical Malpractice,https://www.youtube.com/watch?v=hIzGEcOE73Q
1896,Communication,Ethics,,12th,English/Hindi,Module 4: Confidentiality and Insurance,"Healthcare Fraud & Abuse (Stark Law, Anti-Kickback, etc.)",https://www.youtube.com/watch?v=6IVcs5MTeF8
1897,Communication,Ethics,,12th,English/Hindi,"Module 4: Confidentiality (HIPAA, Covered Entities, Therapeutic Privilege, & Expedited Partner Therapy)","Stages of Change (Pre-contemplation, Contemplation, Preparation, Action, Maintenance, & Relapse)",https://www.youtube.com/watch?v=-6JdOb5eXvU
1898,Communication,Ethics,,12th,English/Hindi,"Module 4: Insurance (Medicare, Medicaid, COBRA, CHIP, Payments, and Plans)",Ethics (USMLE/COMLEX Practice Questions),https://www.youtube.com/watch?v=0OsS8Hj0aAY
1899,Communication,Ethics,,12th,English/Hindi,Module 5: Legal and Ethical Considerations in Healthcare,USMLE Communications Questions,https://www.youtube.com/watch?v=a7mUhaOj79A
