"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
1448,"Communication","Introduction to Communication Skills - Communication Skills","10hrs 0min","12th","English/Hindi","Module 1: Introduction to Communication","Effective Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=W-4IcNJIyM8"
1449,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 1: Introduction to Communication","Definition of Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=c1kq22FcU6c"
1450,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 1: Introduction to Communication","Concept / Elements of Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=VFpu_-AuwJI"
1451,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 1: Introduction to Communication","Importance of Communication Cycle - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=Bz-EInW_CAo"
1452,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 2: Barriers in Communication","Barriers of Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=HiFe8bQemsQ"
1453,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 2: Barriers in Communication","Physical Barriers of Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=7LP-cXkaRIo"
1454,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 2: Barriers in Communication","Semantic Barriers in Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=lASc170gE4g"
1455,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 2: Barriers in Communication","Cultural Barriers in Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=Bo0Teshfj2w"
1456,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 3: Overcoming Barriers & Verbal Communication","Causes of Psychological Barriers To Communication - Introduction to Communication Skills","https://www.youtube.com/watch?v=UOoCyWhOxhc"
1457,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 3: Overcoming Barriers & Verbal Communication","Methods to Overcome Barriers in Communication - Introduction to Communication Skills","https://www.youtube.com/watch?v=UF6AsLtjxYE"
1458,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 4:  Verbal & Nonverbal Communication","Types of Verbal Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=LC5agCAQ_n4"
1459,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 4:  Verbal & Nonverbal Communication","Paralinguistics in Verbal Communication - Introduction to Communication Skills","https://www.youtube.com/watch?v=hth64YC4eww"
1460,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 4:  Verbal & Nonverbal Communication","Pronunciation in Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=XhD4V8xCOWw"
1461,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 5: Nonverbal Communication & 7 C's","Types of Nonverbal Communication (Grooming) - Introduction to Communication Skills","https://www.youtube.com/watch?v=oFuwPmts6wg"
1462,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 5: Nonverbal Communication & 7 C's","Types of Nonverbal Communication (Body Language) - Introduction to Communication Skills","https://www.youtube.com/watch?v=Wmq54xqlDvg"
1463,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 5: Nonverbal Communication & 7 C's","7 C's of Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=82XN14a87iw"
1464,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 6: Communication Networks & Written Communication","Network of Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=D7287WZ6cXY"
1465,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 6: Communication Networks & Written Communication","Written Communication - Introduction to Communication Skills - Communication Skills","https://www.youtube.com/watch?v=BHgQ03UuQvE"
1466,"Communication","Introduction to Communication Skills - Communication Skills","","12th","English/Hindi","Module 6: Communication Networks & Written Communication","Importance of Written Communication in the Workplace - Introduction to Communication Skills","https://www.youtube.com/watch?v=wl04EzJe0xA"
