"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
191,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","79hrs 7min","12th","English/Hindi","Module 1: Introduction to Data Structures & Algorithms","Introduction to Data Structures & Algorithms","https://www.youtube.com/watch?v=5_5oE5lgrhw"
192,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 1: Time and Space Complexity Analysis","Time Complexity and Big O Notation (with notes)","https://www.youtube.com/watch?v=vgSKOMsjLbc"
193,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 1: Arrays as Abstract Data Types","Asymptotic Notations: Big O, Big Omega and Big Theta Explained (With Notes)","https://www.youtube.com/watch?v=1OTX-WXQHCQ"
194,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 1: Array Operations and Searching","Best Case, Worst Case and Average Case Analysis of an Algorithm (With Notes)","https://www.youtube.com/watch?v=5g7K86jYto8"
195,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 2: Linked Lists","How to Calculate Time Complexity of an Algorithm + Solved Questions (With Notes)","https://www.youtube.com/watch?v=STL8ESuETmM"
196,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 2: Linked List Operations","Arrays and Abstract Data Type in Data Structure (With Notes)","https://www.youtube.com/watch?v=bR0NYdmMg94"
197,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 2: Variations of Linked Lists","Array as An Abstract Data Type in Data Structures(With Notes)","https://www.youtube.com/watch?v=-sktNalfrE0"
198,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 2: Stacks","Implementing Array as an Abstract Data Type in C Language","https://www.youtube.com/watch?v=JqvobBKLHwU"
199,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 3: Stack Implementation and Applications","Operations on Arrays in Data Structures: Traversal, Insertion, Deletion and Searching","https://www.youtube.com/watch?v=p5TDnxAYAZY"
200,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 3: Queues","Coding Insertion Operation in Array in Data Structures in C language","https://www.youtube.com/watch?v=o9WevKSnHL4"
201,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 3: Queue Implementations and Variations","Coding Deletion Operation in Array Using C Language (With Notes)","https://www.youtube.com/watch?v=2jVcRw1jP9I"
202,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 3: Sorting Algorithms","Linear Vs Binary Search + Code in C Language (With Notes)","https://www.youtube.com/watch?v=ZHCP9vFOJiU"
203,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 4: Advanced Sorting Algorithms","Introduction to Linked List in Data Structures (With Notes)","https://www.youtube.com/watch?v=TWMCMvfEAv4"
204,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 4: Introduction to Trees","Linked List Data Structure: Creation and Traversal in C Language","https://www.youtube.com/watch?v=BHphhqL9EOE"
205,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 4: Binary Trees and Traversals","Insertion of a Node in a Linked List Data Structure","https://www.youtube.com/watch?v=ewCc7O2K5SM"
206,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Binary Search Trees","Insertion in a Linked List in C Language","https://www.youtube.com/watch?v=_PuIzVqJJbA"
207,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: AVL Trees","Deletion in a Linked List | Deleting a node from Linked List Data Structure","https://www.youtube.com/watch?v=R_7qJzAWrMg"
208,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graphs","Delete a Node from Linked List (C Code For Deletion From Beginning, End, Specified Position & Key)","https://www.youtube.com/watch?v=UQIJNobtzVY"
209,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Circular Linked List and Operations in Data Structures (With Notes)","https://www.youtube.com/watch?v=41lXYJID3OQ"
210,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Circular Linked Lists: Operations in C Language","https://www.youtube.com/watch?v=UclZxvnOQZc"
211,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Doubly Linked Lists Explained With Code in C Language","https://www.youtube.com/watch?v=63HJ2-jV6Mk"
212,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Introduction to Stack in Data Structures","https://www.youtube.com/watch?v=-n2rVJE4vto"
213,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Implementing Stack Using Array in Data Structures","https://www.youtube.com/watch?v=MD3mFgFwqBE"
214,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","C Code For Implementing Stack Using Array in Data Structures","https://www.youtube.com/watch?v=r2yHEW8HmBE"
215,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Push, Pop and Other Operations in Stack Implemented Using an Array","https://www.youtube.com/watch?v=sN1oUrR7foM"
216,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Coding Push(), Pop(), isEmpty() and isFull() Operations in Stack Using an Array| C Code For Stack","https://www.youtube.com/watch?v=JhHJf93Ft8M"
217,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Peek Operation in Stack Using Arrays (With C Code & Explanation)","https://www.youtube.com/watch?v=UM_UcLNFc_o"
218,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","stackTop, stackBottom & Time Complexity of Operations in Stack Using Arrays","https://www.youtube.com/watch?v=AW09Wnmz4-4"
219,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","How to Implement Stack Using Linked List?","https://www.youtube.com/watch?v=b749wwxlQmA"
220,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Implementing all the Stack Operations using Linked List (With Code in C)","https://www.youtube.com/watch?v=0BTDISr-8xU"
221,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","peek(), stackTop() and Other Operations on Stack Using Linked List (with C Code)","https://www.youtube.com/watch?v=xKJkqzKCxmY"
222,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Parenthesis Matching Problem Using Stack Data Structure (Applications of Stack)","https://www.youtube.com/watch?v=D3M3PEcgdV4"
223,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Parenthesis Checking Using Stack in C Language","https://www.youtube.com/watch?v=Wj_Xtj6so3U"
224,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Multiple Parenthesis Matching Using Stack with C Code","https://www.youtube.com/watch?v=QURbEGE-F_Y"
225,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Infix, Prefix and Postfix Expressions","https://www.youtube.com/watch?v=422Q_yx2yA8"
226,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Infix To Postfix Using Stack","https://www.youtube.com/watch?v=_abDDg0Jw94"
227,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Coding Infix to Postfix in C using Stack","https://www.youtube.com/watch?v=6RmrX2uqllY"
228,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Queue Data Structure in Hindi","https://www.youtube.com/watch?v=UbAEP7P0vfk"
229,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Queue Implementation: Array Implementation of Queue in Data Structure","https://www.youtube.com/watch?v=EyxBMLZdgvc"
230,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Array implementation of Queue and its Operations in Data Structure","https://www.youtube.com/watch?v=JlZX7xIBjl0"
231,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","C Code For Queue and its Operations Using Arrays in Data Structure","https://www.youtube.com/watch?v=FuQdtKry3ss"
232,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Introduction to Circular Queue in Data Structures","https://www.youtube.com/watch?v=KqTJ5MAUj80"
233,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","enqueue(), dequeue() & other Operations on Circular Queue","https://www.youtube.com/watch?v=rtxjrVpWVmI"
234,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","C Code For Circular Queue & Operations on Circular Queue in Hindi","https://www.youtube.com/watch?v=lQBRjdPFF4w"
235,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Queue Using Linked Lists","https://www.youtube.com/watch?v=LwYQo8mVPBs"
236,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Implementing Queue Using Linked List in C Language (With Code)","https://www.youtube.com/watch?v=iXpPL80-MGs"
237,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Double-Ended Queue in Data Structure (DE-Queue Explained)🔥","https://www.youtube.com/watch?v=OnlgK0gjtB8"
238,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Introduction to Sorting Algorithms","https://www.youtube.com/watch?v=ByLlEk7zmyw"
239,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Criteria For Analysis of Sorting Algorithms","https://www.youtube.com/watch?v=tBiSx0PrB4g"
240,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Bubble Sort Algorithm in Hindi","https://www.youtube.com/watch?v=BJkpnxf5cfY"
241,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Bubble Sort Program in C","https://www.youtube.com/watch?v=CkXjf6_8DLU"
242,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Insertion Sort Algorithm in Hindi","https://www.youtube.com/watch?v=8l3dH_XyCik"
243,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Insertion Sort in C Language (With Explanation)","https://www.youtube.com/watch?v=XBfH1Qy1JGY"
244,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Selection Sort Algorithm","https://www.youtube.com/watch?v=Jb8AYaYMxq4"
245,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Selection Sort Program in C","https://www.youtube.com/watch?v=slXyQKww0-E"
246,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","QuickSort Algorithm in Hindi (With Code in C)","https://www.youtube.com/watch?v=SN4x87ZdhGg"
247,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Analysis of QuickSort Sorting Algorithm","https://www.youtube.com/watch?v=xqdTr7xs8QU"
248,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","MergeSort Sorting Algorithm in Hindi","https://www.youtube.com/watch?v=6Aqxv29RGPc"
249,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","MergeSort Source Code in C (Helpful Explanation)","https://www.youtube.com/watch?v=ytK4Biw-CW4"
250,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Count Sort Algorithm","https://www.youtube.com/watch?v=HkvChUv9dDg"
251,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Introduction to Trees","https://www.youtube.com/watch?v=oI0QhFzBSRo"
252,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","What is a Binary Tree?","https://www.youtube.com/watch?v=j8b4ZnZefBo"
253,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Types of Binary Trees","https://www.youtube.com/watch?v=SCjfVE3bFik"
254,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Representation of a Binary Tree","https://www.youtube.com/watch?v=Albe808b8FE"
255,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Linked Representation Of Binary Tree in C","https://www.youtube.com/watch?v=P892nBTmpDQ"
256,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Traversal in Binary Tree (InOrder, PostOrder and PreOrder Traversals)","https://www.youtube.com/watch?v=UbwkQmCWcDM"
257,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Preorder Traversal in a Binary Tree (With C Code)","https://www.youtube.com/watch?v=VNegW_7OLS4"
258,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","PostOrder Traversal in a Binary Tree (With C Code)","https://www.youtube.com/watch?v=PulGSuAmFJM"
259,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","InOrder Traversal in a Binary Tree (With C Code)","https://www.youtube.com/watch?v=X1_0wQb8lDM"
260,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","*Best* Trick To Find PreOrder, InOrder & PostOrder Traversal","https://www.youtube.com/watch?v=IqVCDZlciDU"
261,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Binary Search Trees: Introduction & Properties","https://www.youtube.com/watch?v=XQJJhNiGlL0"
262,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Checking if a binary tree is a binary search tree or not!","https://www.youtube.com/watch?v=hE2EWEqqIKk"
263,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Searching in a Binary Search Trees (Search Operation)","https://www.youtube.com/watch?v=OKXI2woGoeg"
264,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","C Code For Searching in a BST","https://www.youtube.com/watch?v=ZFdmR-MJVkc"
265,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Iterative Search in a Binary Search Tree","https://www.youtube.com/watch?v=47sNttolDNE"
266,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Insertion in a Binary Search Tree","https://www.youtube.com/watch?v=ZxPePWp0n3Y"
267,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Deletion in a Binary Search Tree","https://www.youtube.com/watch?v=VXnlt8qChPQ"
268,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","C Code For Deletion in a Binary Search Tree","https://www.youtube.com/watch?v=qqzaCS3s3Ac"
269,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","AVL Trees - Introduction","https://www.youtube.com/watch?v=npnAlIbyknI"
270,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Insertion and Rotation in AVL Tree","https://www.youtube.com/watch?v=CYTjKQ7ektU"
271,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","AVL Trees - LL LR RL and RR rotations","https://www.youtube.com/watch?v=MNGIzdNPQl4"
272,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","C Code For AVL Tree Insertion & Rotation (LL, RR, LR & RL Rotation)","https://www.youtube.com/watch?v=Wdy36bumttg"
273,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Introduction to Graphs | Graph Data Structure","https://www.youtube.com/watch?v=TwdjOQMTaQ4"
274,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Representation of Graphs - Adjacency List, Adjacency Matrix & Other Representations","https://www.youtube.com/watch?v=SwUNIiV6ePg"
275,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Graph traversal & Graph traversal algorithms","https://www.youtube.com/watch?v=IF3BSU70EZo"
276,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Breadth First Search (BFS) Graph Traversal in Data Structures","https://www.youtube.com/watch?v=6dWUABpUky4"
277,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","BFS Implementation in C | C Code For Breadth First Search","https://www.youtube.com/watch?v=_G3zzPOz61A"
278,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Depth First Search (DFS) Graph Traversal in Data Structures","https://www.youtube.com/watch?v=4M1u4-eGlxU"
279,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","DFS Implementation in C | C Code For Depth First Search","https://www.youtube.com/watch?v=jQmlXAwUvZ4"
280,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Spanning Trees & maximum no of possible spanning trees for complete graphs","https://www.youtube.com/watch?v=91Q3GlQugwc"
281,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Calculating Spanning tree Cost & Minimum Spanning Tree","https://www.youtube.com/watch?v=luZNlCDJInM"
282,"Computer Science Engineering","Data Structures and Algorithms Course in Hindi","","12th","English/Hindi","Module 5: Graph Traversals and Applications","Prims Minimum Spanning Tree Algorithm (Step by Step with examples)","https://www.youtube.com/watch?v=-_SzHb_ntHc"
