"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
153,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","315hrs 0min","12th","English/Hindi","Module 1: HTML for Beginners","HTML Tutorial for Beginners | Complete HTML with Notes & Code","https://www.youtube.com/watch?v=HcOc7P5BMi4"
154,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 1: HTML for Beginners","CSS Tutorial for Beginners | Complete CSS with Project, Notes & Code","https://www.youtube.com/watch?v=ESnrn1kAD4E"
155,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 1: HTML for Beginners","Building AMAZON Clone for Beginners | Project using HTML & CSS","https://www.youtube.com/watch?v=nGhKIC_7Mkk"
156,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 2: CSS for Beginners","Complete Git and GitHub Tutorial for Beginners","https://www.youtube.com/watch?v=Ez8F0nW6S-w"
157,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 2: CSS for Beginners","JavaScript Full Course ❤️ | Variables & Data Types | Lecture 1","https://www.youtube.com/watch?v=ajdRvxDWH4w"
158,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 3: Building an E-commerce Clone","Lecture 2 : Operators and Conditional Statements | JavaScript Full Course","https://www.youtube.com/watch?v=Zg4-uSjxosE"
159,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 3: Building an E-commerce Clone","Lecture 3: Loops and Strings | JavaScript Full Course","https://www.youtube.com/watch?v=UmRtFFSDSFo"
160,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 4: Version Control with Git and GitHub","Lecture 4: Arrays | JavaScript Full Course","https://www.youtube.com/watch?v=gFWhbjzowrM"
161,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 5: JavaScript Fundamentals","Lecture 5: Functions & Methods | JavaScript Full Course","https://www.youtube.com/watch?v=P0XMXqDGttU"
162,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 5: JavaScript Fundamentals","Lecture 6 : DOM - Document Object Model | JavaScript Full Course | Part 1","https://www.youtube.com/watch?v=7zcXPCt8Ck0"
163,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 5: JavaScript Fundamentals","Lecture 7 : DOM (Part 2) | Document Object Model | JavaScript Full Course","https://www.youtube.com/watch?v=fXAGTOZ25H8"
164,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 6: JavaScript in the Browser","Lecture 8 : Events in JavaScript | JavaScript Full Course","https://www.youtube.com/watch?v=_i-uLJAh79U"
165,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 6: JavaScript in the Browser","Lecture 9 : Tic Tac Toe Game in JavaScript | JS Project | JavaScript Full Course","https://www.youtube.com/watch?v=SqrppLEljkY"
166,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 6: JavaScript in the Browser","Lecture 10 : MiniProject - Stone, Paper & Scissors Game | JavaScript Full Course","https://www.youtube.com/watch?v=_V33HCZWLDQ"
167,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 7: Advanced JavaScript and Projects","Lecture 11 : Classes & Objects | JavaScript Full Course","https://www.youtube.com/watch?v=N-O4w6PynGY"
168,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 7: Advanced JavaScript and Projects","Lecture 12 : Callbacks, Promises & Async Await | JavaScript Full Course","https://www.youtube.com/watch?v=d3jXofmQm44"
169,"Computer Science Engineering","HTML,CSS,JavaScript, Project, Git & GitHub","","12th","English/Hindi","Module 7: Advanced JavaScript and Projects","Last Lecture : Fetch API with Project | JavaScript Full Course","https://www.youtube.com/watch?v=CyGodpqcid4"
