"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
367,"Computer Science Engineering","Operating System","41hrs 21min","12th","English/Hindi","Module 1: Introduction and Basics","Introduction to Operating Systems","https://www.youtube.com/watch?v=vBURTt97EkA"
368,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 1: Introduction and Basics","Basics of OS (Computer System Operation)","https://www.youtube.com/watch?v=VjPgYcQqqN0"
369,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 1: Introduction and Basics","Basics of OS (Storage Structure)","https://www.youtube.com/watch?v=YcRd3WMbXnE"
370,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 1: Introduction and Basics","Basics of OS (I/O Structure)","https://www.youtube.com/watch?v=F18RiREDkwE"
371,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 2: Architecture and Structure","Computer System Architecture","https://www.youtube.com/watch?v=So9SR3qpWsM"
372,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 2: Architecture and Structure","Operating System Structure","https://www.youtube.com/watch?v=fvN98a_7AT4"
373,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 2: Architecture and Structure","Operating System Services","https://www.youtube.com/watch?v=TQWERtMoKbI"
374,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 2: Architecture and Structure","User Operating System Interface","https://www.youtube.com/watch?v=psDpbWscPuE"
375,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 3: System Calls and Programs","System Calls","https://www.youtube.com/watch?v=lhToWeuWWfw"
376,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 3: System Calls and Programs","Types of System Calls","https://www.youtube.com/watch?v=EavqupVh8ls"
377,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 3: System Calls and Programs","System Programs","https://www.youtube.com/watch?v=UWDzhz8MVqc"
378,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 4: OS Design and Implementation","Operating System Design & Implementation","https://www.youtube.com/watch?v=t_McsJ1RGQg"
379,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 4: OS Design and Implementation","Structures of Operating System","https://www.youtube.com/watch?v=XXPBl20J22w"
380,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 4: OS Design and Implementation","Virtual Machines","https://www.youtube.com/watch?v=daDbY2iDmU0"
381,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 5: Process Management","Operating System Generation and System Boot","https://www.youtube.com/watch?v=wD0PrF3fGSY"
382,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 5: Process Management","Process Management (Processes and Threads)","https://www.youtube.com/watch?v=OrM7nZcxXZU"
383,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 5: Process Management","Process State","https://www.youtube.com/watch?v=jZ_6PXoaoxo"
384,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 5: Process Management","Process Control Block","https://www.youtube.com/watch?v=4s2MKuVYKV8"
385,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 5: Process Management","Process Scheduling","https://www.youtube.com/watch?v=2h3eWaPx8SA"
386,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 6: Process Operations and Communication","Context Switch","https://www.youtube.com/watch?v=vTgccrbYHYs"
387,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 6: Process Operations and Communication","Operation on Processes – Process Creation","https://www.youtube.com/watch?v=pSW9d3Oaie8"
388,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 6: Process Operations and Communication","Operation on Processes – Process Termination","https://www.youtube.com/watch?v=SFc3jt8t5rU"
389,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 6: Process Operations and Communication","Interprocess Communication","https://www.youtube.com/watch?v=dJuYKfR8vec"
390,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 7: Message Passing and RPC","Shared Memory Systems","https://www.youtube.com/watch?v=uHtzOFwgD74"
391,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 7: Message Passing and RPC","Message Passing Systems (Part 1)","https://www.youtube.com/watch?v=LuuSXWkDJOo"
392,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 7: Message Passing and RPC","Message Passing Systems (Part 2)","https://www.youtube.com/watch?v=S3mS8MR7bUY"
393,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 7: Message Passing and RPC","Message Passing Systems (Part 3)","https://www.youtube.com/watch?v=fViAyFLOYxU"
394,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 7: Message Passing and RPC","Sockets in Operating System","https://www.youtube.com/watch?v=uagKTbohimU"
395,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 8: Threads and Multithreading","Remote Procedure Calls (RPC)","https://www.youtube.com/watch?v=QmhTjsOOrlw"
396,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 8: Threads and Multithreading","Issues in RPC & How They're Resolved","https://www.youtube.com/watch?v=jH3RezOHROU"
397,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 8: Threads and Multithreading","Introduction to Threads","https://www.youtube.com/watch?v=LOfGJcVnvAk"
398,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 8: Threads and Multithreading","Multithreading Models & Hyperthreading","https://www.youtube.com/watch?v=HW2Wcx-ktsc"
399,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 8: Threads and Multithreading","fork() and exec() System Calls","https://www.youtube.com/watch?v=IFEFVXvjiHY"
400,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 9: CPU Scheduling","Threading Issues [fork() & exec() System Calls]","https://www.youtube.com/watch?v=o2Sf0GHWpmk"
401,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 9: CPU Scheduling","Threading Issues (Thread Cancellation)","https://www.youtube.com/watch?v=wNns0kIDC68"
402,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 9: CPU Scheduling","Introduction to CPU Scheduling","https://www.youtube.com/watch?v=EWkQl0n0w5M"
403,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 9: CPU Scheduling","CPU and I/O Burst Cycles","https://www.youtube.com/watch?v=pVzb3TUcDLo"
404,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 10: Scheduling Algorithms","Preemptive and Non-Preemptive Scheduling","https://www.youtube.com/watch?v=4DhFmL-6SDA"
405,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 10: Scheduling Algorithms","Scheduling Criteria","https://www.youtube.com/watch?v=bWHFY8-rL5I"
406,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 10: Scheduling Algorithms","Scheduling Algorithms - First Come First Served (FCFS)","https://www.youtube.com/watch?v=7DoP1L9nAAs"
407,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 10: Scheduling Algorithms","First Come First Served Scheduling (Solved Problem 1)","https://www.youtube.com/watch?v=VSMAjMfJ6KQ"
408,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 10: Scheduling Algorithms","First Come First Served Scheduling (Solved Problem 2)","https://www.youtube.com/watch?v=8-BUGte27sk"
409,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 10: Scheduling Algorithms","Scheduling Algorithms - Shortest Job First (SJF)","https://www.youtube.com/watch?v=t0g9b3SJECg"
410,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 10: Scheduling Algorithms","Shortest Job First Scheduling (Solved Problem 1)","https://www.youtube.com/watch?v=lpM14aWgl3Q"
411,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 11: Round Robin Scheduling","Shortest Job First Scheduling (Solved Problem 2)","https://www.youtube.com/watch?v=ypOnf9mnFYg"
412,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 11: Round Robin Scheduling","Scheduling Algorithms - Priority Scheduling","https://www.youtube.com/watch?v=yKD3pcFvGmY"
413,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 11: Round Robin Scheduling","Priority Scheduling (Solved Problem 1)","https://www.youtube.com/watch?v=Z2KsfhEJOFA"
414,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 11: Round Robin Scheduling","Priority Scheduling (Solved Problem 2)","https://www.youtube.com/watch?v=gHKSmz-W0x0"
415,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 12: Advanced Scheduling and Synchronization","Scheduling Algorithms - Round Robin Scheduling","https://www.youtube.com/watch?v=YzBBJYfwdi8"
416,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 12: Advanced Scheduling and Synchronization","Round Robin Scheduling (Turnaround Time & Waiting Time)","https://www.youtube.com/watch?v=7TpxxTNrcTg"
417,"Computer Science Engineering","Operating System","","12th","English/Hindi","Module 12: Advanced Scheduling and Synchronization","Round Robin Scheduling - Solved Problem (Part 1)","https://www.youtube.com/watch?v=QlCmgBOMjlI"
