"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
1411,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","25hrs 17min","12th","English/Hindi","Module 1: Blockchain Fundamentals","Introduction to Blockchain in Hindi | What is Bitcoin & Cryptocurrency","https://www.youtube.com/watch?v=RZFjrI0oWyw"
1412,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 1: Blockchain Fundamentals","What is Blockchain Technology in Hindi | Technology behind Bitcoin ?","https://www.youtube.com/watch?v=EKfQEz508DA"
1413,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 1: Blockchain Fundamentals","The working of Blockchain Technology | How does Blockchain works ?","https://www.youtube.com/watch?v=Qe-WBg7HAX4"
1414,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 1: Blockchain Fundamentals","Components of Blockchain 🔥🔥","https://www.youtube.com/watch?v=vATQZ_MlqkE"
1415,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 2: Blockchain Components","Types of Blockchain 🔥🔥","https://www.youtube.com/watch?v=L1dI_G-wV0s"
1416,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 2: Blockchain Components","Block in Blockchain 🔥🔥","https://www.youtube.com/watch?v=SSJW-CtmMwI"
1417,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 2: Blockchain Components","Merkle Tree in Blockchain 🔥🔥","https://www.youtube.com/watch?v=NG-oONGrRoc"
1418,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 3: Consensus Mechanisms","Limitations of Blockchain in Hindi 🔥🔥","https://www.youtube.com/watch?v=VX41b6S-8LA"
1419,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 3: Consensus Mechanisms","Advantages & Disadvantages of Blockchain in Hindi 🔥🔥","https://www.youtube.com/watch?v=iQVdrxeD3YA"
1420,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 3: Consensus Mechanisms","Consensus in Blockchain Technology in Hindi","https://www.youtube.com/watch?v=M3RYFJsLC_A"
1421,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 3: Consensus Mechanisms","Proof of Work in Blockchain Technology 🔥🔥","https://www.youtube.com/watch?v=HQfpZ_b6Q8I"
1422,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 4: Cryptocurrencies & Transactions","Proof of Stake in Blockchain Technology 🔥🔥","https://www.youtube.com/watch?v=id0EzVbH-t0"
1423,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 4: Cryptocurrencies & Transactions","Proof of Elapsed Time in Blockchain Technology 🔥🔥","https://www.youtube.com/watch?v=6tQtjbxAlQM"
1424,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 4: Cryptocurrencies & Transactions","Proof of Burn in Blockchain Technology 🔥🔥","https://www.youtube.com/watch?v=9OnGx24V9mY"
1425,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 4: Cryptocurrencies & Transactions","Proof of work vs Proof of Stake 🔥🔥","https://www.youtube.com/watch?v=oIbk5MJ4Cp0"
1426,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 5: Blockchain Mining & Wallets","Altcoin & Tokens in Blockchain Technology","https://www.youtube.com/watch?v=yULNdVxqRwE"
1427,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 5: Blockchain Mining & Wallets","Transaction in Blockchain 🔥","https://www.youtube.com/watch?v=BudG7FwnUWs"
1428,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 5: Blockchain Mining & Wallets","Double Spending Problem in Blockchain Technology 🔥","https://www.youtube.com/watch?v=ypIvKmc1VlU"
1429,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 6: Smart Contracts","UTXO Unspent Transaction Output in Blockchain Technology","https://www.youtube.com/watch?v=ECeNWc8AoFw"
1430,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 6: Smart Contracts","Cryptocurrency wallets in Blockchain Technology","https://www.youtube.com/watch?v=XMa2Q80Bz1w"
1431,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 6: Smart Contracts","Hot vs Cold Wallet in Blockchain Technology 🔥","https://www.youtube.com/watch?v=zyrpJzNSc1Y"
1432,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 7: Public Blockchains","Mining Difficulty in Blockchain Technology 🔥🔥","https://www.youtube.com/watch?v=_34raT4p99c"
1433,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 7: Public Blockchains","Mining Pool in Blockchain Technology 🔥","https://www.youtube.com/watch?v=cB2orLhQiyY"
1434,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 7: Public Blockchains","Introduction to Smart Contracts 🔥🔥","https://www.youtube.com/watch?v=XEblewps9cI"
1435,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 7: Public Blockchains","Structure of Smart Contract 🔥","https://www.youtube.com/watch?v=eDM5p7ZUiWI"
1436,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 8: Ethereum Network","Types of Smart Contracts 🔥","https://www.youtube.com/watch?v=bbJSfeGIzt0"
1437,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 8: Ethereum Network","Introduction to Public Blockchain 🔥","https://www.youtube.com/watch?v=4X67_mLZbjU"
1438,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 8: Ethereum Network","Bitcoin vs Ethereum 🔥","https://www.youtube.com/watch?v=-iBd-_0xgG4"
1439,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 8: Ethereum Network","Gas in Blockchain Technology 🔥","https://www.youtube.com/watch?v=hSH585TybkI"
1440,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 9: Private Blockchains","Account types in Ethereum Network","https://www.youtube.com/watch?v=YlwfVGXuU9A"
1441,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 9: Private Blockchains","Mining in Ethereum | Block in Ethereum Blockchain Network","https://www.youtube.com/watch?v=R8h8m9SPZiU"
1442,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 9: Private Blockchains","Ethereum Architecture 🔥","https://www.youtube.com/watch?v=lrPgLKE3OjQ"
1443,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","Test Networks in Ethereum 🔥","https://www.youtube.com/watch?v=0RxRlHZWGcQ"
1444,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","Introduction to Private Blockchain 🔥","https://www.youtube.com/watch?v=hy36-dfK_zY"
1445,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","Need of Private Blockchain","https://www.youtube.com/watch?v=6jYDi3IZpS4"
1446,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","Limitations of Private Blockchain","https://www.youtube.com/watch?v=rTn7tC45cWs"
1447,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","PAXOS in Blockchain Technology 🔥🔥","https://www.youtube.com/watch?v=CtKv-RnVsoA"
1448,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","RAFT in Blockchain Technology 🔥🔥","https://www.youtube.com/watch?v=f89ZhiGfP_Q"
1449,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","Byzantine Fault Tolerant ( BFT ) 🔥","https://www.youtube.com/watch?v=H477JtqMTZ0"
1450,"Computer Science Engineering","Playlist to Blockchain 🔥🔥","","12th","English/Hindi","Module 10: Advanced Blockchain Concepts","CORDA in Blockchain Technology 🔥","https://www.youtube.com/watch?v=lzW92diwITs"
