S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Culinary Arts,Food & Beverage Pairings,10hrs 50min,12th,English/Hindi,Module 1: Holiday Food & Wine Pairing Fundamentals,How to Pair Holiday Food With Various Beverages,https://www.youtube.com/watch?v=Rpye3oqC5Aw
2,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 1: Holiday Food & Wine Pairing Fundamentals,How to Pair Wine with Holiday Desserts,https://www.youtube.com/watch?v=ZY8oz9oIg38
3,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 1: Holiday Food & Wine Pairing Fundamentals,German Food and Beverage Pairing,https://www.youtube.com/watch?v=q4jO6KtD9Hc
4,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 1: Holiday Food & Wine Pairing Fundamentals,Healthy Food and Wine Pairing,https://www.youtube.com/watch?v=gpiRFqZVUbo
5,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 2: Exploring Global Flavors & Wine Pairings,Date Night Desserts & Wine Pairing,https://www.youtube.com/watch?v=Jtx2D1phS9U
6,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 2: Exploring Global Flavors & Wine Pairings,Game Day Food and Wine Pairings,https://www.youtube.com/watch?v=Lq_950fhx1I
7,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 2: Exploring Global Flavors & Wine Pairings,"How to Pair Wine with Soups, Stews, and Chilis",https://www.youtube.com/watch?v=n4Jx01SRr-A
8,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 2: Exploring Global Flavors & Wine Pairings,How to Pair Beer with Desserts: Cookie Edition,https://www.youtube.com/watch?v=D6OyDP8EnaA
9,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 3: Mastering Wine Pairing for Every Occasion,How to Pair Wine with Cookies,https://www.youtube.com/watch?v=DKUECmkEu0I
10,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 3: Mastering Wine Pairing for Every Occasion,How to Pair Wine with a Springtime Spread,https://www.youtube.com/watch?v=rhVsOqgsgFw
11,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 3: Mastering Wine Pairing for Every Occasion,How to Make a Spring Snack Charcuterie Board,https://www.youtube.com/watch?v=itrTHqIlZK4
12,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 3: Mastering Wine Pairing for Every Occasion,Wine & Brunch Food Pairing,https://www.youtube.com/watch?v=hOavGjAba4M
13,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 4: Wine Pairing with International Cuisine,How to Pair Wine and Pizza,https://www.youtube.com/watch?v=RCEoh3n21YQ
14,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 4: Wine Pairing with International Cuisine,Which Wines Pairs Best With Grilled Foods?,https://www.youtube.com/watch?v=0w7xQDRv3YA
15,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 4: Wine Pairing with International Cuisine,How to Make Mexican Street Corn Chowder,https://www.youtube.com/watch?v=zrVxc8xoRjA
16,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 4: Wine Pairing with International Cuisine,How to Pair Wine With Candy,https://www.youtube.com/watch?v=_GRbgrB5Hs0
17,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 5: Advanced Wine Pairing Techniques,What Food Pairs With Spanish Red Wine,https://www.youtube.com/watch?v=TY-8v1LJMSs
18,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 5: Advanced Wine Pairing Techniques,What Food Pairs With Chardonnay,https://www.youtube.com/watch?v=AmJDBtbZ3fE
19,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 5: Advanced Wine Pairing Techniques,What Food Pairs With Grenache,https://www.youtube.com/watch?v=hUK1Yl_5hsY
20,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 5: Advanced Wine Pairing Techniques,What Food Pairs With Konigliche,https://www.youtube.com/watch?v=keMu1VAHb3Y
21,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 6: Wine & Food Pairing for Special Occasions,What Food Pairs with Pinot Noir,https://www.youtube.com/watch?v=ny13AnF6tPo
22,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 6: Wine & Food Pairing for Special Occasions,What Foods Pair With Rose Wine,https://www.youtube.com/watch?v=kZN71d0MeFo
23,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 6: Wine & Food Pairing for Special Occasions,How to Pair Wine with Cajun Food,https://www.youtube.com/watch?v=tuFJOIifeC8
24,Culinary Arts,Food & Beverage Pairings,,12th,English/Hindi,Module 6: Wine & Food Pairing for Special Occasions,Food Pairing with Spanish Sauvignon Blanc,https://www.youtube.com/watch?v=jh1e5MlEy5s
