Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
3444,Culinary Arts,Food Stylist,0hrs 546min,12th,English/Hindi,Module 1: Grilling and Summer Food Styling,How to Get Incredible Grill Marks and Other Summer Grilling Tips | Food Stylist Tips | Well Done,https://www.youtube.com/watch?v=jiOIQNmpCDQ
3445,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 1: Grilling and Summer Food Styling,How the Pros Make Perfect Poached Eggs| Food Stylist Tips and Tricks | Well Done,https://www.youtube.com/watch?v=DWy9ypdXt6s
3446,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 1: Grilling and Summer Food Styling,How to Make Super-Easy Homemade Pop-Tarts with Homemade Royal Icing | Food Stylist Tips | Well Done,https://www.youtube.com/watch?v=ntNH9q_m5-g
3447,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 1: Grilling and Summer Food Styling,How to Make the Classic Birthday Cake During Quarantine! | Food Stylist Vs,https://www.youtube.com/watch?v=Ne_QIm5dav0
3448,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 2: Food Styling Basics and Essential Tools,How to Make the Ultimate Bougie Grilled Ham and Cheese | Food Stylist at Home,https://www.youtube.com/watch?v=meWlPHgyS78
3449,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 2: Food Styling Basics and Essential Tools,The Tools Every Food Stylist Should Have | What’s Inside My Food Styling Kit?,https://www.youtube.com/watch?v=b0rMIzO4Gfs
3450,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 2: Food Styling Basics and Essential Tools,How a Food Stylist Makes Air Fried Cauliflower Bites | Ultimate #StayHome Appetizer Recipe,https://www.youtube.com/watch?v=yFsAkZy7Qpc
3451,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 2: Food Styling Basics and Essential Tools,How a Food Stylist Cooks Tacos at Home | #StayHome and Make Carnitas Tacos #WithMe,https://www.youtube.com/watch?v=4djBMyaAuvk
3452,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 3: Styling for Social Media and Photography,How a Professional Food Stylist Does Curbside Takeout | How To Plate Takeout Food At Home,https://www.youtube.com/watch?v=0Ix1UmBvFQA
3453,Culinary Arts,Food Stylist,,12th,English/Hindi,Module 3: Styling for Social Media and Photography,Food Stylist Builds a Date Night Snack Board Dinner | Improvised Food Styling At Home,https://www.youtube.com/watch?v=CK40rWmhio4
