S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,5hrs 41min,12th,English/Hindi,Module 1: The Art of Flavored Butters,How to Make Herb Butter & Strawberry Butter,https://www.youtube.com/watch?v=1zAVpK5bRck
2,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Homemade Garlic Butter,https://www.youtube.com/watch?v=v1Y2OYfn5j0
3,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Homemade Garlic Butter,https://www.youtube.com/watch?v=v1Y2OYfn5j0
4,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Cooking with Phyllis: Roasted Garlic and Herb Butter,https://www.youtube.com/watch?v=wUunZV3oIXA
5,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Garlic and Herb Compound Butter - recipe,https://www.youtube.com/watch?v=b7xH9LHPrr8
6,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Herb butter with Patsy Kensit | Gordon Ramsay,https://www.youtube.com/watch?v=9TuHBEDug7Q
7,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,How to make a Great Compound Steak Butter,https://www.youtube.com/watch?v=etiy54vj_n8
8,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Grilled New York Strip Steak with Compound Butter,https://www.youtube.com/watch?v=mzgXrLMqPOg
9,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Grilled New York Strip Steak with Compound Butter,https://www.youtube.com/watch?v=mzgXrLMqPOg
10,Culinary Arts,The Culinary Arts Portfolio -- The Untold Secrets,,12th,English/Hindi,Module 1: The Art of Flavored Butters,Marco Pierre White recipe for Steak with flavoured butters,https://www.youtube.com/watch?v=M2Fa3FWap-8
