Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
12558,Cybersecurity,Cloud Security,18hrs 4min,12th,English/Hindi,Module 1: Fight Insider Threats with AI-infused SIEM,Fight Insider Threats with AI-infused SIEM,https://www.youtube.com/watch?v=aXMPqfZt1gk
12559,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 1: What is Malware? Let's Hear the Hacker's Viewpoint,What is Malware? Let's Hear the Hacker's Viewpoint,https://www.youtube.com/watch?v=mqzP7gJDM2s
12560,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 1: EDR vs. EPP vs. NGAV,EDR vs. EPP vs. NGAV,https://www.youtube.com/watch?v=8ZlHOZlNIKk
12561,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 1: IBM Security X-Force Threat Intelligence Index Trends 2023,IBM Security X-Force Threat Intelligence Index Trends 2023,https://www.youtube.com/watch?v=PsT2joRNvpI
12562,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 2: What is Endpoint Detection and Response (EDR)?,What is Endpoint Detection and Response (EDR)?,https://www.youtube.com/watch?v=55GaIolVVqI
12563,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 2: What is ASM (Attack Surface Management)?,What is ASM (Attack Surface Management)?,https://www.youtube.com/watch?v=NqKid53v5x8
12564,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 2: Tech Talk: What is Public Key Infrastructure (PKI)?,Tech Talk: What is Public Key Infrastructure (PKI)?,https://www.youtube.com/watch?v=0ctat6RBrFo
12565,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 3: SIEM or XDR,SIEM or XDR,https://www.youtube.com/watch?v=3MsxAwEshfk
12566,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 3: What is a Risk Analytics Center and How Can it Prevent a Security Breach?,What is a Risk Analytics Center and How Can it Prevent a Security Breach?,https://www.youtube.com/watch?v=bOPhZiW0-Rs
12567,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 3: Using Tanium Comply in the IBM Cloud Security and Compliance Center,Using Tanium Comply in the IBM Cloud Security and Compliance Center,https://www.youtube.com/watch?v=6P_BFdTIoh4
