"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
12611,"Cybersecurity","Identity and Access Management in Salesforce","33hrs 12min","12th","English/Hindi","Module 1: Introduction to Salesforce Identity and Access Management","Login Flow In Salesforce","https://www.youtube.com/watch?v=kCr-3EHRDP8"
12612,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 1: Login Flow In Salesforce","Multi-Factor Authentication | Two-factor authentication Salesforce","https://www.youtube.com/watch?v=KfCFkskVhwA"
12613,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 1: Multi-Factor Authentication | Two-factor authentication Salesforce","Introduction of Salesforce sso & Service provider flow","https://www.youtube.com/watch?v=Y5J3r1cmHWc"
12614,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 1: Introduction of Salesforce sso & Service provider flow","SAML Identity Provider Initiated SSO | IDP SSO Flow","https://www.youtube.com/watch?v=_P73fndPCbU"
12615,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 2: SAML Based SSO","OpenID Connect Flow | OIDC","https://www.youtube.com/watch?v=S_sVBpEI-WQ"
12616,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 2: SAML Identity Provider Initiated SSO | IDP SSO Flow","Delegated Authentication Flow","https://www.youtube.com/watch?v=uQq86GkEcCQ"
12617,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 2: SAML Flow in Salesforce | SSO Demo","Single Sign On Decision Guide","https://www.youtube.com/watch?v=dczJorlRGYw"
12618,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 2: Setup Okta Single Sign-On (SSO) with Salesforce","SAML Flow in Salesforce | SSO Demo","https://www.youtube.com/watch?v=1tI5g63-lzA"
12619,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 3: OpenID Connect SSO","Social Sign on in Salesforce | SSO with Facebook","https://www.youtube.com/watch?v=vsrl8bo1r1M"
12620,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 3: OpenID Connect Flow | OIDC","OpenId Connect in Salesforce | SSO Between Google and Salesforce","https://www.youtube.com/watch?v=0qNQ_YEIM8s"
12621,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 3: OpenId Connect in Salesforce | SSO Between Google and Salesforce","Canvas App in Salesforce SSO","https://www.youtube.com/watch?v=gvxI6HzqNhA"
12622,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 3: Canvas App in Salesforce SSO","Setup Okta Single Sign-On (SSO) with Salesforce","https://www.youtube.com/watch?v=t6HWJW7cz70"
12623,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 4: Social Sign on in Salesforce | SSO with Facebook","OAuth Concepts","https://www.youtube.com/watch?v=b4gXo_kPZbg"
12624,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 4: Delegated Authentication Flow","Authorization Code with Secret Flow | Web Server Flow in Salesforce | EP1","https://www.youtube.com/watch?v=8LOKZDq1n8g"
12625,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 4: Single Sign On Decision Guide","Implicit Grant User Agent Flow | EP2","https://www.youtube.com/watch?v=92znCQOFZRs"
12626,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 5: OAuth 2.0 and its Flows","Authorisation Code With PKCE Flow | EP3","https://www.youtube.com/watch?v=dfRKJXUka7E"
12627,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 5: OAuth Concepts","JWT / SAML Assertion Bearer Flows | EP 4","https://www.youtube.com/watch?v=u2pNUo9WUy8"
12628,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 5: Authorization Code with Secret Flow | Web Server Flow in Salesforce | EP1","Username and Password Flow | Ep5","https://www.youtube.com/watch?v=SxDwdZ7cDQw"
12629,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 5: Implicit Grant User Agent Flow | EP2","oAuth Decision Guide","https://www.youtube.com/watch?v=OA1kPPbCsPA"
12630,"Cybersecurity","Identity and Access Management in Salesforce","","12th","English/Hindi","Module 5: Authorisation Code With PKCE Flow | EP3","Oauth Authorization flows in Salesforce | Web Server flow | JWT Bearer token flow","https://www.youtube.com/watch?v=cViU2-xVscA"
