Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
12590,Cybersecurity,Risk Management Knowledge Area - PMP Training,33hrs 23min,12th,English/Hindi,Module 1: Introduction to Risk Management,The Basics of Risk Management,https://www.youtube.com/watch?v=GF0nidJHEsI
12591,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: The Basics of Risk Management,Risk: Themes and Attitudes,https://www.youtube.com/watch?v=2pPD5p_aVBQ
12592,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Risk: Themes and Attitudes,Plan Risk Management Process,https://www.youtube.com/watch?v=QbE8fDkwz-I
12593,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Plan Risk Management Process,Risk Breakdown Structure (RBS) | Risk Categories | Risk Methodology,https://www.youtube.com/watch?v=K01FCO_7o2w
12594,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Breakdown Structures and Analysis,Risk Probability and Impact Assessment,https://www.youtube.com/watch?v=uTKoVa8krRs
12595,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Breakdown Structure (RBS) | Risk Categories | Risk Methodology,Identify Risks Process,https://www.youtube.com/watch?v=a0pAWPrKiGk
12596,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Probability and Impact Assessment,Risk Register,https://www.youtube.com/watch?v=YArPMPSVbzA
12597,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Identify Risks Process,Perform Qualitative Risk Analysis Process,https://www.youtube.com/watch?v=omrFMM3NPR4
12598,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Documenting and Analyzing Risks,Probability and Impact Matrix,https://www.youtube.com/watch?v=HK4zRmd4wFM
12599,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Risk Register,Perform Quantitative Risk Analysis Risk Process,https://www.youtube.com/watch?v=clRRVbDYQsM
12600,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Perform Qualitative Risk Analysis Process,Expected Monetary Value (EMV) Calculation | EMV Example,https://www.youtube.com/watch?v=xzC0kMqIrcQ
12601,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Probability and Impact Matrix,Plan Risk Responses Process,https://www.youtube.com/watch?v=8tZVKO4xfiw
12602,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Quantitative Risk Analysis and Response Planning,Secondary Risks | Residual Risks | Workaround | Business Risks | Pure Risks,https://www.youtube.com/watch?v=lTLdkpcPwGg
12603,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Perform Quantitative Risk Analysis Risk Process,Implement Risk Responses Process,https://www.youtube.com/watch?v=H0cIYtQqqKw
12604,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Expected Monetary Value (EMV) Calculation | EMV Example,Monitor Risks Process,https://www.youtube.com/watch?v=0FGPn4BPZsg
12605,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Plan Risk Responses Process,What is a Watchlist in Risk Management?,https://www.youtube.com/watch?v=4nkUhqErB1s
12606,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Implementing and Monitoring Risk Responses,Risk Trigger,https://www.youtube.com/watch?v=0VDFgtEYlcs
12607,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Secondary Risks | Residual Risks | Workaround | Business Risks | Pure Risks,What are Contingency Reserve and Management Reserve? How are they used in the project?,https://www.youtube.com/watch?v=OMKqYclX9pQ
12608,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Implement Risk Responses Process,Sensitivity Analysis using Tornado Diagrams,https://www.youtube.com/watch?v=6ojHXG27w-s
12609,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Monitor Risks Process,Decision Tree Analysis for calculating Expected Monetary Value (EMV) | Decision Tree Example,https://www.youtube.com/watch?v=vmkdHT9VmZg
12610,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Advanced Risk Management Techniques and Tools,Risk Response Strategy - Escalate Risks,https://www.youtube.com/watch?v=eeV1lHivPXk
