"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
12543,"Cybersecurity","Web Application Security","22hrs 21min","12th","English/Hindi","Module 1: Introduction to Web App Sec","Introduction to Web Application Security","https://www.youtube.com/watch?v=K1S3kOeRmLg"
12544,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 1: Web App Sec Lab Setup","How to Prepare Web Application Security LAB | Lab Setup | WebGoat","https://www.youtube.com/watch?v=aMXPUo010K8"
12545,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 2: HTTP Basics","HTTP Basics | How to install OWASP Zap proxy | WebGoat Lab","https://www.youtube.com/watch?v=pHHjkIajHiE"
12546,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 2: HTTP Proxies & WebGoat","HTTP Proxies | WebGoat Lab","https://www.youtube.com/watch?v=LjPMTbt9aAE"
12547,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 3: BurpSuite & WebGoat","How to install and use Burpsuite | WebGoat Lab","https://www.youtube.com/watch?v=gCIUEpvuSKA"
12548,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 3: Developer Tools & WebGoat","Developer Tools | WebGoat Lab","https://www.youtube.com/watch?v=G5Wiq-z9yMI"
12549,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 4: CIA Triad & Crypto Basics","CIA Triad | WebGoat","https://www.youtube.com/watch?v=9P-ej26cOyc"
12550,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 4: Base64 Encoding & WebGoat","Crypto Basic | Base64 encoding | WebGoat","https://www.youtube.com/watch?v=zNKIQYSeTQA"
12551,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 5: URL, HTML, XOR Encoding","Crypto Basic | URL | HTML | XOR encoding | WebGoat Lab","https://www.youtube.com/watch?v=IfrHAouaqg8"
12552,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 5: Hashing & Salt Hashing","Crypto Basic | Hashing | Salt Hashing |  WebGoat Lab","https://www.youtube.com/watch?v=mmMNGZchyDg"
12553,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 6: RSA Signatures & WebGoat","Crypto Basic | RSA Signature | WebGoat Lab","https://www.youtube.com/watch?v=szuW_3DhXdU"
12554,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 6: SQL Basics & Injection Intro","SQL Basic | DML | DDL | DCL |TCL | SQL Injection intro | WebGoat","https://www.youtube.com/watch?v=4O3SJCB3Kg8"
12555,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 7: SQL Injection Basics","SQL Injection Basic intro | WebGoat","https://www.youtube.com/watch?v=wx3IvK8IJQI"
12556,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 7: Types of SQL Injection","Types of SQL Injection | SQL Injection Advance | WebGoat","https://www.youtube.com/watch?v=kNeGnA8CQP0"
12557,"Cybersecurity","Web Application Security","","12th","English/Hindi","Module 8: Advanced SQL Injection","SQL Injection Advance Lab | WebGoat","https://www.youtube.com/watch?v=kiVD-4cIIsg"
