"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7551,"Data Science","DATA MINING (DM)","26hrs 17min","12th","English/Hindi","Module 1: Introduction to Data Mining","#1 Introduction To Data Mining, Types Of Data |DM|","https://www.youtube.com/watch?v=xEmrFePGjEg"
7552,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 1: Data Mining Fundamentals","#2 Data Mining Functionalities |DM|","https://www.youtube.com/watch?v=YCBMSg9Ogx8"
7553,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 1: Data Mining Systems","#3 Interestingness Of Patterns - What are Interesting Patterns |DM|","https://www.youtube.com/watch?v=NntemRFHvBg"
7554,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 1: Core Data Mining Tasks","#4 Classification Of Data Mining Systems |DM|","https://www.youtube.com/watch?v=pqDrdxeWvP8"
7555,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 2: Data Mining in Practice","#5 Data Mining Task Primitives |DM|","https://www.youtube.com/watch?v=JUkIBWFc3A0"
7556,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 2: Frequent Pattern Mining","#6 Integration Of Data Mining System with A Database or Data Warehouse |DM|","https://www.youtube.com/watch?v=dMSgXyw2i7o"
7557,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 2: Advanced Association Mining","#7 Major Issues In Data Mining |DM|","https://www.youtube.com/watch?v=M6UszNda4nM"
7558,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 3: Predictive Modeling","#8 Data Preprocessing In Data Mining - 4 Steps |DM|","https://www.youtube.com/watch?v=j0tqUBhs-Nc"
7559,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 3: Classification Techniques","#9 Frequent Patterns - Example, Market Basket Analysis |DM|","https://www.youtube.com/watch?v=Pxgqb53s5tQ"
7560,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Cluster Analysis","#10 Mining Methods - APRIORI algorithm with Example |DM|","https://www.youtube.com/watch?v=CcaRfwlHyNw"
7561,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Cluster Analysis Methods","#11 Mining Methods - FP Growth algorithm with Example |DM|","https://www.youtube.com/watch?v=pG7KQMyY85Y"
7562,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#12 Mining Various Kinds Of Association Rules |DM|","https://www.youtube.com/watch?v=c9ph3S-bymQ"
7563,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#13 Correlation Analysis - Pearson's Correlation Coefficient |DM|","https://www.youtube.com/watch?v=Dy9urawfXos"
7564,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#14 Constraint Based Association Mining |DM|","https://www.youtube.com/watch?v=wmzpgKeI8QI"
7565,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#15 Graph Pattern Mining in Data Mining |DM|","https://www.youtube.com/watch?v=4M4e1zBGKCA"
7566,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#16 Sequential Pattern Mining ( SPM ) |DM|","https://www.youtube.com/watch?v=vWuVbQ_NKcY"
7567,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#17 Classification & Prediction - Example, Steps |DM|","https://www.youtube.com/watch?v=erm7qdVCEgU"
7568,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#18 Decision Tree Induction - with Example |DM|","https://www.youtube.com/watch?v=mb3N4_pYtqE"
7569,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#19 Bayesian Classification - Bayes Theorem, Naive Bayes Classifier |DM|","https://www.youtube.com/watch?v=2gee-fRGrZU"
7570,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#20 Rule Based Classifier with Example |DM|","https://www.youtube.com/watch?v=dMGvPY9iJDc"
7571,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#21 Lazy Learners In Data Mining - KNN Algorithm |DM|","https://www.youtube.com/watch?v=EZ8e-Y6hYfw"
7572,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#22 Cluster Analysis - Properties, Categories Of Methods |DM|","https://www.youtube.com/watch?v=tSXCVvBmOQU"
7573,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#23 Types Of Data In Cluster Analysis |DM|","https://www.youtube.com/watch?v=tROVurcMqKY"
7574,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#24 Partitioning Clustering - K Means Algorithm |DM|","https://www.youtube.com/watch?v=190xjQHVdrE"
7575,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#25 Hierarchical Clustering - Agglomerative & Divisive Algorithm |DM|","https://www.youtube.com/watch?v=wl2_3DVOfKc"
7576,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#26 Density Based Clustering - DBSCAN Algorithm |DM|","https://www.youtube.com/watch?v=81-ATJW-EGI"
7577,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","#27 Grid Based Clustering - STING Algorithm |DM|","https://www.youtube.com/watch?v=y4UcRLj5DPA"
7578,"Data Science","DATA MINING (DM)","","12th","English/Hindi","Module 4: Outlier Analysis","28 Outlier Analysis, Types, Outlier Detection & Techniques |DM|","https://www.youtube.com/watch?v=aSwQjBS-Osg"
