"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
8309,"Data Science","Data Science for Business, 2022","157hrs 22min","12th","English/Hindi","Module 1: Introduction to Data Science","Lecture1. Introduction to Data Science","https://www.youtube.com/watch?v=-35lc0teohU"
8310,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 1: Introduction to Machine Learning","Lecture 2. Introduction to Machine Learning","https://www.youtube.com/watch?v=5vD51EuBlUA"
8311,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 1: Data Science in Retail","Lecture 3. Data Science in Retail. Regression","https://www.youtube.com/watch?v=98Cy3wdfC3c"
8312,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 1: Customer Relationship Management","Lecture4. Customer relationship management. Churn prediction.Classification.","https://www.youtube.com/watch?v=feuFBQ8GjCM"
8313,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 2: Customer Segmentation","Lecture 5. Customer segmentation. Clustering","https://www.youtube.com/watch?v=6w3GN3O_CsA"
8314,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 2: Personalization","Lecture 6. Personalization. Recommender systems","https://www.youtube.com/watch?v=jbeZ2hzxuQg"
8315,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 2: Time Series Forecasting","Lecture7. Time series forecasting","https://www.youtube.com/watch?v=VZanzoqSF7M"
8316,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 3: Design of Experiments","Lecture8. Design of experiments.","https://www.youtube.com/watch?v=PA9bFYsTG3o"
8317,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 3: Agent Based Modeling","Lecture 9. Agent based modeling.","https://www.youtube.com/watch?v=YuI_qNJWcIU"
8318,"Data Science","Data Science for Business, 2022","","12th","English/Hindi","Module 3: Making Models Work","Lecture10. Making models work in business. Concluding remarks.","https://www.youtube.com/watch?v=oHVKJbCPHfw"
