Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7579,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,10hrs 14min,12th,English/Hindi,Module 1: Introduction to Statistics,Statistics For Data Analytics | Complete Syllabus | Data Science | Statistics Tutorial  | Part 1,https://www.youtube.com/watch?v=o7WkGYIPUM8
7580,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 1: Introduction to Statistics,Types of Statistics | Descriptive | Inferential | Statistics for Data Science | Statistics Tutorial,https://www.youtube.com/watch?v=kWnHqLJAOj8
7581,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 1: Introduction to Statistics,Types of Data | Types of Variables | Statistics for Data Science | Part 3 | Statistics Tutorial,https://www.youtube.com/watch?v=x--w92bBYeM
7582,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 1: Introduction to Statistics,Population and Sample | Statistics for Data Science | Part 4 | Statistics Tutorial,https://www.youtube.com/watch?v=PFMfNJiqt-s
7583,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 2: Data Collection and Sampling,Sampling Techniques | Statistics for Data Science | Statistics Tutorial Part 5,https://www.youtube.com/watch?v=czMKjcx-s_A
7584,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 2: Data Collection and Sampling,Statistical Data Analysis Complete Steps | Statistics for Data Science | Statistics Tutorial Part 6,https://www.youtube.com/watch?v=3xcf6KacLqQ
7585,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 2: Data Collection and Sampling,"Measures of Central Tendency | Mean, Median, Mode | Statistics Tutorial Part 7",https://www.youtube.com/watch?v=1Aj4pdvQlO4
7586,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 3: Descriptive Statistics,"Measures of Dispersion | Variance, Standard Deviation, Range,  IQR, Quartiles, Percentiles | Part 8",https://www.youtube.com/watch?v=TLRKawtvC1Q
7587,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 3: Descriptive Statistics,Frequency | Relative Frequency | Cumulative Frequency | Statistics Tutorial Part 9,https://www.youtube.com/watch?v=9w6X7Q2s1HY
7588,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 3: Descriptive Statistics,Must know Visualization in Statistics | Descriptive Statistics | Ultimate Guide !! | Part 10,https://www.youtube.com/watch?v=yC529Il5pBY
7589,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 3: Descriptive Statistics,Outliers | Removing Outliers | Outliers detection | Impact on Data Analysis | Statistics Tutorial,https://www.youtube.com/watch?v=Ll-8BicPVHs
7590,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 4: Data Visualization and Outlier Analysis,Correlation | Covariance | Causation | Difference between them | Statistics,https://www.youtube.com/watch?v=L5pAob9FbVA
7591,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 4: Data Visualization and Outlier Analysis,Probability Concepts for Data Analysis and Data Science | Statistics for Data Science,https://www.youtube.com/watch?v=JwYTiKY9Fcc
7592,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 5: Correlation and Probability,Types of Events | Probability | Statistics Tutorial | Joint | Disjoint | Independent | Dependent,https://www.youtube.com/watch?v=FvjQlu715qs
7593,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 5: Correlation and Probability,Conditional Probability | Statistics Tutorial,https://www.youtube.com/watch?v=UU9qMzBChu4
7594,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 5: Correlation and Probability,Bayes Theorem | Conditional Probability | Statistics Tutorial,https://www.youtube.com/watch?v=s37adv0XH1Q
7595,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 6: Probability Distributions,PMF | PDF | Probability Distributions | Probability Mass Function | Probability Density Function,https://www.youtube.com/watch?v=7aQnI6mrWOo
7596,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 6: Probability Distributions,Bernoulli Distributions | Binomial Distributions | Discrete Probability Distributions,https://www.youtube.com/watch?v=om2mxZa7Gg0
7597,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 6: Probability Distributions,Uniform Distribution | Continuous Distribution | Statistics Tutorial | Probability Distribution,https://www.youtube.com/watch?v=Ry3Lwf3Oa08
7598,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 7: Normal Distribution and Standardization,Normal Distributions | Standard Normal Distributions | Z Distributions | Z Score,https://www.youtube.com/watch?v=K_JGWIIW2ro
7599,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 7: Normal Distribution and Standardization,Standardisation | Normalisation | Probability Distributions | Feature Scaling,https://www.youtube.com/watch?v=pVxB2EoKFT4
7600,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 7: Normal Distribution and Standardization,Empirical Rule | 68-95-99.7 Rule | Normal Distributions | Statistics Tutorial,https://www.youtube.com/watch?v=Cvy0CUbEO-M
7601,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 8: Inferential Statistics,Inferential Statistics | Point Estimation | Interval Estimation | Statistics Tutorial,https://www.youtube.com/watch?v=e5VatK2AdiI
7602,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 8: Inferential Statistics,Confidence Interval | Interval Estimation | Margin of Error | Statistics Tutorial,https://www.youtube.com/watch?v=c4Ag9_wJUnI
7603,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 8: Inferential Statistics,Student's T Distribution | Z Distribution | T test | Statistics Tutorial,https://www.youtube.com/watch?v=OdJBsoKLzks
7604,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 8: Inferential Statistics,Hypothesis Testing| Null and Alternate Hypothesis | Level of Significance | P Value | Statistics,https://www.youtube.com/watch?v=_EhHsdCpd9Y
7605,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 9: Hypothesis Testing,Type 1 and Type 2 Error | Hypothesis Error | Statistics Error,https://www.youtube.com/watch?v=OWoOGOSMthQ
7606,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 9: Hypothesis Testing,One tailed and Two tailed Tests | Hypothesis Testing | Detailed Explanation with Example,https://www.youtube.com/watch?v=SRWS48t46SI
7607,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 9: Hypothesis Testing,Z Test hypothesis Testing | Types of Z Test | Explanation with example | Statistics,https://www.youtube.com/watch?v=4sQACemTJxI
7608,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 9: Hypothesis Testing,Complete STATISTICS for Data Science | Data Analysis | Full Crash Course,https://www.youtube.com/watch?v=S7LvZZNq4ys
7609,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 10: Statistics in Data Science,Statistics Project On Hypothesis Testing You NEED In Your Portfolio | Data Analysis Project,https://www.youtube.com/watch?v=fNdUIzq8sb0
7610,Data Science,Statistics for Data Analytics/ Data Science | Complete Statistics Tutorial,,12th,English/Hindi,Module 10: Statistics in Data Science,T Test Hypothesis Testing | Independent and Paired T Test | Statistics Tutorial,https://www.youtube.com/watch?v=MoVYYVIe_KU
