Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
10446,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,126hrs 17min,12th,English/Hindi,"Module 1: Growth & Development, Heredity & Environment","Growth & Development | Lesson-01 | Child Development & Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=wOIl9ugNVcU
10447,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 1: Growth & Development, Heredity & Environment","Heredity & Environment | Lesson-02 | Child Development & Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=eWGK30NXF5o
10448,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 1: Growth & Development, Heredity & Environment","Principles of Development | Lesson-03 | Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=rU822Yn4SjI
10449,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 2: Principles of Development, Development Question-Answer Discussion","Development Question-Answer Discussion | Lesson-04 | Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=jz8hvmu-yqw
10450,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 2: Principles of Development, Development Question-Answer Discussion","Development Question-Answer Discussion | Lesson-05 | Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=Ak-oAYGqdag
10451,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 2: Principles of Development, Development Question-Answer Discussion","All Teaching Methods | Lesson-06 | Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=vy-Bmuk-p5g
10452,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 3: All Teaching Methods, Socialisation Process","Socialisation Process| Lesson-08 | Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=T0BaNCwO7Qw
10453,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 3: All Teaching Methods, Socialisation Process","Socialisation Practice Questions| Lesson-09 | Pedagogy for CTET, DSSSB, KVS, UP-TET-2020",https://www.youtube.com/watch?v=ANRCprG3I3I
10454,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 3: All Teaching Methods, Socialisation Process","Bronfenbrenner's Ecological System Theory of Social Development | Lesson-10| for CTET, DSSSB, KVS",https://www.youtube.com/watch?v=XSOfBamR-wI
10455,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 4: Socialisation Practice Questions, Bronfenbrenner's Ecological System Theory of Social Development","Looking Glass Self & I and Me Theories of Socialisation| Lesson-11| for CTET, DSSSB, KVS",https://www.youtube.com/watch?v=15Viv4kJ_Ec
10456,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 4: Socialisation Practice Questions, Bronfenbrenner's Ecological System Theory of Social Development","Socialisation Question-Answer Discussion| Lesson-12| for CTET, DSSSB, KVS",https://www.youtube.com/watch?v=fffMbDHfWN8
10457,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 4: Socialisation Practice Questions, Bronfenbrenner's Ecological System Theory of Social Development","महत्वपूर्ण शिक्षण विधियाँ - Important Teaching Methods for CTET, DSSSB, KVS, NVS, HTET,UPTET-2020",https://www.youtube.com/watch?v=ZcG9TdngIGI
10458,Early Childhood Education,Child Development & Pedagogy Full Course by Himanshi Singh,,12th,English/Hindi,"Module 5: Looking Glass Self & I and Me Theories of Socialisation, Socialisation Question-Answer Discussion",एरिक्सन का मनोसामाजिक सिद्धांत - Psychosocial Theory of Erik Erickson | 8 stages of development,https://www.youtube.com/watch?v=yjYEGeEWufw
