Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11013,Early Childhood Education,Program Administration,153hrs 2min,12th,English/Hindi,Module 1: Foundations of Developmentally Appropriate Practice,From DAP to DEEP: Exploring the New NAEYC Position Statement on Developmentally Appropriate Practice,https://www.youtube.com/watch?v=Pc-TipAB0Tw
11014,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 1: From DAP to DEEP,Reflections on Early Childhood Leadership & Equity,https://www.youtube.com/watch?v=yYE1DUtxHM8
11015,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 1: NAEYC Position Statement Analysis,Meaningful Inclusion in Early Childhood,https://www.youtube.com/watch?v=a2wJqDw9B68
11016,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 1: Reflections on Early Childhood Leadership & Equity,Webinar: Advancing Equity—Maximizing Learning in Diverse Classrooms,https://www.youtube.com/watch?v=hXif78m2XuE
11017,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 2: Meaningful Inclusion in Early Childhood,"Observation, Screening, Assessment, and Documentation",https://www.youtube.com/watch?v=O9-wCY3-MZk
11018,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 2: Advancing Equity in Diverse Classrooms,"The role of observation, assessment, and planning in the revised EYFS - Di Chilvers",https://www.youtube.com/watch?v=cpa0cA9ua7M
11019,Early Childhood Education,Program Administration,,12th,English/Hindi,"Module 3: Observation, Screening, Assessment, and Documentation",What Is Authentic Assessment?,https://www.youtube.com/watch?v=TmgrGdXAJJM
11020,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 3: The Role of Observation & Assessment in the EYFS,Play Based Assessment,https://www.youtube.com/watch?v=u4kkpwc0zAA
11021,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 4: Authentic Assessment in Early Childhood,Traditional and Authentic Assessment Differences,https://www.youtube.com/watch?v=LXQ_qmpYDPI
11022,Early Childhood Education,Program Administration,,12th,English/Hindi,Module 4: Traditional vs. Authentic Assessment,The State of Child Care in America,https://www.youtube.com/watch?v=mTJG1M4bBbQ
