Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
10707,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,325hrs 1min,12th,English/Hindi,Module 1: Introduction to Special Education Law & IEPs,Professional Education Test Study Flash Cards,https://www.youtube.com/watch?v=Xl74CmXeeCM
10708,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 1: Introduction to Special Education Law & IEPs,What Every Educator Should Know About Special Education Law,https://www.youtube.com/watch?v=mP-ukH4mcVk
10709,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 1: Introduction to Special Education Law & IEPs,IDEA: Understanding Measurable Goals on the IEP,https://www.youtube.com/watch?v=dbsZ4IjQ5e8
10710,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 1: Introduction to Special Education Law & IEPs,Federally Mandated Elements / IEP: Accommodations on State & District Wide Assessments,https://www.youtube.com/watch?v=hwhyji-3oVE
10711,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 2: IDEA & IEP Deep Dive,IEP 101: Who are the required IEP Team Members? A Special Education Teacher,https://www.youtube.com/watch?v=8yAVC96pWH4
10712,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 2: IDEA & IEP Deep Dive,IDEA Basics: (504 Plan) How is an IEP Different from a 504 Plan?,https://www.youtube.com/watch?v=sJ2KlmG5OV0
10713,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 2: IDEA & IEP Deep Dive,The IEP Process Made Simple,https://www.youtube.com/watch?v=FU3dGQWZzx8
10714,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 2: IDEA & IEP Deep Dive,SERP 500/403/503: Basics of Special Education and Key Terms,https://www.youtube.com/watch?v=BZIj6lT6w4M
10715,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 3: Understanding Assessments in Special Education,Bloom's Taxonomy - Simplest explanation ever,https://www.youtube.com/watch?v=zj6CrMthNG8
10716,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 3: Understanding Assessments in Special Education,PLT Praxis Study Guide - Students As Learners,https://www.youtube.com/watch?v=wgtKuGBr3Gc
10717,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 3: Understanding Assessments in Special Education,Introduction to Special Education Part 1,https://www.youtube.com/watch?v=OauQuuXBvuk
10718,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 4:  Legal History & Evaluation,Special Education History and the Law Part 2,https://www.youtube.com/watch?v=khouJl-rhi0
10719,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 4:  Legal History & Evaluation,Assessments and Special Education,https://www.youtube.com/watch?v=33MQA_c5JJA
10720,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 4:  Legal History & Evaluation,Developing the Individualized Education Plan (IEP),https://www.youtube.com/watch?v=rU2XzCEsAEE
10721,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 4:  Legal History & Evaluation,Part 1--History of Legal Issues in Special Education,https://www.youtube.com/watch?v=HsJQipeml8I
10722,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 4:  Legal History & Evaluation,Part 2--History of Legal Issues in Special Education,https://www.youtube.com/watch?v=XYlOfQTDGxI
10723,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 5: Assessment Methods & Statistics,Part 3--History of Legal Issues in Special Education,https://www.youtube.com/watch?v=hFeOJB3fv-o
10724,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 5: Assessment Methods & Statistics,Part 4--History of Legal Issues in Special Education,https://www.youtube.com/watch?v=meQRG1FxwPE
10725,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 5: Assessment Methods & Statistics,Part 5-History of Legal Issues in Special Education,https://www.youtube.com/watch?v=6RcyWkwpVG0
10726,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 5: Assessment Methods & Statistics,Part 1--Methods of Assessment Used in Special Education,https://www.youtube.com/watch?v=mc2cF9Sohpg
10727,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 5: Assessment Methods & Statistics,Part 2--Methods of Assessment Used in Special Education,https://www.youtube.com/watch?v=mMUp9RQp33g
10728,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,"Module 6: LRE, FAPE & Scoring",Part 3--Methods of Assessment Used in Special Education,https://www.youtube.com/watch?v=80Pc-oHHaOo
10729,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,"Module 6: LRE, FAPE & Scoring",Part 4--Methods of Assessment Used in Special Education,https://www.youtube.com/watch?v=FHn0_KYmYFI
10730,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,"Module 6: LRE, FAPE & Scoring",Part 5--Methods of Assessment Used in Special Education,https://www.youtube.com/watch?v=zO8eGddfVBI
10731,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,"Module 6: LRE, FAPE & Scoring",Part 1--Evaluation of Children with Suspected Disabilities,https://www.youtube.com/watch?v=1W4cS_T2Vmo
10732,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,"Module 6: LRE, FAPE & Scoring",Part 2--Evaluation of Children with Suspected Disabilities,https://www.youtube.com/watch?v=COsF1QXeN0Y
10733,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,"Module 6: LRE, FAPE & Scoring",Part 3--Evaluation of Children with Suspected Disabilities,https://www.youtube.com/watch?v=KB3e_GbyeT8
10734,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 7: Special Education Overview & Research,Part 4--Evaluation of Children with Suspected Disabilities,https://www.youtube.com/watch?v=eZownz2uJL8
10735,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 7: Special Education Overview & Research,Part 1--Statistics Used in Assessment in Special Education,https://www.youtube.com/watch?v=sOlQdUq53yA
10736,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 7: Special Education Overview & Research,Part 2--Statistics Used in Assessment in Special Education,https://www.youtube.com/watch?v=V-h1H_Rwf4I
10737,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 7: Special Education Overview & Research,Part 3--Statistics Used in Assessment in Special Education,https://www.youtube.com/watch?v=ziwH0gDIwoI
10738,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 8: Educational Report Writing & Related Services,Part 4--Statistics Used in Assessment in Special Education,https://www.youtube.com/watch?v=eckRZ5nYGjI
10739,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 8: Educational Report Writing & Related Services,Part 5--Statistics Used in Assessment in Special Education,https://www.youtube.com/watch?v=GrLSizZtaNk
10740,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 8: Educational Report Writing & Related Services,Part 1--Least Restrictive Environment,https://www.youtube.com/watch?v=iORIugJWT0U
10741,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 8: Educational Report Writing & Related Services,Part 2--Least Restrictive Environment,https://www.youtube.com/watch?v=INUF7tZnECc
10742,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 8: Educational Report Writing & Related Services,Part 3--Least Restrictive Environment,https://www.youtube.com/watch?v=wKrLTdZJqdI
10743,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 8: Educational Report Writing & Related Services,Part 1--Free Appropriate Public Education,https://www.youtube.com/watch?v=hFMFMY1MSmI
10744,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,12th,English/Hindi,Module 9: IEP Development & Implementation,Part 2--Free Appropriate Public Education,https://www.youtube.com/watch?v=j-L9PJZK1Pw
