Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
14381,Economics,Complete Indian Economy | Complete UPSC Preparation,231hrs 23min,12th,English/Hindi,Module 1: Fundamentals of Indian Economy,Key Concepts of Economy FULL CHAPTER | Indian Economy Chapter 1 |  UPSC Preparation,https://www.youtube.com/watch?v=haIUbZ4eOAs
14382,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 1: Fundamentals of Indian Economy,National Income FULL CHAPTER | Indian Economy Chapter 2 |  UPSC Preparation,https://www.youtube.com/watch?v=mHjgCDAh-S0
14383,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 1: Fundamentals of Indian Economy,Economic Growth versus Economic Development FULL CHAPTER | Indian Economy Chapter 3,https://www.youtube.com/watch?v=AsJeUJa-rR4
14384,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 1: Fundamentals of Indian Economy,"Poverty, Inequality and Unemployment FULL CHAPTER | Indian Economy Chapter 4 | UPSC Preparation",https://www.youtube.com/watch?v=okwQXNJDZ30
14385,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 2: Macroeconomic Challenges,Inflation FULL CHAPTER | Indian Economy Chapter 5 | UPSC Preparation,https://www.youtube.com/watch?v=IPOA_fhfgLU
14386,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 2: Macroeconomic Challenges,Indian Tax Structure and Public Finance FULL CHAPTER | Indian Economy Chapter 6 | UPSC Preparation,https://www.youtube.com/watch?v=xgQK49Qn_co
14387,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 2: Macroeconomic Challenges,Money and Banking FULL CHAPTER | Indian Economy Chapter 8 | UPSC Preparation,https://www.youtube.com/watch?v=cPipYHtOlpg
14388,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 3: Planning and Finance in India,Economic Planning in India FULL CHAPTER | Indian Economy Chapter 7 | UPSC Preparation,https://www.youtube.com/watch?v=tMkGXowIl8U
14389,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 3: Planning and Finance in India,Financial Market FULL CHAPTER | Indian Economy Chapter 9 | UPSC Preparation,https://www.youtube.com/watch?v=8a0GuSxRWas
14390,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 3: Planning and Finance in India,Technology and Finance FULL CHAPTER | Indian Economy Chapter 10 | UPSC Preparation,https://www.youtube.com/watch?v=AYFDPI74SEg
14391,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 4: Sectoral Analysis of the Indian Economy,Agriculture FULL CHAPTER | Indian Economy Chapter 11 | UPSC Preparation,https://www.youtube.com/watch?v=IAMp_RhJjLo
14392,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 4: Sectoral Analysis of the Indian Economy,Food Security and Food Management FULL CHAPTER | Indian Economy Chapter 12 | UPSC Preparation,https://www.youtube.com/watch?v=IoeAztIOgWw
14393,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 4: Sectoral Analysis of the Indian Economy,Land Reforms in India FULL CHAPTER | Indian Economy Chapter 13 | UPSC Preparation,https://www.youtube.com/watch?v=a6Hqeu5uuc4
14394,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 4: Sectoral Analysis of the Indian Economy,Irrigation in India FULL CHAPTER | Indian Economy Chapter 14 | UPSC Preparation,https://www.youtube.com/watch?v=7U3qei1ZqQc
14395,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 5: Agriculture and Food Security,Indian Industry FULL CHAPTER | Indian Economy Chapter 15 | UPSC Preparation,https://www.youtube.com/watch?v=05pUd18PMms
14396,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 5: Agriculture and Food Security,MSME Sector FULL CHAPTER | Indian Economy Chapter 16 | UPSC Preparation,https://www.youtube.com/watch?v=9jOXfwIx-nw
14397,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 5: Agriculture and Food Security,Food Processing Industry in India FULL CHAPTER | Indian Economy Chapter 17 | UPSC Preparation,https://www.youtube.com/watch?v=D5oRaRoE9Uw
14398,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 5: Agriculture and Food Security,Infrastructure FULL CHAPTER | Indian Economy Chapter 19 | UPSC Preparation,https://www.youtube.com/watch?v=9VxJrYMD1SI
14399,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 6: Industrial Development and Infrastructure,Health and Education FULL CHAPTER | Indian Economy Chapter 20 | UPSC Preparation,https://www.youtube.com/watch?v=hGcDaFL-dHk
14400,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 6: Industrial Development and Infrastructure,Balance of Payments FULL CHAPTER | Indian Economy Chapter 21 | UPSC Preparation,https://www.youtube.com/watch?v=ETdtNW4CkVU
14401,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 6: Industrial Development and Infrastructure,India’s Foreign Exchange and Foreign Trade FULL CHAPTER | Indian Economy Chapter 22,https://www.youtube.com/watch?v=6-9BaIy9NlE
14402,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 7: Social and Human Capital Development,International Economic Institutions FULL CHAPTER | Indian Economy Chapter 23 | UPSC Preparation,https://www.youtube.com/watch?v=JDXchnro4bg
14403,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 7: Social and Human Capital Development,Population and Demographic Dividend FULL CHAPTER | Indian Economy Chapter 24 | UPSC Preparation,https://www.youtube.com/watch?v=vssi2ihHgJs
14404,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 8: External Sector and Global Integration,Skill Development FULL CHAPTER | Indian Economy Chapter 25 | UPSC Preparation,https://www.youtube.com/watch?v=LB8zQ5UxwAc
14405,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 8: External Sector and Global Integration,Investment Models FULL CHAPTER | Indian Economy Chapter 26 | UPSC Preparation,https://www.youtube.com/watch?v=NJyXflTst50
14406,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 8: External Sector and Global Integration,Sustainable Development and Climate Change FULL CHAPTER | Indian Economy Chapter 27,https://www.youtube.com/watch?v=Kj8hlRdRN1U
14407,Economics,Complete Indian Economy | Complete UPSC Preparation,,12th,English/Hindi,Module 9: Contemporary Issues and Future Prospects,Service Sector FULL CHAPTER | Indian Economy Chapter 18 | UPSC Preparation,https://www.youtube.com/watch?v=v2Wgz1P0fjE
