Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
13293,Economics,Complete Macroeconomics,40hrs 11min,12th,English/Hindi,Module 1: Introduction to National Income,#1 Circular flow of income by Hardev Thakur,https://www.youtube.com/watch?v=1gddMXv-ujk
13294,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 1: Introduction to National Income,#2 GDP GNP NDP NNP (Aggregates of National Income) by Hardev Thakur,https://www.youtube.com/watch?v=Oqg2wVgD-24
13295,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 1: Introduction to National Income,"#3 Difference between GDP, GNP, and GNI by Hardev Thakur",https://www.youtube.com/watch?v=wirAobUvnM0
13296,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 1: Introduction to National Income,#4 Value added method (Calculating National Income) by Hardev Thakur,https://www.youtube.com/watch?v=lp6iUGt4470
13297,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 2: National Income Concepts and Measurement,#5 Income method (Calculation of National Income) by Hardev Thakur,https://www.youtube.com/watch?v=pXnYTmgnK6g
13298,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 2: National Income Concepts and Measurement,#6 Expenditure method (Calculation of National income) by Hardev Thakur,https://www.youtube.com/watch?v=Or083v-dZrs
13299,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 2: National Income Concepts and Measurement,#7 Private Income and Personal Income | by Hardev Thakur,https://www.youtube.com/watch?v=GeUWLWLvKkc
13300,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,"#8 Real GDP, Nominal GDP and GDP deflator by Hardev Thakur",https://www.youtube.com/watch?v=MAlSV18A4uc
13301,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,#09 Classical theory of Income and Employment by Hardev Thakur,https://www.youtube.com/watch?v=knysAaTDpJk
13302,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,#10 Keynes theory of employment by Hardev Thakur,https://www.youtube.com/watch?v=q7E10vZTylU
13303,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 3: National Income Determination,#11 Keynes Two sector Model by Hardev Thakur,https://www.youtube.com/watch?v=HFz03NDFBlk
13304,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#12 Ex-post and Ex-ante saving and investment by Hardev Thakur,https://www.youtube.com/watch?v=I2w3XqfyWqE
13305,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#13 Investment multiplier by Hardev Thakur,https://www.youtube.com/watch?v=wA3lANyRNyI
13306,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#14 Government Expenditure Multiplier by Hardev Thakur,https://www.youtube.com/watch?v=_1faCrVQA3s
13307,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 4: The Keynesian Model,#15 Tax Multiplier by Hardev Thakur,https://www.youtube.com/watch?v=m-IPEjWbOaA
13308,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 5: Fiscal Policy and Multipliers,#16 Balance Budget Multiplier and Transfer payment Multiplier by Hardev Thakur,https://www.youtube.com/watch?v=lSG_3IodBmc
13309,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 5: Fiscal Policy and Multipliers,#17 Foreign Trade Multiplier by Hardev Thakur,https://www.youtube.com/watch?v=3S-MjBEpKE0
13310,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 5: Fiscal Policy and Multipliers,"#18 Consumption and Saving Function (APC, APS, MPC, MPS) by Hardev Thakur",https://www.youtube.com/watch?v=PyH7Hjw7YiQ
13311,Economics,Complete Macroeconomics,,12th,English/Hindi,Module 5: Fiscal Policy and Multipliers,#19 Keynes psychological law of consumption | Absolute income hypothesis by Hardev Thakur,https://www.youtube.com/watch?v=YCocNkxZ3KY
