Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
13478,Economics,Econ 2450A Public Economics | Raj Chetty,143hrs 7min,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 1: Introduction | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=wjuKvgQv51Y
13479,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 2: Tax Incidence Part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=KpoimMcLyvE
13480,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 2: Tax Incidence Part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=IIoyGQbE_ME
13481,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 2: Tax Incidence Part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=caOBKTniLrU
13482,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 3: Efficiency Cost of Taxation Part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=Wge5DB9XZF4
13483,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 3: Efficiency Cost of Taxation Part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=IeBfGkDd5lo
13484,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 3: Efficiency Cost of Taxation Part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=jYjfsnVzEJI
13485,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 4: Optimal Taxation Part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=IPlCtuB3B68
13486,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 4: Optimal Taxation Part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=30iPMSs8K4c
13487,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 4: Optimal Taxation Part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=fwvQElcho_g
13488,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 5: Income Taxation and Labor Supply part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=GDlWo7N5SwY
13489,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 5: Income Taxation and Labor Supply part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=QmC6llOGgVg
13490,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 5: Income Taxation and Labor Supply part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=Mx0ZyYGqtjM
13491,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 5: Income Taxation and Labor Supply part 4 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=PvwNLIN_1HA
13492,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 5: Income Taxation and Labor Supply part 5 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=UtAtta94RQQ
13493,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 1 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=DEVvVxrVyB4
13494,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 2 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=vIf5hStAQus
13495,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 3 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=IqH7ssKI97Y
13496,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 4 (Guest Lecture) | Econ2450A: Public Economics,https://www.youtube.com/watch?v=I8WRNVTnIJA
13497,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 6: Social Insurance Part 5 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=0dQNMKjSQIg
13498,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 6: Social Insurance Part 6 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=xckXMlOnMwg
13499,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 7: Public Goods and Externalities Part 1 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=o0lS2fljH-U
13500,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 7: Public Goods and Externalities Part 2 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=v7iFvJtmWoM
13501,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 7: Public Goods and Externalities Part 3 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=As6IW2X5dag
13502,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 8: Corporate Taxation Part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=f5DTqcBigkE
13503,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 8: Corporate Taxation Part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=MyeC1oAyj4s
13504,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 8: Corporate Taxation Part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=w1tZYlIenOs
13505,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 8: Corporate Taxation Part 4 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=l1loCX8eAn0
