"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
13518,"Economics","Health Economics","15hrs 0min","12th","English/Hindi","Module 1: Introduction to Health Economics","Health Economics By Prof. Pratap C. Mohanty IIT Roorkee","https://www.youtube.com/watch?v=nwX0omzMQSE"
13519,"Economics","Health Economics","","12th","English/Hindi","Module 1: Introduction to Health Economics","Lecture 01- Health Economics: Overview, Structure, and Beneficiaries","https://www.youtube.com/watch?v=I2HJ2hKD1Gk"
13520,"Economics","Health Economics","","12th","English/Hindi","Module 1: Introduction to Health Economics","Lecture 02- Concepts and Terminologies in Health  Economics","https://www.youtube.com/watch?v=NL8O0g9qNG8"
13521,"Economics","Health Economics","","12th","English/Hindi","Module 1: Introduction to Health Economics","Lecture 03- Health as an Economic Good","https://www.youtube.com/watch?v=SdrCKzT1gvY"
13522,"Economics","Health Economics","","12th","English/Hindi","Module 2: Demand for Health","Lecture 04- Economics of Health v/s Economics of Healthcare","https://www.youtube.com/watch?v=S1f2jr7LI2o"
13523,"Economics","Health Economics","","12th","English/Hindi","Module 2: Demand for Health","Lecture 05- Arrow's Perspective of Healthcare","https://www.youtube.com/watch?v=6CSwVOvSwDQ"
13524,"Economics","Health Economics","","12th","English/Hindi","Module 2: Demand for Health","Lecture 06 - Utility and Health","https://www.youtube.com/watch?v=WBOEiX88Y5c"
13525,"Economics","Health Economics","","12th","English/Hindi","Module 2: Demand for Health","Lecture 07- Demand for Health care","https://www.youtube.com/watch?v=hGogeAw1e1M"
13526,"Economics","Health Economics","","12th","English/Hindi","Module 3: Health Providers and Production","Lecture 08- Demand for Health: Grossman model-I","https://www.youtube.com/watch?v=jgDphT-Obdk"
13527,"Economics","Health Economics","","12th","English/Hindi","Module 3: Health Providers and Production","Lecture 09- Demand for Health: Grossman model-II","https://www.youtube.com/watch?v=tuv1xr75IKw"
13528,"Economics","Health Economics","","12th","English/Hindi","Module 3: Health Providers and Production","Lecture 10- Grossman model and Health disparities","https://www.youtube.com/watch?v=5u9JifImV98"
13529,"Economics","Health Economics","","12th","English/Hindi","Module 4: Health Care Financing and Insurance","Lecture 11- Physicians as Health Provider-I","https://www.youtube.com/watch?v=B1IvPK_E3TE"
13530,"Economics","Health Economics","","12th","English/Hindi","Module 4: Health Care Financing and Insurance","Lecture 12- Physicians as Health Provider-II","https://www.youtube.com/watch?v=-_pINwgwLok"
13531,"Economics","Health Economics","","12th","English/Hindi","Module 4: Health Care Financing and Insurance","Lecture 13- Hospitals as Health Provider","https://www.youtube.com/watch?v=ED2MF54MXZI"
13532,"Economics","Health Economics","","12th","English/Hindi","Module 4: Health Care Financing and Insurance","Lecture 14- Production and Costs of Health Care","https://www.youtube.com/watch?v=3XQzy244pK0"
13533,"Economics","Health Economics","","12th","English/Hindi","Module 5: Behavioral Economics and Health","Lecture 15- Profit and Non-profit Maximization Models in Health care","https://www.youtube.com/watch?v=Wyx7DZIIgD0"
13534,"Economics","Health Economics","","12th","English/Hindi","Module 5: Behavioral Economics and Health","Lecture 21- Health Care Financing","https://www.youtube.com/watch?v=doIo4ST3xiQ"
13535,"Economics","Health Economics","","12th","English/Hindi","Module 5: Behavioral Economics and Health","Lecture 22- Uncertainty and Risk: Health Insurance-I","https://www.youtube.com/watch?v=cmLyh5jCM68"
13536,"Economics","Health Economics","","12th","English/Hindi","Module 5: Behavioral Economics and Health","Lecture 23- Uncertainty and Risk: Health Insurance-II","https://www.youtube.com/watch?v=efulNATJxZI"
13537,"Economics","Health Economics","","12th","English/Hindi","Module 6: Equity in Healthcare","Lecture 24- Information Economics in Health: Moral Hazard","https://www.youtube.com/watch?v=v_0nEmis9WA"
13538,"Economics","Health Economics","","12th","English/Hindi","Module 6: Equity in Healthcare","Lecture 25- Information Economics in Health: Adverse Selection","https://www.youtube.com/watch?v=zK4KbtowV4o"
13539,"Economics","Health Economics","","12th","English/Hindi","Module 6: Equity in Healthcare","Lecture 26- Introduction of Behavioral Economics","https://www.youtube.com/watch?v=VzSIdzcHmQ4"
13540,"Economics","Health Economics","","12th","English/Hindi","Module 6: Equity in Healthcare","Lecture 27- Expected Utility Theory","https://www.youtube.com/watch?v=g2AStwXUXqE"
