"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
13705,"Economics","Industrial Organization","148hrs 1min","12th","English/Hindi","Module 1: Introduction to Industrial Organization","Industrial Organization: Lecture-01","https://www.youtube.com/watch?v=fvhN6pF5o6s"
13706,"Economics","Industrial Organization","","12th","English/Hindi","Module 1: Introduction to Industrial Organization","Industrial Organization: Lecture-02","https://www.youtube.com/watch?v=J0OtRCfsHqg"
13707,"Economics","Industrial Organization","","12th","English/Hindi","Module 1: Introduction to Industrial Organization","Lecture-03","https://www.youtube.com/watch?v=ZEfruAyL3HA"
13708,"Economics","Industrial Organization","","12th","English/Hindi","Module 2: Market Structure and Power","Lecture-04","https://www.youtube.com/watch?v=EZ9ozzYcpRk"
13709,"Economics","Industrial Organization","","12th","English/Hindi","Module 2: Market Structure and Power","Lecture-05","https://www.youtube.com/watch?v=rV2W-o7wqXQ"
13710,"Economics","Industrial Organization","","12th","English/Hindi","Module 2: Market Structure and Power","Lecture-06","https://www.youtube.com/watch?v=ZUowPKtDvow"
13711,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Lecture-07","https://www.youtube.com/watch?v=N9Y6is9i1-4"
13712,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Lecture-08","https://www.youtube.com/watch?v=Uzlg9oGe7tw"
13713,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Lecture-09","https://www.youtube.com/watch?v=aedHg5Lk3gk"
13714,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Lecture-10","https://www.youtube.com/watch?v=bpUXWgRc_Ak"
13715,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-09","https://www.youtube.com/watch?v=s9a_cwlg1Mk"
13716,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-08","https://www.youtube.com/watch?v=EMTFFp4u86I"
13717,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-07","https://www.youtube.com/watch?v=y6UgLOycmHM"
13718,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-06","https://www.youtube.com/watch?v=vpJVOgE9Gm8"
13719,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-05","https://www.youtube.com/watch?v=ra17jYQNPJQ"
13720,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-04","https://www.youtube.com/watch?v=ob8jFX-WVRs"
13721,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-03","https://www.youtube.com/watch?v=zX5FXute6ug"
13722,"Economics","Industrial Organization","","12th","English/Hindi","Module 3: Firm Strategy and Conduct","Industrial Organization: Lecture-10","https://www.youtube.com/watch?v=R-QMImJDu1o"
