"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
13579,"Economics","Introduction to Environmental Economics","7hrs 4min","12th","English/Hindi","Module 1: Introduction and Fundamentals of Environmental Economics","Introduction to Environmental Economics","https://www.youtube.com/watch?v=-3xNtg2bPQY"
13580,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 1: Introduction and Fundamentals of Environmental Economics","LEC 01: Meaning, Rationale and Evolution","https://www.youtube.com/watch?v=qd12Yw6_Uts"
13581,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 1: Introduction and Fundamentals of Environmental Economics","LEC 02: Basic Concepts and Tools from Micro and Welfare Economics","https://www.youtube.com/watch?v=wurRjnzQ7ds"
13582,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 1: Introduction and Fundamentals of Environmental Economics","LEC 03: Environmental Economics and Other Sub-disciplines","https://www.youtube.com/watch?v=idQlNUHcx54"
13583,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 2: Commons, Collective Action, and Environmental Challenges","LEC 04: Study Specific in Environmental Economics, Major Problems and Key Concerns","https://www.youtube.com/watch?v=9Orx7AJ9BVM"
13584,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 2: Commons, Collective Action, and Environmental Challenges","LEC 05: Commons and Collective Actions Problem: Seminal Theories-I","https://www.youtube.com/watch?v=SC8e3STfid0"
13585,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 2: Commons, Collective Action, and Environmental Challenges","LEC 06: Commons and Collective Actions Problem: Seminal Theories-II","https://www.youtube.com/watch?v=iEPu7z0MCJ8"
13586,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 2: Commons, Collective Action, and Environmental Challenges","LEC 07: Commons and Collective Actions Problem: Seminal Theories-III","https://www.youtube.com/watch?v=JpIK7Zu9pEE"
13587,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 2: Commons, Collective Action, and Environmental Challenges","LEC 08: Mancur Olson's Theory of Collective Action","https://www.youtube.com/watch?v=_8P-NcTzVqg"
13588,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 2: Commons, Collective Action, and Environmental Challenges","LEC 09: Collective Action and Prisoner's Dilemma Game","https://www.youtube.com/watch?v=iUbTV6reLrE"
13589,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 3: Ecosystem Services, Human Impact, and Sustainable Growth","LEC 10: Governing the Commons: The Evolution of Institutions for Collective Action-I","https://www.youtube.com/watch?v=k9hC7FQiyFo"
13590,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 3: Ecosystem Services, Human Impact, and Sustainable Growth","LEC 11: Governing the Commons: The Evolution of Institutions for Collective Action-II","https://www.youtube.com/watch?v=tvH0B1A5qcY"
13591,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 3: Ecosystem Services, Human Impact, and Sustainable Growth","LEC 12: Environmental Goods and Ecosystem Services-1","https://www.youtube.com/watch?v=xZzamMb3KTc"
13592,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 3: Ecosystem Services, Human Impact, and Sustainable Growth","LEC 13: Environmental Goods and Ecosystem Services-II","https://www.youtube.com/watch?v=LRmbAjhWv2Y"
13593,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 3: Ecosystem Services, Human Impact, and Sustainable Growth","LEC 14: Ecological Footprint-I","https://www.youtube.com/watch?v=QkfC3R3wHpg"
13594,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 3: Ecosystem Services, Human Impact, and Sustainable Growth","LEC 15: Ecological Footprint-II","https://www.youtube.com/watch?v=2UoryWj9DRg"
13595,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 16: Poverty and Environmental Linkages-I","https://www.youtube.com/watch?v=6aZYHm8zCuA"
13596,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 17: Poverty and Environmental Linkages-II","https://www.youtube.com/watch?v=sS0EkIpb0xM"
13597,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 18: Poverty and Environment Linkages-III","https://www.youtube.com/watch?v=O0A5dAJMJ0Y"
13598,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 19: Environment and Economic Growth Linkages-I","https://www.youtube.com/watch?v=cFjM7rMeNas"
13599,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 20: Environment and Economic Growth Linkages-II","https://www.youtube.com/watch?v=gskh6bK7nF8"
13600,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 21: Environmental Sustainability-I","https://www.youtube.com/watch?v=gnE6vUY6y90"
13601,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 22: Environmental Sustainability-II","https://www.youtube.com/watch?v=9vMVtkVeGqY"
13602,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 4: Environmental Valuation and Economic Analysis","LEC 23: Environmental Performance Index","https://www.youtube.com/watch?v=uEn1BibMFeQ"
13603,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 5: Market Dynamics, Environmental Goods, and Welfare","LEC 24: Benefit-Cost Analysis and the Environment-I","https://www.youtube.com/watch?v=W1jIl5YEkIM"
13604,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 5: Market Dynamics, Environmental Goods, and Welfare","LEC 25: Benefit-Cost Analysis and the Environment-II","https://www.youtube.com/watch?v=G27tw0e9u7U"
13605,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 5: Market Dynamics, Environmental Goods, and Welfare","LEC 26: Consumer Demand for Environmental Goods-I","https://www.youtube.com/watch?v=6tx77OGrgJ0"
13606,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 5: Market Dynamics, Environmental Goods, and Welfare","LEC 27: Consumer Demand for Environmental Goods-II","https://www.youtube.com/watch?v=vg07_P-iT1M"
13607,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 5: Market Dynamics, Environmental Goods, and Welfare","LEC 28: Welfare Effects of Price Change","https://www.youtube.com/watch?v=0BsGi-NI3O8"
13608,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 6: Market Failures, Public Goods, and Externalities","LEC 29: Non-market Environmental Valuation: Revealed Preference Methods-I","https://www.youtube.com/watch?v=S773F1qtVyE"
13609,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 6: Market Failures, Public Goods, and Externalities","LEC 30: Hedonic Pricing Method","https://www.youtube.com/watch?v=gg1gIszcEaQ"
13610,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 6: Market Failures, Public Goods, and Externalities","LEC 31: Household Production Function: Averting Expenditure/Defensive Expenditure Method-I","https://www.youtube.com/watch?v=ktM_kJYjBGo"
13611,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 6: Market Failures, Public Goods, and Externalities","LEC 32: Household Production Function: Averting Behavior/Defensive Expenditure Method-II","https://www.youtube.com/watch?v=bzq5bqYA71I"
13612,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 6: Market Failures, Public Goods, and Externalities","LEC 33: Damage Costs/Costs Of Illness And Lost Output Approach","https://www.youtube.com/watch?v=2y1sc0RjGnk"
13613,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 34: Travel Cost Method","https://www.youtube.com/watch?v=ZnQ3ZsIg2JE"
13614,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 35: Contingent Valuation Method: A Stated Preference Approach","https://www.youtube.com/watch?v=yzO6TxOKUYM"
13615,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 36: Choice Experiment Method: A Stated Preference Approach","https://www.youtube.com/watch?v=UiPkZIK-9CA"
13616,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 37: Market Efficiency and Optimality-I","https://www.youtube.com/watch?v=sxiROUuVChQ"
13617,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 38: Market Efficiency and Optimality-II","https://www.youtube.com/watch?v=yq6LNpcGQf8"
13618,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 39: Market Efficiency and Optimality-III","https://www.youtube.com/watch?v=2YnQakPRb-A"
13619,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 40: Market Efficiency and Optimality-IV","https://www.youtube.com/watch?v=dRe9a5Kylhc"
13620,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 41: Consumer and Producer Surplus-I","https://www.youtube.com/watch?v=u2s4gJUJdGM"
13621,"Economics","Introduction to Environmental Economics","","12th","English/Hindi","Module 7: Environmental Regulation and Policy Instruments","LEC 42: Consumer and Producer Surplus-II","https://www.youtube.com/watch?v=_3SdiGoVGoA"
