S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Education,Become an Instructional Designer,97hrs 10min,12th,English/Hindi,Module 1: Is Instructional Design Right for You?,How to Become an Instructional Designer in 2024,https://www.youtube.com/watch?v=eaLCPR-_M5U
2,Education,Become an Instructional Designer,,12th,English/Hindi,Module 1: Is Instructional Design Right for You?,Is Instructional Design Right for You?,https://www.youtube.com/watch?v=xQfvnc0bzm0
3,Education,Become an Instructional Designer,,12th,English/Hindi,Module 1: Is Instructional Design Right for You?,The ADDIE Model of Instructional Design,https://www.youtube.com/watch?v=JB6aDdq3HTI
4,Education,Become an Instructional Designer,,12th,English/Hindi,Module 1: Is Instructional Design Right for You?,Gagne's Nine Events of Instruction,https://www.youtube.com/watch?v=-31fCUQ2htU
5,Education,Become an Instructional Designer,,12th,English/Hindi,Module 2: Foundational Instructional Design Models and Theories,The Kirkpatrick Model of Training Evaluation,https://www.youtube.com/watch?v=7ThFfgocqrc
6,Education,Become an Instructional Designer,,12th,English/Hindi,Module 2: Foundational Instructional Design Models and Theories,Action Mapping for Instructional Designers,https://www.youtube.com/watch?v=b12Xe_Fg-yk
7,Education,Become an Instructional Designer,,12th,English/Hindi,Module 2: Foundational Instructional Design Models and Theories,How to Write Learning Objectives with Blooms Taxonomy,https://www.youtube.com/watch?v=QXGOjzcQdhQ
8,Education,Become an Instructional Designer,,12th,English/Hindi,Module 2: Foundational Instructional Design Models and Theories,Mayer's Principles of Multimedia Learning,https://www.youtube.com/watch?v=d9WpfWriY7A
9,Education,Become an Instructional Designer,,12th,English/Hindi,Module 3: Essential Skills for Instructional Designers,How to Learn Articulate Storyline 360,https://www.youtube.com/watch?v=KkKBrQ6H5Ek
10,Education,Become an Instructional Designer,,12th,English/Hindi,Module 3: Essential Skills for Instructional Designers,How to Create an Instructional Design Portfolio,https://www.youtube.com/watch?v=p-tBgyt3mBg
11,Education,Become an Instructional Designer,,12th,English/Hindi,Module 3: Essential Skills for Instructional Designers,How to Use LinkedIn Effectively to Land Paid Work,https://www.youtube.com/watch?v=Usl8yQ7FEs8
12,Education,Become an Instructional Designer,,12th,English/Hindi,Module 3: Essential Skills for Instructional Designers,How to Network Effectively Online (Low-stress Networking),https://www.youtube.com/watch?v=fC29ier_-BI
