S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Education,EDU305 Classroom Management,16hrs 22min,12th,English/Hindi,Module 1: Introduction to Classroom Management,EDU305_Topic001,https://www.youtube.com/watch?v=8a2nG9TJ3yU
2,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 1: Introduction to Classroom Management,EDU305_Topic002,https://www.youtube.com/watch?v=VDOVJ1ciK-Y
3,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 1: Introduction to Classroom Management,EDU305_Topic003,https://www.youtube.com/watch?v=aXUv8ONFMWI
4,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 1: Introduction to Classroom Management,EDU305_Topic004,https://www.youtube.com/watch?v=ZcI1j3Iq0EU
5,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 2: Establishing Rules and Procedures,EDU305_Topic005,https://www.youtube.com/watch?v=91S8UwrWNWo
6,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 2: Establishing Rules and Procedures,EDU305_Topic006,https://www.youtube.com/watch?v=C6HMzmY1iyk
7,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 2: Establishing Rules and Procedures,EDU305_Topic007,https://www.youtube.com/watch?v=3OLvNRou1oA
8,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 2: Establishing Rules and Procedures,EDU305_Topic008,https://www.youtube.com/watch?v=l86RVYHhhVU
9,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 3: Creating a Positive Learning Environment,EDU305_Topic009,https://www.youtube.com/watch?v=vrkx_vVsFjU
10,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 3: Creating a Positive Learning Environment,EDU305_Topic010,https://www.youtube.com/watch?v=tTmkEXI17UE
11,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 3: Creating a Positive Learning Environment,EDU305_Topic011,https://www.youtube.com/watch?v=yZrmzk7Ifko
12,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 3: Creating a Positive Learning Environment,EDU305_Topic012,https://www.youtube.com/watch?v=ByUXdt5jkzU
13,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 4: Managing Student Behavior,EDU305_Topic013,https://www.youtube.com/watch?v=7dVIsAzIRGk
14,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 4: Managing Student Behavior,EDU305_Topic014,https://www.youtube.com/watch?v=Ue9_Wn-jLrY
15,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 4: Managing Student Behavior,EDU305_Topic015,https://www.youtube.com/watch?v=qB8TGrKQ3xQ
16,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 4: Managing Student Behavior,EDU305_Topic016,https://www.youtube.com/watch?v=DTXQ_On9O4g
17,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 5: Communication and Collaboration,EDU305_Topic017,https://www.youtube.com/watch?v=gSlDT4sbmFw
18,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 5: Communication and Collaboration,EDU305_Topic018,https://www.youtube.com/watch?v=pB9Hku-tnUE
19,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 5: Communication and Collaboration,EDU305_Topic019,https://www.youtube.com/watch?v=v4w2qnL-7_w
20,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 5: Communication and Collaboration,EDU305_Topic020,https://www.youtube.com/watch?v=B66Xer98TaI
21,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 6: Differentiation and Inclusive Practices,EDU305_Topic021,https://www.youtube.com/watch?v=dRdw_8q5oSc
22,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 6: Differentiation and Inclusive Practices,EDU305_Topic022,https://www.youtube.com/watch?v=fLEslPqLg8U
23,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 6: Differentiation and Inclusive Practices,EDU305_Topic023,https://www.youtube.com/watch?v=Q62DWN7a4b4
24,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 6: Differentiation and Inclusive Practices,EDU305_Topic024,https://www.youtube.com/watch?v=J0p5K8pLbSw
25,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 7: Motivation and Engagement,EDU305_Topic025,https://www.youtube.com/watch?v=2nN-toJdpGE
26,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 7: Motivation and Engagement,EDU305_Topic026,https://www.youtube.com/watch?v=fVV1wOFQOCY
27,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 7: Motivation and Engagement,EDU305_Topic027,https://www.youtube.com/watch?v=grNsax3tNAc
28,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 7: Motivation and Engagement,EDU305_Topic028,https://www.youtube.com/watch?v=E7JtDRaLJXc
29,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 8: Assessment and Feedback,EDU305_Topic029,https://www.youtube.com/watch?v=fhfoAgWHg7o
30,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 8: Assessment and Feedback,EDU305_Topic030,https://www.youtube.com/watch?v=KGH2sKxVeo0
31,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 8: Assessment and Feedback,EDU305_Topic031,https://www.youtube.com/watch?v=E4rN_KSYKbI
32,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 8: Assessment and Feedback,EDU305_Topic032,https://www.youtube.com/watch?v=_ljsRSHXZ8w
33,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 9: Classroom Technology Integration,EDU305_Topic033,https://www.youtube.com/watch?v=QMq-ye_I7RA
34,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 9: Classroom Technology Integration,EDU305_Topic034,https://www.youtube.com/watch?v=KB2U7yfRnC8
35,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 9: Classroom Technology Integration,EDU305_Topic035,https://www.youtube.com/watch?v=D7VV3-C-4UI
36,Education,EDU305 Classroom Management,,12th,English/Hindi,Module 9: Classroom Technology Integration,EDU305_Topic036,https://www.youtube.com/watch?v=-7SUE4XBjEM
