S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Education,Educational Technology,23hrs 12min,12th,English/Hindi,Module 1: Introduction to Education & Educational Technology,Education &  Aims of Education !!,https://www.youtube.com/watch?v=8SoKG831fDg
2,Education,Educational Technology,,12th,English/Hindi,Module 1: Introduction to Education & Educational Technology,Approaches and scope of educationa technology !! Hindi !!,https://www.youtube.com/watch?v=TPtqOb317fM
3,Education,Educational Technology,,12th,English/Hindi,Module 1: Introduction to Education & Educational Technology,Educational Philosophy !! Definition  !! Meaning !! Comparison of Educational Philosophy !! Hindi !!,https://www.youtube.com/watch?v=0NhiWjyv1EU
4,Education,Educational Technology,,12th,English/Hindi,Module 1: Introduction to Education & Educational Technology,Philosophy of Nursing Education !! Hindi !!,https://www.youtube.com/watch?v=vstfeV0jAmY
5,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,"Latest approaches to Education !! Transformational, Relationship , Competency based Education!!",https://www.youtube.com/watch?v=IQnknZRHzLE
6,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,Teaching Learning as a Process !! Education Technology !!,https://www.youtube.com/watch?v=DR5pXuRu9AA
7,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,Nature of Teaching and Learning !! Education Technology !! Hindi !! Unit 1st !!,https://www.youtube.com/watch?v=KHftoqfSMzI
8,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,Characteristics of Teaching and Learning !! Hindi !!,https://www.youtube.com/watch?v=2GD7H1B78hQ
9,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,Principles of Teaching and Learning !! Hindi !!,https://www.youtube.com/watch?v=2GzdWKlkbho
10,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,Barriers in Teaching and Learning !! Education Technology !!,https://www.youtube.com/watch?v=wP9O4fZClMc
11,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,"Latest Approaches to Learning !! Experiential, Reflective,Scenario ,Simulation based & Blended !!",https://www.youtube.com/watch?v=Hs5sjZiIq50
12,Education,Educational Technology,,12th,English/Hindi,Module 2: Teaching and Learning Process & Latest Approaches,Essential Qualities of a Teacher !! Hindi !!,https://www.youtube.com/watch?v=0eigGiOcfeA
13,Education,Educational Technology,,12th,English/Hindi,Module 3: Learners & Learning Environment,Teaching Style !! Educational Technology !! Unit 2 !! Hindi !!,https://www.youtube.com/watch?v=6ktqTuet1oU
14,Education,Educational Technology,,12th,English/Hindi,Module 3: Learners & Learning Environment,Types of learners in Hindi !! Educational Technology!!  Unit : 2nd !!,https://www.youtube.com/watch?v=HtdkFs9yqiQ
15,Education,Educational Technology,,12th,English/Hindi,Module 3: Learners & Learning Environment,"Determinants of learning -learning Needs, Readiness to learn, Learning Styles !! Hindi !!",https://www.youtube.com/watch?v=58DfV-5rr6Q
16,Education,Educational Technology,,12th,English/Hindi,Module 3: Learners & Learning Environment,Today’s generation of learners and their Skills & Attributes !! Hindi !! Unit 2nd !!,https://www.youtube.com/watch?v=ciJlHTFPPJ0
17,Education,Educational Technology,,12th,English/Hindi,Module 3: Learners & Learning Environment,Emotional Intelligence of Learners in Hindi !! Educational Technology !!,https://www.youtube.com/watch?v=vLSktc2lrkg
18,Education,Educational Technology,,12th,English/Hindi,Module 4: Curriculum Development & Learning Theories,Patient’s Unit Requirements !! #snehaemedicalclasses #nursing #freeclasses #medicalclasses,https://www.youtube.com/watch?v=LKrLrEnU7Xs
19,Education,Educational Technology,,12th,English/Hindi,Module 4: Curriculum Development & Learning Theories,"Motivational Factors: Personal Factors, Environmental Factor, Support System in Hindi !!",https://www.youtube.com/watch?v=7Yiz6YqiVho
20,Education,Educational Technology,,12th,English/Hindi,Module 4: Curriculum Development & Learning Theories,Curriculum & Its Types !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=Q776hdaVoNQ
21,Education,Educational Technology,,12th,English/Hindi,Module 4: Curriculum Development & Learning Theories,Factors influencing Curriculum development !! Facilitators !! Barriers !! Hindi !!,https://www.youtube.com/watch?v=b54Qd1NoQz8
22,Education,Educational Technology,,12th,English/Hindi,Module 5: Lesson Planning & Classroom Management,"Curriculum Design !! Components , Approaches !! Educational Technology !! Hindi !!",https://www.youtube.com/watch?v=D97iWfMb6XI
23,Education,Educational Technology,,12th,English/Hindi,Module 5: Lesson Planning & Classroom Management,"Theories of Learning !! Behaviour , Cognitive, Constructive, Social Theories !! Hindi !!",https://www.youtube.com/watch?v=aFYvUx3q-1o
24,Education,Educational Technology,,12th,English/Hindi,Module 5: Lesson Planning & Classroom Management,Communication Techniques for Children in Hindi !!,https://www.youtube.com/watch?v=I0mGlLKGjuY
25,Education,Educational Technology,,12th,English/Hindi,Module 5: Lesson Planning & Classroom Management,Writing Learning Outcomes behavioural objectives !! Hindi !! Educational Technology !!,https://www.youtube.com/watch?v=6UXSdBdN7WI
26,Education,Educational Technology,,12th,English/Hindi,Module 6:  ICT in Education & Teaching Methods,Principles of Lesson Plan !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=dvYzq32qpUs
27,Education,Educational Technology,,12th,English/Hindi,Module 6:  ICT in Education & Teaching Methods,Principles of Course Plan & Lesson Plan !! Hindi !!,https://www.youtube.com/watch?v=hRxd-uC7plA
28,Education,Educational Technology,,12th,English/Hindi,Module 6:  ICT in Education & Teaching Methods,Principles of Classroom Management !! Hindi !!,https://www.youtube.com/watch?v=LzwGNtKDVig
29,Education,Educational Technology,,12th,English/Hindi,Module 6:  ICT in Education & Teaching Methods,Facilitators and Barriers to classroom communication in Hindi !! Educational Technology !!,https://www.youtube.com/watch?v=DwKg6GDdWK0
30,Education,Educational Technology,,12th,English/Hindi,Module 6:  ICT in Education & Teaching Methods,Information Communication Technology ( ICT) in Education !! Hindi !! Educational Technology !!,https://www.youtube.com/watch?v=jhip4BpITbk
31,Education,Educational Technology,,12th,English/Hindi,Module 7: Active Learning & Clinical Learning,"Methods of Teaching !! Lecture Method, Group Discussion, Micro teaching !! Hindi !!",https://www.youtube.com/watch?v=XWXMBztpx2g
32,Education,Educational Technology,,12th,English/Hindi,Module 7: Active Learning & Clinical Learning,"Methods of Teaching !! Skill lab: simulation,Demonstration, Re - demonstration !! Hindi !!",https://www.youtube.com/watch?v=ZlHrM9gdgHA
33,Education,Educational Technology,,12th,English/Hindi,Module 7: Active Learning & Clinical Learning,"Methods of Teaching !! Role Play, Field Trip and Project  !! Hindi !!",https://www.youtube.com/watch?v=crW_dRWhRt0
34,Education,Educational Technology,,12th,English/Hindi,Module 7: Active Learning & Clinical Learning,"Symposium, Seminar, Panel Discussion, Scientific Workshop, Exhibition, methods of teaching!! Hindi !",https://www.youtube.com/watch?v=mvPgPDF09rE
35,Education,Educational Technology,,12th,English/Hindi,Module 7: Active Learning & Clinical Learning,"Self Directed Learning, Computer Assisted Learning !! Hindi !! Educational Technology !!",https://www.youtube.com/watch?v=QsTOHqPQ8_c
36,Education,Educational Technology,,12th,English/Hindi,Module 7: Active Learning & Clinical Learning,"Active Learning Strategies!! Team based, Problem based, peer analysis, case study analysis!!",https://www.youtube.com/watch?v=8ktyXNjiiu8
37,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,"Journaling , Debate, Gaming , Inter- Professional Education !! Active learning Strategies !!",https://www.youtube.com/watch?v=DusL19Yyab8
38,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,Clinical Learning Environment !! Educational Technology !!,https://www.youtube.com/watch?v=nXfm17kRz8Q
39,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,Practice Model in Education !!,https://www.youtube.com/watch?v=fF7oX16HfPE
40,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,Characteristics of Effective Clinical Teacher !! Education Technology !!,https://www.youtube.com/watch?v=4pQdcfOANkY
41,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,Factors influencing selection of clinical learning experience !! Educational Technology !!,https://www.youtube.com/watch?v=Dz-7FITmB1o
42,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,Writing Clinical Learning Outcome !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=C38dIat5CLk
43,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,"Clinical Learning Strategies: Patient Assignments, Bed side clinic , Case study in Hindi !!",https://www.youtube.com/watch?v=y9FS8a1N9ls
44,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,"Clinical Learning Strategies !! Nursing Rounds, Concept Mapping, Project, Debate , Game !!",https://www.youtube.com/watch?v=g5ZsEIkCCjM
45,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,"Problem Based learning, Questioning, Written Assignment, Process Recording !!",https://www.youtube.com/watch?v=umt8mp4r3EE
46,Education,Educational Technology,,12th,English/Hindi,Module 8: Educational Media & Evaluation,Educational Media !!Components!! Principles !! Steps !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=mzZQ8s5DyXw
47,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Types of Educational Media !! Non Projected Media !!,https://www.youtube.com/watch?v=3kzVOokd9Qg
48,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,"Projected Media !! Filmstripes, Over head projector, Microscope, Powerpoint slides !! Hindi !!",https://www.youtube.com/watch?v=2TDSDrKUeIo
49,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,"Moving Media !! Video Tapes, blu ray disc, motion picture, USB drive, DVD !! Hindi !!",https://www.youtube.com/watch?v=09oX4Nirf2k
50,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Real Objects ( Realia ) and Model !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=dhMTfQF6m-0
51,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Barriers in Evaluation !! Educational Technology !! Hindi   !!,https://www.youtube.com/watch?v=hIky4UBJL8U
52,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Guidelines to develop assignment Test !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=yNLYbxeXv_Y
53,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,"Written Communication, progress notes , Nursing care plan , process recording, written assignment!!",https://www.youtube.com/watch?v=-v_oDGrBykc
54,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Self Evaluation !! Educational Technology Nursing !! Hindi !!,https://www.youtube.com/watch?v=4Nkcx3Ytd1M
55,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Objective Structured Clinical Examination ( OSCE ) !!  Technology !! Hindi !!,https://www.youtube.com/watch?v=IoVf28xm1TA
56,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Clinical Log and Clinical Portfolio !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=FXj2S9KNTwo
57,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Verbal Communication and Simulation !!,https://www.youtube.com/watch?v=CbHIfU1BsU0
58,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,"Attitude Scale !! Likert , Semantic, Thurston Scale !! Hindi !!",https://www.youtube.com/watch?v=l65ZreiA9lM
59,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,"Interpretative, Hotspot, Drag and Drop and Order response Questions !! Educational Technology !!",https://www.youtube.com/watch?v=m77umqr_E4w
60,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Guidance !! Definition!! Objectives !! Hindi !!,https://www.youtube.com/watch?v=bsS_6DXXBH0
61,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Scope & Purposes of Guidance !! Hindi !!,https://www.youtube.com/watch?v=fkt4AC7sg18
62,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,"Roles of Academics Advisor , Faculty in Guidance!! Educational Technology !!",https://www.youtube.com/watch?v=gS42OcKlyt4
63,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Principles of Guidance !! Educational Technology !!,https://www.youtube.com/watch?v=vruNDxg0FQE
64,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Difference Between Guidance & Counselling !! Hindi !! Educational Technology !!,https://www.youtube.com/watch?v=tBB8tcYACjA
65,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Counselling !! Scopes !! Objectives !! Hindi !!,https://www.youtube.com/watch?v=7htG6BDRTa4
66,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Types of Counselling !! Educational Technology !! Hindi  !!,https://www.youtube.com/watch?v=80upRZwJCQk
67,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Principles of Counselling !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=bUqzy9Xfxd0
68,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Process of Counselling  !! Educational Technology !!,https://www.youtube.com/watch?v=slp_FHYPZWs
69,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,Counselling Skills/ Techniques !! Educational Technology !! Hindi !!,https://www.youtube.com/watch?v=Vw7xBt2qlk0
70,Education,Educational Technology,,12th,English/Hindi,Module 9: Guidance & Counselling,"Audio Aids !! Audio tapes, compact disc, radio ,Tape recorder, Public address system !! Hindi !!",https://www.youtube.com/watch?v=K2wrTuRpvT0
