Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
12227,Education,HPSC PGT Educational Psychology & Pedagogy,24hrs 23min,12th,English/Hindi,Module 1: Introduction to Educational Psychology,HPSC PGT Educational Psychology and Pedagogy |Authentic Books For HPSC By Ravina @InculcateLearning,https://www.youtube.com/watch?v=-Jwz-KO671Q
12228,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 1: Introduction to Educational Psychology,Class-1 HPSC PGT Educational Psychology | Concepts/Functions/Scope of Educational Psychology- Ravina,https://www.youtube.com/watch?v=CdXKkgg9SgY
12229,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 1: Introduction to Educational Psychology,Class-2 HPSC PGT Educational Psychology | Characteristics of Adolescent Learner & their implications,https://www.youtube.com/watch?v=c4DA0rb-Lds
12230,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 1: Introduction to Educational Psychology,"Class-3 HPSC PGT (Edu Psy) Principles of Behaviourism, Cognitivism, Constructivism & Its Implication",https://www.youtube.com/watch?v=mQPJVx3XmwM
12231,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 2: Learning Theories and their Implications,"Class-4 HPSC PGT (Edu Psy) Mental Health, Adjustment, Adjustment Mechanism @InculcateLearning Ravina",https://www.youtube.com/watch?v=7g93Iyl3vj8
12232,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 2: Learning Theories and their Implications,Class-5 HPSC PGT (Edu Psy) Emotional Intelligence & Its Implications in T-L @InculcateLearning,https://www.youtube.com/watch?v=LgSAfSMJg7I
12233,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 2: Learning Theories and their Implications,Class-6 HPSC PGT Communication Skills and its Use By Ravina @InculcateLearning,https://www.youtube.com/watch?v=9ukBhTgj7-s
12234,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 3: Communication and Teaching Models,Class-7 HPSC PGT Teaching Models/Information Processing/Social Interaction Models@InculcateLearning,https://www.youtube.com/watch?v=7Tcykid2oLQ
12235,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 3: Communication and Teaching Models,Class-8 HPSC PGT Advance Organizer Model By Ravina | M.Ed./UGC NET Education @InculcateLearning ​,https://www.youtube.com/watch?v=DyP03_RIdSU
12236,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 3: Communication and Teaching Models,Class-9 HPSC PGT Concept Attainment Model By Ravina | M.Ed./UGC NET Education @InculcateLearning ​,https://www.youtube.com/watch?v=EtlaJNReUcU
12237,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 3: Communication and Teaching Models,Class-10 HPSC PGT Inquiry Training Model By Ravina | M.Ed./UGC NET Education @InculcateLearning ​,https://www.youtube.com/watch?v=xL4FtIs-hT0
12238,Education,HPSC PGT Educational Psychology & Pedagogy,,12th,English/Hindi,Module 4: Teaching Methods and Strategies,Class-11 HPSC PGT Preparation & Use of TLM By Ravina | M.Ed./UGC NET Education @InculcateLearning ​,https://www.youtube.com/watch?v=TzGHYigEt6M
