S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Education,Multicultural Education Final Playlist,9hrs 9min,12th,English/Hindi,Module 1: Celebrating Our Differences,Two of a Kind: Under One Sky,https://www.youtube.com/watch?v=732wFGV7q64
2,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 1: Celebrating Our Differences,Pieces of a Quilt,https://www.youtube.com/watch?v=safFBHorkM8
3,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 1: Celebrating Our Differences,Unity Song MV,https://www.youtube.com/watch?v=7qJqr5LKRFw
4,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 2: Embracing Diversity,Wonderful - Celebrate Diversity!,https://www.youtube.com/watch?v=xT_2U1u5-bY
5,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 2: Embracing Diversity,Sesame Street - Skin,https://www.youtube.com/watch?v=0oQcGAa6M2w
6,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 2: Embracing Diversity,"Sesame Street, please count us in, too.",https://www.youtube.com/watch?v=KzCDnlvzu1k
7,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 2: Embracing Diversity,Sesame Street: We All Sing the Same Song,https://www.youtube.com/watch?v=MYXJlfcfFKU
8,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 3: Recognizing Our Shared Humanity,"Lanny Sherwin's ""Everyone Is Different""",https://www.youtube.com/watch?v=-QSLlEt_LJY
9,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 3: Recognizing Our Shared Humanity,Everyone Belongs,https://www.youtube.com/watch?v=nJ1QEE_RXP8
10,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 3: Recognizing Our Shared Humanity,Differentiation Music Video,https://www.youtube.com/watch?v=Nr1lLrzy_eI
11,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 3: Recognizing Our Shared Humanity,"Sesame Street: Will.i.am Sings ""What I Am""",https://www.youtube.com/watch?v=cyVzjoj96vs
12,Education,Multicultural Education Final Playlist,,12th,English/Hindi,Module 4: The Power of Music in Multicultural Education,We've Got the Whole World in Our Hands | Nursery Rhymes | Classic | Little Fox | Songs for Kids,https://www.youtube.com/watch?v=f-pzPwgR_u0
