S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Education,School counselor playlist,12hrs 7min,12th,English/Hindi,Module 1: Finding Your Beat,Don't Worry Be Happy,https://www.youtube.com/watch?v=AFDOSq6Wxa0
2,Education,School counselor playlist,,12th,English/Hindi,Module 1: Finding Your Beat,Friend Like Me,https://www.youtube.com/watch?v=mp01r_1g7tE
3,Education,School counselor playlist,,12th,English/Hindi,Module 1: Finding Your Beat,"Happy (From ""Despicable Me 2"")",https://www.youtube.com/watch?v=dJqxQzxLbHM
4,Education,School counselor playlist,,12th,English/Hindi,Module 1: Finding Your Beat,You've Got a Friend in Me,https://www.youtube.com/watch?v=0hG-2tQtdlE
5,Education,School counselor playlist,,12th,English/Hindi,Module 2:  Friendship Fuels,I Like To Move It,https://www.youtube.com/watch?v=PLEQRIisP_Q
6,Education,School counselor playlist,,12th,English/Hindi,Module 2:  Friendship Fuels,Roar,https://www.youtube.com/watch?v=9VcDnWMOBtw
7,Education,School counselor playlist,,12th,English/Hindi,Module 2:  Friendship Fuels,Believer,https://www.youtube.com/watch?v=Kx7B-XvmFtE
8,Education,School counselor playlist,,12th,English/Hindi,Module 3:  Embrace the Journey ,Life is a Highway,https://www.youtube.com/watch?v=Zh-ZUrc-aLI
9,Education,School counselor playlist,,12th,English/Hindi,Module 3:  Embrace the Journey ,Thunder,https://www.youtube.com/watch?v=9ssQKlLxBdQ
10,Education,School counselor playlist,,12th,English/Hindi,Module 3:  Embrace the Journey ,Magic Dance,https://www.youtube.com/watch?v=j6NqnYYmSVE
11,Education,School counselor playlist,,12th,English/Hindi,Module 3:  Embrace the Journey ,Stronger (What Doesn't Kill You),https://www.youtube.com/watch?v=ffmOr4-bbbA
12,Education,School counselor playlist,,12th,English/Hindi,Module 4:  Inner Strength,Hakuna Matata,https://www.youtube.com/watch?v=K73sVyAtMwE
13,Education,School counselor playlist,,12th,English/Hindi,Module 4:  Inner Strength,Ain't No Mountain High Enough,https://www.youtube.com/watch?v=ABfQuZqq8wg
14,Education,School counselor playlist,,12th,English/Hindi,Module 4:  Inner Strength,All Star,https://www.youtube.com/watch?v=8ay_BkRuv-o
15,Education,School counselor playlist,,12th,English/Hindi,Module 5:  Finding Your Voice,Fight Song,https://www.youtube.com/watch?v=y5h_dukaB1I
16,Education,School counselor playlist,,12th,English/Hindi,Module 5:  Finding Your Voice,Uptown Funk,https://www.youtube.com/watch?v=hJ5JU2DtLlA
17,Education,School counselor playlist,,12th,English/Hindi,Module 5:  Finding Your Voice,"I'm A Believer (From ""Shrek"" Motion Picture Soundtrack)",https://www.youtube.com/watch?v=xCP7bCJxxm8
