"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
3127,"Electrical Engineering","Network Theory","23hrs 15min","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Introduction to Network Theory","https://www.youtube.com/watch?v=NEhH6C7Fzw4"
3128,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Electric Charge","https://www.youtube.com/watch?v=5NiB6LXFl3Y"
3129,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Law of Conservation of Charge","https://www.youtube.com/watch?v=Mby06CynpQs"
3130,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Electric Current","https://www.youtube.com/watch?v=h8I_LdaK9v8"
3131,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Conventional Current vs. Electron Current","https://www.youtube.com/watch?v=hL95d-erkDw"
3132,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Is Current a Scalar or a Vector Quantity?","https://www.youtube.com/watch?v=g7DKec-IzoQ"
3133,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Electric Potential Difference (Voltage)","https://www.youtube.com/watch?v=7ZqOCNOyOUg"
3134,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Electric Power","https://www.youtube.com/watch?v=S7PZAXEsDcY"
3135,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 1: Introduction to Basic Electrical Concepts","Electric Power (Solved Problem)","https://www.youtube.com/watch?v=KWWiaLurzVM"
3136,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 2: Circuit Elements and Basic Circuit Laws","Circuit Elements (Resistor)","https://www.youtube.com/watch?v=4lUmiTN-470"
3137,"Electrical Engineering","Network Theory","","12th","English/Hindi","Module 2: Circuit Elements and Basic Circuit Laws","Ohm's Law","https://www.youtube.com/watch?v=jiYb-qSWgYY"
