"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7730,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","14hrs 14min","12th","English/Hindi","Module 1: Introduction to Entrepreneurial Mindset","Entrepreneur Greatness is a Mental Stress Test | Entrepreneurial Mindset #motivation","https://www.youtube.com/watch?v=yKguPEYePG0"
7731,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 1: Entrepreneur Greatness is a Mental Stress Test","Entrepreneurship: How I Became An Inventor","https://www.youtube.com/watch?v=1yePXMbzCNs"
7732,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 1: Entrepreneurial Mindset: Make It Count","ENTREPRENEUR MINDSET: Are You Cut Out For Entrepreneurship?","https://www.youtube.com/watch?v=rACUYGvB12M"
7733,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 1: From Setbacks to Success: Entrepreneur Mindset","How to Easily Spot a Winner: The Power of an Entrepreneur Mindset | Identifying Greatness","https://www.youtube.com/watch?v=LfRvLyUhFKE"
7734,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 2: Identifying Entrepreneurial Traits","Entrepreneurial Mindset: Make It Count","https://www.youtube.com/watch?v=ZSMIkCXJxN0"
7735,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 2: Entrepreneurship: How I Became An Inventor","From Setbacks to Success: Entrepreneur Mindset - Overcoming Obstacles and Achieving Success","https://www.youtube.com/watch?v=8yZ2lt9dmuc"
7736,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 2: ENTREPRENEUR MINDSET: Are You Cut Out For Entrepreneurship?","From dream to reality: Entrepreneur Motivation - Get motivated for Starting a Business","https://www.youtube.com/watch?v=O6iBFaJli5s"
7737,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 2: How to Easily Spot a Winner: The Power of an Entrepreneur Mindset","How to Program Your Mind for Success (Entrepreneurial Mindset) - Cracking the Mindset Code","https://www.youtube.com/watch?v=TGFjDGyNLvU"
7738,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 3: Cultivating the Entrepreneurial Mindset","Entrepreneur Mindset: 10 Signs Entrepreneurship Is Right For You - Take the Leap","https://www.youtube.com/watch?v=_xt6_dNslwg"
7739,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 3: From dream to reality: Entrepreneur Motivation","Entrepreneur Motivation: The Best Mindset to Achieve Financial Success","https://www.youtube.com/watch?v=pAXQ3dX2Alo"
7740,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 3: How to Program Your Mind for Success (Entrepreneurial Mindset)","Justin Leonard Explains the Power of the Entrepreneurial Mindset -  The Key to Success","https://www.youtube.com/watch?v=nXpB30uXJN0"
7741,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 4: Success Stories and Case Studies","Entrepreneurial Mindset: How To Thinking Like a Successful Entrepreneur","https://www.youtube.com/watch?v=8AFDhC80a4s"
7742,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 4: Entrepreneur Mindset: 10 Signs Entrepreneurship Is Right For You","Entrepreneurial Mindset: A Characteristic Common To All Entrepreneurs - Trait Among Visionaries","https://www.youtube.com/watch?v=bWFY83iSDsQ"
7743,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 4: Entrepreneur Motivation: The Best Mindset to Achieve Financial Success","The Key Entrepreneurial  Mindset: Winners (Especially) Have THIS Unique Trait","https://www.youtube.com/watch?v=JLy5WFZFpmg"
7744,"Entrepreneurship","ENTREPRENEURIAL MINDSET AND MOTIVATION","","12th","English/Hindi","Module 4: Justin Leonard Explains the Power of the Entrepreneurial Mindset","Entrepreneur Motivation: How To Dramatically Boost Financial Success","https://www.youtube.com/watch?v=WGQ3UKuXlDw"
