Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
8202,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,9hrs 10min,12th,English/Hindi,"Module 1: Entrepreneurial Vision and Mindset: Mahalia - I Wish I Missed My Ex, Michael Kiwanuka, Tom Misch - Money (Official Video)",Mahalia - I Wish I Missed My Ex,https://www.youtube.com/watch?v=a7kT52xL-7g
8203,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 1: Entrepreneurial Vision and Mindset: Hawa Boussim - Koregore (Clip officiel),"Michael Kiwanuka, Tom Misch - Money (Official Video)",https://www.youtube.com/watch?v=EJjn03K0JsQ
8204,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 1: Entrepreneurial Vision and Mindset: Labrinth - No Ordinary (Official Audio),Hawa Boussim - Koregore (Clip officiel),https://www.youtube.com/watch?v=gdLVscm8V6M
8205,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 1: Entrepreneurial Vision and Mindset: Abrham Belayneh - Ete Abay | የርኤ ልሳይ - New Ethiopian Music 2019 (Official Video),Labrinth - No Ordinary (Official Audio),https://www.youtube.com/watch?v=ArDADZO1Wjk
8206,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 2: Opportunity Recognition and Evaluation: Solange - Don't Touch My Hair (Video) ft. Sampha,Abrham Belayneh - Ete Abay | እቴ አባይ - New Ethiopian Music 2019 (Official Video),https://www.youtube.com/watch?v=w8GArtFPTFM
8207,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 2: Opportunity Recognition and Evaluation: Kokoroko - ABUSEY JUNCTION // WE OUT HERE,Solange - Don't Touch My Hair (Video) ft. Sampha,https://www.youtube.com/watch?v=YTtrnDbOQAU
8208,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 2: Opportunity Recognition and Evaluation: STORMZY - AUDACITY (feat. HEADIE ONE),Kokoroko - ABUSEY JUNCTION // WE OUT HERE,https://www.youtube.com/watch?v=tSv04ylc6To
8209,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 3: Leading with Passion and Purpose: Nafas,STORMZY - AUDACITY (feat. HEADIE ONE),https://www.youtube.com/watch?v=Zm7Zya6Hl50
8210,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 3: Leading with Passion and Purpose: Tiwa Savage - Koroba,Nafas,https://www.youtube.com/watch?v=SYgMIV4CSSs
8211,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 3: Leading with Passion and Purpose: XUSEEN  M SAXARDIID | Adaan Duni Kuu Aqaan | New Somali Music 2020 (Official Video),Tiwa Savage - Koroba,https://www.youtube.com/watch?v=5goMslKxEWs
8212,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 4: Building High-Performing Teams: SANDS TIGI OFFICIAL VIDEO,XUSEEN  M SAXARDIID | Adaan Duni Kuu Aqaan | New Somali Music 2020 (Official Video),https://www.youtube.com/watch?v=jtXuEINS4DM
8213,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 4: Building High-Performing Teams: Sia - Unstoppable (Official Audio),SANDS TIGI OFFICIAL VIDEO,https://www.youtube.com/watch?v=3yPb8784C5E
8214,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 4: Building High-Performing Teams: Spillage Village – Shiva feat. Benji. & Jurdan Bryant [Official Audio],Sia - Unstoppable (Official Audio),https://www.youtube.com/watch?v=cxjvTXo9WWM
8215,Entrepreneurship,Entrepreneurial Leadership (work time)Playlist,,12th,English/Hindi,Module 5: Effective Communication and Negotiation: KB - Armies (Lyric Video),Spillage Village – Shiva feat. Benji. & Jurdan Bryant [Official Audio],https://www.youtube.com/watch?v=OrQ7ewwNA1Q
