"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
8002,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","9hrs 15min","12th","English/Hindi","Module 1: Introduction to Innovation","Innovation Business Models and Entrepreneurship","https://www.youtube.com/watch?v=9BXq3gcLSMs"
8003,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 1: Business Models & Entrepreneurship","Analizing the Current Bussiness Scenario","https://www.youtube.com/watch?v=c9ZENOt1j_w"
8004,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 1: Analizing the Current Bussiness Scenario","Innovation and Creativity-An Introduction","https://www.youtube.com/watch?v=7dHahNW-RzQ"
8005,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 2:  Innovation & Creativity","Innovation in Current Environment","https://www.youtube.com/watch?v=FUD-yIYM3FA"
8006,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 2: Types of Innovation","Types of Innovation","https://www.youtube.com/watch?v=teD4tvEYwFM"
8007,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 2: School of Innovation","School of Innovation","https://www.youtube.com/watch?v=4lAnvwUTt1s"
8008,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 3: Challenges of Innovation","Challenges of Innovation","https://www.youtube.com/watch?v=SmzvXPSExds"
8009,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 3: Steps of Innovation Management","Steps of Innovation Management","https://www.youtube.com/watch?v=cRAgCMaETZM"
8010,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 3: Idea Management System","Idea Management System","https://www.youtube.com/watch?v=kq5ODX77Qho"
8011,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 4: Divergent v/s Convergent Thinking","Divergent v/s Convergent Thinking","https://www.youtube.com/watch?v=7ZahdDWi-0A"
8012,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 4: mod2lec10","mod2lec10","https://www.youtube.com/watch?v=-uHZaUEvbG8"
8013,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 4: Experimentation in Innovation Management","Experimentation in Innovation Management","https://www.youtube.com/watch?v=UyM9uVbJVhI"
8014,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 5: Idea Championship & Participation","Idea Championship","https://www.youtube.com/watch?v=dmci0IVUq00"
8015,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 5: Co-creation for Innovation","Participation for Innovation","https://www.youtube.com/watch?v=INMQIOGQPys"
8016,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 5: Prototyping to Incubation","Co-creation for Innovation","https://www.youtube.com/watch?v=a1NU1Aq5Fz0"
8017,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 6: Business Models & Entrepreneurs","Prototyping to Incubation","https://www.youtube.com/watch?v=JMaGK2MT2Ss"
8018,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 6: What is Business Model?","What is Business Model?","https://www.youtube.com/watch?v=ohQvcWZt7-o"
8019,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 6: Who is an Entrepreneur?","Who is an Entrepreneur?","https://www.youtube.com/watch?v=zu7IjsAhn5A"
8020,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 7: Social Entrepreneurship","Social Entrepreneurship?","https://www.youtube.com/watch?v=rkumGeKYYFs"
8021,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 7: Blue Ocean Strategy-I","Blue Ocean Strategy-I","https://www.youtube.com/watch?v=SaQ_Qlih_8c"
8022,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 7: Blue Ocean Strategy-II","Blue Ocean Strategy-II","https://www.youtube.com/watch?v=HeMdrlIOPp8"
8023,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 8: Marketing & Technology Innovation","Marketing of Innovation","https://www.youtube.com/watch?v=dxOGKCODSXI"
8024,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 8: Marketing of Innovation","Technology Innovation Process","https://www.youtube.com/watch?v=MNkHdvCEHAc"
8025,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 8: Technology Innovation Process","Technological Innovation Management Planning","https://www.youtube.com/watch?v=4Vy4y7ot3HE"
8026,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 9: Technological Innovation Management","Technological Innovation Management Strategies","https://www.youtube.com/watch?v=ShpfL1ji-ZE"
8027,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 9: Technological Innovation Management Planning","Technology Forecasting","https://www.youtube.com/watch?v=ubRAaOMytww"
8028,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 9: Technological Innovation Management Strategies","Sustainability Innovation and Entrepreneurship","https://www.youtube.com/watch?v=4LK_tzopi74"
8029,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 10: Sustainability Innovation","Innovation Sustainable Conditions","https://www.youtube.com/watch?v=g8_WPq76w44"
8030,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 10: Technology Forecasting","Innovation: Context and Patterns","https://www.youtube.com/watch?v=3OsKhkI_0E0"
8031,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 10: Sustainability Innovation and Entrepreneurship","SMEâ€™S strategic involvement in sustainable development","https://www.youtube.com/watch?v=_99enJyI3Pk"
8032,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 11: Innovation Sustainable Conditions","Insight and Entrepreneurship","https://www.youtube.com/watch?v=WPwuUVtqua8"
8033,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 11: Innovation: Context and Patterns","Management of Innovation, creation of IPR-I","https://www.youtube.com/watch?v=FFOMCLECioM"
8034,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 11: SME’S strategic involvement in sustainable development","Management of Innovation, creation of IPR-II","https://www.youtube.com/watch?v=zmemhcELAls"
8035,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 12: Insight & Management of Innovation","Types of IPR","https://www.youtube.com/watch?v=XWV84MPpeCU"
8036,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 12: Insight and Entrepreneurship","Patents and Copyrights","https://www.youtube.com/watch?v=p8ZQlDao7ME"
8037,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 12: Management of Innovation, creation of IPR-I","Patents in India","https://www.youtube.com/watch?v=k9FlsrrNzBQ"
8038,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 13: Management of Innovation, creation of IPR-II","Business Models and value proposition","https://www.youtube.com/watch?v=UL86GGHBX5Q"
8039,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 13: Types of IPR","Business Model Failure: Reasons and Remedies","https://www.youtube.com/watch?v=6ovBBRjrZOs"
8040,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 13: Patents and Copyrights","Incubators : Business Vs Technology","https://www.youtube.com/watch?v=0atwylbVW2M"
8041,"Entrepreneurship","Innovation, Business Models and Entrepreneurship","","12th","English/Hindi","Module 14: Patents in India","Managing Investors for Innovation","https://www.youtube.com/watch?v=u6J30oXHODM"
