"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
6055,"Environmental Engineering","ENVIRONMENTAL LAW","9hrs 17min","12th","English/Hindi","Module 1: Introduction to Environmental Law","Introduction | Environmental Law","https://www.youtube.com/watch?v=uXxlImWRP4M"
6056,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 1: Environmental Protection Act","Environment Protection Act | Environmental Law","https://www.youtube.com/watch?v=eJ9o00TNZfM"
6057,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 1: Powers of Central Government under EPA","Powers of Central Government under Environment Protection Act | Environmental Law","https://www.youtube.com/watch?v=uJQOsuluu7E"
6058,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 2: Hazardous Substances","Hazardous Substances | Environmental Law","https://www.youtube.com/watch?v=cmeEf2Rd21A"
6059,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 2: Constitution & Environmental Protection","Constitution & Environmental Protection | Environmental Law","https://www.youtube.com/watch?v=ahfPJdUG4h8"
6060,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 2: PIL & Environmental Protection","PIL & Environmental Protection | Environmental Law","https://www.youtube.com/watch?v=aMsv47gkVPQ"
6061,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 3: Water Pollution: Prevention & Control","Water (Prevention & Control of Pollution) Act | Environmental Law","https://www.youtube.com/watch?v=BBBnZYQtGao"
6062,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 3: Central Pollution Control Board","Central Pollution Control Board","https://www.youtube.com/watch?v=TNUhagcNuoM"
6063,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 4: State Pollution Control Board","State Pollution Control Board | Environmental Law","https://www.youtube.com/watch?v=h7t5HvgeLDg"
6064,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 4: Board Members, Terms, Disqualification, Govt. Supersede","Members, Terms of Service, Disqualification, Govt. Supersede Board","https://www.youtube.com/watch?v=YdgxstVYra8"
6065,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 4: Air Pollution: Prevention & Control","Air (Prevention & Contol of Pollution) Act | Environmental Law","https://www.youtube.com/watch?v=T18E4F-TF18"
6066,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 5: Noise Pollution","Noise Pollution | Environmental Law","https://www.youtube.com/watch?v=hV-TRNZVTh0"
6067,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 5: Radioactive Pollution","Radioactive Pollution | Environmental Law","https://www.youtube.com/watch?v=ekZ05NSiEfQ"
6068,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 6: Indian Forest Act: An Overview","Indian Forest Act | Environmental Law","https://www.youtube.com/watch?v=CEaZjGCNHjM"
6069,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 6: Reserved Forest & Protected Forest","Reserved Forest, Protected Forest | Environmental Law","https://www.youtube.com/watch?v=CyVfTprsB-M"
6070,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 7: Wildlife Protection Act","Wildlife Protection Act | Environmental Law","https://www.youtube.com/watch?v=RwxoVysEYP0"
6071,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 7: Wildlife Advisory Board","Wildlife Advisory Board | Environmental Law","https://www.youtube.com/watch?v=jdWyAAEmj00"
6072,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 7: Central Zoo Authority","Central Zoo Authority | Environmental Law","https://www.youtube.com/watch?v=cA8B1XyeW4g"
6073,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 8: Protecting Specified Plants under WPA","Protection of Specified Plants Under Wildlife Protection Act | Environmental Law","https://www.youtube.com/watch?v=PK_s5fUIlxo"
6074,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 8: National Parks & Wildlife Sanctuaries","National Parks & Wildlife Sanctuaries | Environmental Law","https://www.youtube.com/watch?v=y6xd_5dkekg"
6075,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 9: Ozone Layer Depletion","Ozone Layer Depletion | Environmental Law","https://www.youtube.com/watch?v=lubxucv9ayA"
6076,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 9: Greenhouse Effect & Environmental Law","Greenhouse Effect | Environmental Law","https://www.youtube.com/watch?v=rXzgvOIul3o"
6077,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 9: Acid Rain","Acid Rain | Environmental Law","https://www.youtube.com/watch?v=N3RhQVq3DVg"
6078,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 10: Sustainable Development","Sustainable Development | Environmental Law","https://www.youtube.com/watch?v=X4kBP7NQcqo"
6079,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 10: Polluter Pays Principle","Polluter Pays Principle | Environmental Law","https://www.youtube.com/watch?v=BxwFU6G79p0"
6080,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 10: Precautionary Principle","Precautionary Principle | Environmental Law","https://www.youtube.com/watch?v=d2c2sjbMPLU"
6081,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 11: Public Trust Doctrine","Public Trust Doctrine | Environmental Law","https://www.youtube.com/watch?v=LW-Bzbl6gg8"
6082,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 11: National Green Tribunal","National Green Tribunal | Environmental Law","https://www.youtube.com/watch?v=Pte41wYX3F4"
6083,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 12: International Treaties on Environmental Protection","International Treaties on Environmental Protection | Environmental Law","https://www.youtube.com/watch?v=zSIvRuFf8ig"
6084,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 12: Article 48A: State's Duty to Protect Environment","Article 48A of Constitution | State's Duty To Protect Environment | Environmental Law","https://www.youtube.com/watch?v=wO0E9gvXFCw"
6085,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 13: Section 133 of CrPC & Pollution Control","Section 133 of CrPC to Combat Pollution | Environmental Law","https://www.youtube.com/watch?v=R6Jpgr72uL0"
6086,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 13: IPC Provisions to Combat Pollution","IPC Provisions to Combat Pollution | Environmental Law","https://www.youtube.com/watch?v=5nCEjzw_2Wc"
6087,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 14: Powers to Take Samples under Water Act","Power to take Samples Under Water (Prevention & Control of Pollution) Act | Environmental Law","https://www.youtube.com/watch?v=YsaiKyDL-Bo"
6088,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 14: Powers to Take Samples under Air Act","Power to take Samples Under Air (Prevention & Control of Pollution) Act | Environmental Law","https://www.youtube.com/watch?v=jh11HhPz4-s"
6089,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 14: Environmental Laboratories: Central, State & Air","Central Water Laboratory, State Water Laboratory, State Air Laboratory, Environmental Laboratory","https://www.youtube.com/watch?v=D0FnuYCkOhU"
6090,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 15: The Role of the Government Analyst","Government Analyst | Environmental Law","https://www.youtube.com/watch?v=AKv6yXghj34"
6091,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 15: Air Pollution Control Areas & Conditions","Air Pollution Control Area | Conditions | Environmental Law","https://www.youtube.com/watch?v=IyjtHrJy520"
6092,"Environmental Engineering","ENVIRONMENTAL LAW","","12th","English/Hindi","Module 16: Prohibition on Polluting Water Sources","Prohibition on use of Stream or Well for Disposal of Polluting Matter | Environmental Law","https://www.youtube.com/watch?v=WlOSgRdDWxI"
