S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Environmental Engineering,Environment Management,23hrs 5min,12th,English/Hindi,Module 1: Introduction to Environmental Management,Introduction to Environmental Management - Environment Management,https://www.youtube.com/watch?v=oHbTgSqGo5c
2,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 1: Introduction to Environmental Management,Environmental Management Schemes - Introduction of Environmental Management,https://www.youtube.com/watch?v=l6JNAOLzKEs
3,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 1: Introduction to Environmental Management,Scope of Environmental Management,https://www.youtube.com/watch?v=MXXkMe8tT6M
4,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 1: Introduction to Environmental Management,Standards for Environment Management System,https://www.youtube.com/watch?v=A6uhwmgTGTo
5,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Sustainable Development,https://www.youtube.com/watch?v=6JlYfafaBO8
6,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Global Warming - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=7e0OVoz5qrI
7,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Introduction to Acid Rain - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=-pi0I0zGubM
8,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Ozone Layer Depletion,https://www.youtube.com/watch?v=Pk_FmNGgQbw
9,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Hazardous Waste,https://www.youtube.com/watch?v=lrRLDwUyjFk
10,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Loss of Biodiversity,https://www.youtube.com/watch?v=NVW2haJabG4
11,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Man made Disasters,https://www.youtube.com/watch?v=Q4JmtiJNJTY
12,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Nuclear Hazards,https://www.youtube.com/watch?v=NNVngQOoFwg
13,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Biomedical Hazards,https://www.youtube.com/watch?v=VvgzzPxJphs
14,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Introduction to Ecosystems - Concepts of Ecology - Environment Management,https://www.youtube.com/watch?v=QsnomXj-iQs
15,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Concept of Ecology,https://www.youtube.com/watch?v=bgad_f-hvYI
16,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Food Chain and Food Web,https://www.youtube.com/watch?v=o0Q5RIg8xuA
17,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Ecological Pyramid,https://www.youtube.com/watch?v=chUyfQOocd4
18,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Ecological Interaction Between Organisms,https://www.youtube.com/watch?v=FgZR9VHyT_M
19,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Total Quality Environmental Management,https://www.youtube.com/watch?v=mS8mkR-kUM0
20,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Corporate Environmental Responsibility CER,https://www.youtube.com/watch?v=ks_LVefHN7o
21,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 6: ISO 14000 Introduction,ISO 14000 Introduction,https://www.youtube.com/watch?v=If9LpRyrAmA
22,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 6: ISO 14000 Introduction,ISO 14000 Family,https://www.youtube.com/watch?v=fwFmRMEo1nQ
23,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 6: ISO 14000 Introduction,ISO 14000 Certification,https://www.youtube.com/watch?v=EBzLLUoorEc
24,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 6: ISO 14000 Introduction,The Environment Protection Act - General Overview of Major Legislation - Environment Management,https://www.youtube.com/watch?v=PfhEfNWQblM
25,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 7: Air Act   Part I,Air Act   Part I,https://www.youtube.com/watch?v=ejKM7aYDWKc
26,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 7: Air Act   Part I,The Air Act   Part II,https://www.youtube.com/watch?v=So5qHC2F3G8
27,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 7: Air Act   Part I,The Water Act,https://www.youtube.com/watch?v=i3JU4k_CCNI
28,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 7: Air Act   Part I,Wildlife Protection Act - General Overview of Major Legislation - Environment Management,https://www.youtube.com/watch?v=bVqzxq0V7Zw
29,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 8: Indian Forest Act Part I,Indian Forest Act Part I,https://www.youtube.com/watch?v=9FTi1C_72ao
30,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 8: Indian Forest Act Part I,Indian Forest Act Part II,https://www.youtube.com/watch?v=-vStUtPXgLE
31,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 8: Indian Forest Act Part I,Indian Forest Act Part III,https://www.youtube.com/watch?v=qynt0Hv_Bu0
32,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 8: Indian Forest Act Part I,Indian Forest Act Part IV,https://www.youtube.com/watch?v=8IvSvs2ulao
33,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 9: Factories Act,Factories Act,https://www.youtube.com/watch?v=TlVjEXbXqJ0
34,Environmental Engineering,Environment Management,23hrs 5min,12th,English/Hindi,Module 9: Factories Act,Introduction to Environmental Management - Environment Management,https://www.youtube.com/watch?v=oHbTgSqGo5c
35,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 9: Factories Act,Environmental Management Schemes - Introduction of Environmental Management,https://www.youtube.com/watch?v=l6JNAOLzKEs
36,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 9: Factories Act,Scope of Environmental Management,https://www.youtube.com/watch?v=MXXkMe8tT6M
37,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 10: Standards for Environment Management System,Standards for Environment Management System,https://www.youtube.com/watch?v=A6uhwmgTGTo
38,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 10: Standards for Environment Management System,Sustainable Development,https://www.youtube.com/watch?v=6JlYfafaBO8
39,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 10: Standards for Environment Management System,Global Warming - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=7e0OVoz5qrI
40,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 10: Standards for Environment Management System,Introduction to Acid Rain - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=-pi0I0zGubM
41,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 11: Ozone Layer Depletion,Ozone Layer Depletion,https://www.youtube.com/watch?v=Pk_FmNGgQbw
42,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 11: Ozone Layer Depletion,Hazardous Waste,https://www.youtube.com/watch?v=lrRLDwUyjFk
43,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 11: Ozone Layer Depletion,Loss of Biodiversity,https://www.youtube.com/watch?v=NVW2haJabG4
44,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 11: Ozone Layer Depletion,Man made Disasters,https://www.youtube.com/watch?v=Q4JmtiJNJTY
45,Environmental Engineering,Environment Management,,12th,English/Hindi,Module 12: Nuclear Hazards,Nuclear Hazards,https://www.youtube.com/watch?v=NNVngQOoFwg
